order_id,order_date,quantity,destination_region,rush_order,promised_lead_days,actual_lead_time_days
ORD-1000,2026-05-14,100,export,no,10,10
ORD-1001,2026-04-21,50,west,no,5,3
ORD-1002,2026-05-09,100,east,no,5,5
ORD-1003,2026-04-10,200,east,no,6,7
ORD-1004,2026-04-15,500,east,no,7,5
ORD-1005,2026-06-13,300,west,no,6,7
ORD-1006,2026-04-21,50,south,no,5,4
ORD-1007,2026-06-24,300,export,yes,9,9
ORD-1008,2026-04-16,50,south,no,5,6
ORD-1009,2026-05-19,800,west,no,9,9
ORD-1010,2026-06-24,150,south,no,5,6
ORD-1011,2026-05-08,200,south,no,6,8
ORD-1012,2026-06-15,500,north,yes,5,4
ORD-1013,2026-04-12,150,export,no,10,10
ORD-1014,2026-06-28,300,north,no,6,5
ORD-1015,2026-05-27,100,east,no,5,5
ORD-1016,2026-04-27,500,west,no,7,10
ORD-1017,2026-05-23,100,east,yes,3,5
ORD-1018,2026-06-18,100,export,yes,8,7
ORD-1019,2026-04-28,800,south,no,9,9
ORD-1020,2026-06-23,300,south,yes,4,5
ORD-1021,2026-06-11,150,west,yes,3,4
ORD-1022,2026-05-22,500,export,no,12,13
ORD-1023,2026-06-03,50,south,no,5,3
ORD-1024,2026-06-21,100,north,no,5,5
ORD-1025,2026-06-09,500,north,yes,5,5
ORD-1026,2026-06-07,800,export,no,13,14
ORD-1027,2026-05-25,50,export,no,9,10
ORD-1028,2026-04-27,150,export,no,10,10
ORD-1029,2026-06-08,50,south,no,5,4
ORD-1030,2026-04-25,200,export,no,10,11
ORD-1031,2026-04-09,50,west,no,5,6
ORD-1032,2026-06-04,150,north,no,5,3
ORD-1033,2026-05-22,50,west,no,5,4
ORD-1034,2026-05-16,300,north,no,6,7
ORD-1035,2026-05-10,300,west,yes,4,5
ORD-1036,2026-06-13,200,east,yes,4,2
ORD-1037,2026-06-04,300,east,no,6,7
ORD-1038,2026-06-27,800,east,no,9,8
ORD-1039,2026-04-27,500,export,yes,10,10
ORD-1040,2026-06-29,300,export,no,11,11
ORD-1041,2026-05-12,800,north,yes,7,6
ORD-1042,2026-06-22,500,export,no,12,13
ORD-1043,2026-05-07,150,west,no,5,6
ORD-1044,2026-04-21,100,west,no,5,3
ORD-1045,2026-04-08,500,export,no,12,11
ORD-1046,2026-06-19,800,east,no,9,8
ORD-1047,2026-05-14,150,north,no,5,5
ORD-1048,2026-04-12,50,east,no,5,5
ORD-1049,2026-04-11,300,north,yes,4,3
ORD-1050,2026-04-28,50,export,yes,7,7
ORD-1051,2026-05-12,800,north,no,9,9
ORD-1052,2026-06-08,300,south,yes,4,5
ORD-1053,2026-06-25,800,east,no,9,9
ORD-1054,2026-04-19,200,south,yes,4,5
ORD-1055,2026-06-22,800,export,no,13,13
ORD-1056,2026-05-16,200,south,no,6,7
ORD-1057,2026-05-17,500,export,no,12,12
ORD-1058,2026-06-09,800,export,no,13,13
ORD-1059,2026-04-28,800,east,yes,7,8
ORD-1060,2026-05-26,800,east,yes,7,8
ORD-1061,2026-06-29,800,south,yes,7,6
ORD-1062,2026-06-30,300,north,no,6,5
ORD-1063,2026-06-30,800,export,no,13,12
ORD-1064,2026-04-30,100,east,no,5,4
ORD-1065,2026-05-18,200,export,yes,8,8
ORD-1066,2026-06-16,50,south,no,5,4
ORD-1067,2026-06-12,150,south,no,5,6
ORD-1068,2026-04-28,300,export,no,11,11
ORD-1069,2026-04-12,200,north,no,6,4
ORD-1070,2026-05-13,300,west,no,6,6
ORD-1071,2026-04-21,200,export,yes,8,9
ORD-1072,2026-05-23,200,south,yes,4,5
ORD-1073,2026-06-27,800,north,no,9,9
ORD-1074,2026-05-26,200,north,yes,4,4
ORD-1075,2026-04-08,300,east,no,6,6
ORD-1076,2026-05-28,150,north,no,5,4
ORD-1077,2026-05-12,800,north,no,9,8
ORD-1078,2026-06-07,100,east,no,5,5
ORD-1079,2026-05-17,800,west,no,9,9
ORD-1080,2026-06-18,300,north,no,6,5
