date,FILL_LEVEL_REJECT_RATE
2026-06-12,2.16
2026-06-13,1.88
2026-06-14,2.11
2026-06-15,2.10
2026-06-16,2.02
2026-06-17,1.41
2026-06-18,2.45
2026-06-19,1.98
2026-06-20,1.71
2026-06-21,1.65
2026-06-22,1.62
2026-06-23,2.04
2026-06-24,2.05
2026-06-25,2.07
2026-06-26,2.37
2026-06-27,1.60
2026-06-28,2.48
2026-06-29,1.89
2026-06-30,5.22
2026-07-01,5.39
2026-07-02,5.34
2026-07-03,5.04
2026-07-04,5.19
2026-07-05,4.94
2026-07-06,4.19
2026-07-07,2.36
2026-07-08,1.69
2026-07-09,1.82
2026-07-10,1.87
2026-07-11,2.16
