date,COLA_CLASSIC_SHIPPED,ENERGY_DRINK_SHIPPED,FRUIT_PUNCH_SHIPPED,ICED_TEA_SHIPPED
2026-04-13,175,90,84,61
2026-04-14,165,95,75,68
2026-04-15,178,123,68,55
2026-04-16,159,100,76,83
2026-04-17,152,100,63,53
2026-04-18,49,15,17,6
2026-04-19,21,16,5,12
2026-04-20,166,113,82,54
2026-04-21,172,121,81,60
2026-04-22,185,95,81,83
2026-04-23,174,107,77,72
2026-04-24,151,108,97,55
2026-04-25,43,31,21,5
2026-04-26,36,19,34,43
2026-04-27,179,124,110,74
2026-04-28,186,116,72,58
2026-04-29,174,119,102,67
2026-04-30,158,103,80,56
2026-05-01,155,115,80,43
2026-05-02,48,38,16,16
2026-05-03,29,8,11,20
2026-05-04,189,136,84,74
2026-05-05,201,99,98,77
2026-05-06,209,124,86,67
2026-05-07,189,108,81,82
2026-05-08,155,110,72,62
2026-05-09,58,32,14,28
2026-05-10,51,25,18,14
2026-05-11,175,121,107,86
2026-05-12,181,124,81,82
2026-05-13,191,130,78,85
2026-05-14,188,102,94,79
2026-05-15,165,105,67,81
2026-05-16,53,27,21,32
2026-05-17,44,34,34,8
2026-05-18,199,110,90,80
2026-05-19,194,128,109,90
2026-05-20,194,139,99,76
2026-05-21,176,120,88,65
2026-05-22,171,110,83,78
2026-05-23,66,35,38,21
2026-05-24,22,0,15,0
2026-05-25,182,125,81,80
2026-05-26,217,131,90,97
2026-05-27,211,137,92,82
2026-05-28,190,150,95,92
2026-05-29,180,120,84,71
2026-05-30,63,33,8,25
2026-05-31,19,27,7,0
2026-06-01,202,120,100,68
2026-06-02,230,115,111,100
2026-06-03,238,135,98,81
2026-06-04,203,120,97,64
2026-06-05,196,109,76,84
2026-06-06,66,33,16,29
2026-06-07,37,28,19,2
2026-06-08,205,135,100,66
2026-06-09,228,138,102,88
2026-06-10,228,132,83,89
2026-06-11,210,137,96,91
2026-06-12,189,133,82,66
2026-06-13,51,39,27,32
2026-06-14,31,18,20,16
2026-06-15,217,107,80,99
2026-06-16,246,141,101,91
2026-06-17,240,153,104,88
2026-06-18,218,127,101,93
2026-06-19,211,107,87,66
2026-06-20,51,29,24,19
2026-06-21,37,28,22,13
2026-06-22,210,140,111,73
2026-06-23,233,143,118,79
2026-06-24,221,143,89,96
2026-06-25,230,138,96,109
2026-06-26,208,148,81,87
2026-06-27,52,25,7,24
2026-06-28,39,13,20,0
2026-06-29,196,118,109,88
2026-06-30,253,137,115,101
2026-07-01,225,163,103,108
2026-07-02,239,143,89,88
2026-07-03,220,125,90,79
2026-07-04,54,47,26,3
2026-07-05,42,11,0,15
2026-07-06,241,125,84,91
2026-07-07,271,138,116,95
2026-07-08,257,170,101,104
2026-07-09,255,158,88,83
2026-07-10,213,98,71,95
2026-07-11,59,31,24,20
