timestamp,FCE3_VIB,CC1_VIB,IS2_VIB,PKG4_VIB
2026-07-02 00:00,1.22,0.97,1.18,1.26
2026-07-02 01:00,1.15,1.10,1.28,1.21
2026-07-02 02:00,0.99,1.12,1.34,1.31
2026-07-02 03:00,1.08,1.25,1.28,1.28
2026-07-02 04:00,1.07,1.23,1.28,1.34
2026-07-02 05:00,1.22,1.14,1.34,1.25
2026-07-02 06:00,1.12,1.25,1.26,1.31
2026-07-02 07:00,1.25,1.07,1.48,1.32
2026-07-02 08:00,1.40,1.26,1.16,1.48
2026-07-02 09:00,1.30,1.39,1.28,1.42
2026-07-02 10:00,1.41,1.34,1.50,1.48
2026-07-02 11:00,1.38,1.37,1.76,1.68
2026-07-02 12:00,1.55,1.35,1.53,1.77
2026-07-02 13:00,1.42,1.52,1.67,1.50
2026-07-02 14:00,1.40,1.57,1.59,1.75
2026-07-02 15:00,1.27,1.58,1.35,1.58
2026-07-02 16:00,1.30,1.38,1.46,1.46
2026-07-02 17:00,1.20,1.30,1.25,1.39
2026-07-02 18:00,1.14,1.30,1.23,1.41
2026-07-02 19:00,1.04,1.14,1.31,1.30
2026-07-02 20:00,1.25,1.26,1.16,1.31
2026-07-02 21:00,1.10,1.23,1.16,1.40
2026-07-02 22:00,1.21,1.10,1.24,1.27
2026-07-02 23:00,1.14,1.08,1.08,1.25
2026-07-03 00:00,1.14,1.11,1.06,1.46
2026-07-03 01:00,1.10,0.97,1.08,1.31
2026-07-03 02:00,1.06,1.11,1.14,1.20
2026-07-03 03:00,1.10,1.27,1.33,1.16
2026-07-03 04:00,1.08,1.29,1.41,1.25
2026-07-03 05:00,1.36,1.14,1.27,1.42
2026-07-03 06:00,1.31,1.03,1.33,1.29
2026-07-03 07:00,1.15,1.40,1.32,1.42
2026-07-03 08:00,1.13,1.34,1.28,1.46
2026-07-03 09:00,1.33,1.42,1.38,1.31
2026-07-03 10:00,1.49,1.38,1.37,1.70
2026-07-03 11:00,1.45,1.52,1.61,1.52
2026-07-03 12:00,1.40,1.58,1.67,1.82
2026-07-03 13:00,1.19,1.41,1.43,1.67
2026-07-03 14:00,1.40,1.45,1.49,1.51
2026-07-03 15:00,1.46,1.32,1.47,1.33
2026-07-03 16:00,1.33,1.39,1.23,1.38
2026-07-03 17:00,1.37,1.31,1.34,1.49
2026-07-03 18:00,1.09,1.24,1.36,1.23
2026-07-03 19:00,1.14,1.23,1.33,1.12
2026-07-03 20:00,1.19,1.23,1.20,1.24
2026-07-03 21:00,1.19,1.04,1.23,1.29
2026-07-03 22:00,1.16,1.11,1.17,1.30
2026-07-03 23:00,1.14,1.23,1.16,1.29
2026-07-04 00:00,1.27,1.19,1.27,1.14
