order_id,order_date,quantity,destination_region,rush_order,promised_lead_days,actual_lead_time_days
ORD-1000,2026-06-06,150,east,no,5,5
ORD-1001,2026-07-01,500,east,yes,5,4
ORD-1002,2026-06-22,300,export,no,11,13
ORD-1003,2026-06-18,300,west,no,6,8
ORD-1004,2026-05-29,150,east,yes,3,4
ORD-1005,2026-06-30,800,east,no,9,10
ORD-1006,2026-05-31,200,east,no,6,6
ORD-1007,2026-06-12,150,south,no,5,4
ORD-1008,2026-06-21,500,export,no,12,9
ORD-1009,2026-06-14,50,south,yes,3,4
ORD-1010,2026-06-17,200,north,no,6,6
ORD-1011,2026-06-18,300,east,no,6,4
ORD-1012,2026-06-01,150,west,no,5,4
ORD-1013,2026-06-30,200,north,no,6,5
ORD-1014,2026-06-21,150,east,no,5,7
ORD-1015,2026-06-05,500,west,no,7,7
ORD-1016,2026-06-04,500,east,no,7,10
ORD-1017,2026-06-18,150,north,no,5,5
ORD-1018,2026-06-28,50,west,no,5,6
ORD-1019,2026-06-08,500,north,yes,5,6
ORD-1020,2026-06-30,150,north,no,5,4
ORD-1021,2026-06-28,300,south,yes,4,6
ORD-1022,2026-05-28,200,export,yes,8,8
ORD-1023,2026-07-02,200,south,no,6,6
ORD-1024,2026-06-08,100,west,no,5,4
ORD-1025,2026-06-12,500,north,yes,5,7
ORD-1026,2026-06-22,200,south,yes,4,5
ORD-1027,2026-06-07,800,export,no,13,12
ORD-1028,2026-06-22,150,east,no,5,5
ORD-1029,2026-06-03,100,east,no,5,5
ORD-1030,2026-06-12,500,west,no,7,7
ORD-1031,2026-06-03,150,west,yes,3,4
ORD-1032,2026-06-05,50,south,no,5,5
ORD-1033,2026-06-11,200,south,no,6,3
ORD-1034,2026-06-17,300,east,yes,4,2
ORD-1035,2026-06-29,150,east,no,5,4
ORD-1036,2026-06-01,800,north,no,9,9
ORD-1037,2026-06-24,200,south,no,6,7
ORD-1038,2026-06-29,300,export,no,11,11
ORD-1039,2026-05-31,800,west,no,9,11
ORD-2000,2026-07-08,600,south,no,8,
ORD-2001,2026-07-08,200,west,no,6,
ORD-2002,2026-07-10,200,export,no,10,
ORD-2003,2026-07-09,300,east,no,6,
ORD-2004,2026-07-07,1000,export,no,15,
ORD-2005,2026-07-07,200,north,no,6,
