order_id,order_date,quantity,destination_region,rush_order,actual_lead_time_days
ORD-1000,2025-12-13,100,south,no,5
ORD-1001,2025-12-08,300,south,no,7
ORD-1002,2025-12-18,300,east,no,5
ORD-1003,2025-12-21,50,east,no,5
ORD-1004,2025-12-06,200,north,no,6
ORD-1005,2025-11-05,150,export,no,9
ORD-1006,2025-11-01,50,north,no,7
ORD-1007,2025-10-09,500,east,yes,4
ORD-1008,2025-11-11,800,south,no,9
ORD-1009,2025-12-24,150,export,no,11
ORD-1010,2025-10-24,500,north,no,7
ORD-1011,2025-12-11,800,north,yes,8
ORD-1012,2025-10-12,50,east,yes,2
ORD-1013,2025-10-25,500,west,no,8
ORD-1014,2025-11-30,800,east,no,7
ORD-1015,2025-12-02,50,north,no,5
ORD-1016,2025-11-18,800,east,yes,7
ORD-1017,2025-12-09,500,west,no,7
ORD-1018,2025-10-21,200,export,no,10
ORD-1019,2025-11-06,200,east,no,4
ORD-1020,2025-12-04,200,east,no,5
ORD-1021,2025-11-19,50,west,no,4
ORD-1022,2025-11-11,100,north,no,6
ORD-1023,2025-11-06,300,south,no,6
ORD-1024,2025-11-15,800,west,no,10
ORD-1025,2025-11-17,800,export,no,12
ORD-1026,2025-10-05,800,north,no,9
ORD-1027,2025-12-14,50,export,yes,8
ORD-1028,2025-10-25,100,export,yes,9
ORD-1029,2025-12-13,200,export,no,9
ORD-1030,2025-10-01,800,south,no,10
ORD-1031,2025-10-18,200,north,no,5
ORD-1032,2025-12-15,800,south,no,9
ORD-1033,2025-11-16,50,west,no,5
ORD-1034,2025-10-04,800,north,no,8
ORD-1035,2025-11-12,150,export,yes,8
ORD-1036,2025-11-12,50,east,no,5
ORD-1037,2025-10-11,300,south,no,6
ORD-1038,2025-11-03,50,south,no,6
ORD-1039,2025-12-09,200,west,no,7
ORD-1040,2025-10-31,50,north,yes,3
ORD-1041,2025-11-02,100,east,no,5
ORD-1042,2025-10-02,200,west,no,4
ORD-1043,2025-11-04,100,north,no,4
ORD-1044,2025-11-20,50,east,yes,3
ORD-1045,2025-11-19,150,south,no,5
ORD-1046,2025-10-06,800,south,no,9
ORD-1047,2025-11-19,300,north,no,7
ORD-1048,2025-12-03,100,south,no,6
ORD-1049,2025-11-06,150,west,no,4
ORD-1050,2025-12-20,200,south,no,5
ORD-1051,2025-11-28,200,west,no,5
ORD-1052,2025-11-17,800,west,yes,7
ORD-1053,2025-10-21,100,west,no,5
ORD-1054,2025-10-23,800,west,yes,7
ORD-1055,2025-12-06,200,south,no,7
ORD-1056,2025-12-12,300,north,no,6
ORD-1057,2025-12-12,300,west,no,6
ORD-1058,2025-12-15,50,west,no,4
ORD-1059,2025-12-09,300,west,no,6
