date,PKG2_UNITS_SHIPPED
2025-10-13,434
2025-10-14,466
2025-10-15,430
2025-10-16,408
2025-10-17,389
2025-10-18,138
2025-10-19,72
2025-10-20,408
2025-10-21,437
2025-10-22,451
2025-10-23,448
2025-10-24,389
2025-10-25,102
2025-10-26,62
2025-10-27,439
2025-10-28,446
2025-10-29,460
2025-10-30,444
2025-10-31,425
2025-11-01,110
2025-11-02,84
2025-11-03,425
2025-11-04,482
2025-11-05,471
2025-11-06,437
2025-11-07,403
2025-11-08,129
2025-11-09,62
2025-11-10,469
2025-11-11,502
2025-11-12,505
2025-11-13,483
2025-11-14,388
2025-11-15,121
2025-11-16,57
2025-11-17,476
2025-11-18,484
2025-11-19,488
2025-11-20,471
2025-11-21,407
2025-11-22,118
2025-11-23,58
2025-11-24,504
2025-11-25,483
2025-11-26,493
2025-11-27,439
2025-11-28,398
2025-11-29,104
2025-11-30,86
2025-12-01,488
2025-12-02,504
2025-12-03,489
2025-12-04,511
2025-12-05,413
2025-12-06,105
2025-12-07,81
2025-12-08,465
2025-12-09,512
2025-12-10,526
2025-12-11,484
2025-12-12,445
2025-12-13,123
2025-12-14,62
2025-12-15,434
2025-12-16,494
2025-12-17,517
2025-12-18,464
2025-12-19,435
2025-12-20,128
2025-12-21,99
2025-12-22,473
2025-12-23,514
2025-12-24,529
2025-12-25,510
2025-12-26,427
2025-12-27,159
2025-12-28,62
2025-12-29,525
2025-12-30,528
2025-12-31,540
2026-01-01,538
2026-01-02,471
2026-01-03,130
2026-01-04,59
2026-01-05,501
2026-01-06,514
2026-01-07,577
2026-01-08,489
2026-01-09,420
2026-01-10,159
