timestamp,MX1_VIB,FL4_VIB,CP2_VIB,LB3_VIB
2026-06-28 00:00,1.15,1.25,1.21,1.24
2026-06-28 01:00,1.11,1.16,1.40,1.28
2026-06-28 02:00,1.14,1.23,1.36,1.12
2026-06-28 03:00,1.13,1.24,1.46,1.27
2026-06-28 04:00,1.10,1.21,1.25,1.03
2026-06-28 05:00,1.12,1.29,1.36,1.18
2026-06-28 06:00,1.27,1.13,1.28,1.54
2026-06-28 07:00,1.30,1.09,1.28,1.45
2026-06-28 08:00,1.52,1.31,1.43,1.47
2026-06-28 09:00,1.46,1.52,1.46,1.57
2026-06-28 10:00,1.15,1.43,1.47,1.57
2026-06-28 11:00,1.49,1.55,1.51,1.65
2026-06-28 12:00,1.53,1.54,1.56,1.67
2026-06-28 13:00,1.55,1.56,1.54,1.50
2026-06-28 14:00,1.49,1.53,1.56,1.58
2026-06-28 15:00,1.35,1.63,1.57,1.55
2026-06-28 16:00,1.39,1.36,1.59,1.43
2026-06-28 17:00,1.15,1.29,1.32,1.50
2026-06-28 18:00,1.08,1.23,1.42,1.34
2026-06-28 19:00,1.41,1.20,1.15,1.30
2026-06-28 20:00,1.37,1.40,1.21,1.31
2026-06-28 21:00,1.29,1.17,1.24,1.18
2026-06-28 22:00,1.19,1.38,1.25,1.18
2026-06-28 23:00,1.21,1.18,1.38,1.27
2026-06-29 00:00,1.30,1.32,1.37,1.16
2026-06-29 01:00,1.02,1.25,1.12,1.20
2026-06-29 02:00,1.11,1.23,1.20,1.38
2026-06-29 03:00,1.21,1.22,1.19,1.19
2026-06-29 04:00,1.22,1.38,1.25,1.30
2026-06-29 05:00,1.03,1.02,1.34,1.19
2026-06-29 06:00,1.08,1.22,1.39,1.24
2026-06-29 07:00,1.29,1.47,1.32,1.11
2026-06-29 08:00,1.22,1.42,1.33,1.41
2026-06-29 09:00,1.29,1.63,1.56,1.33
2026-06-29 10:00,1.41,1.31,1.69,1.61
2026-06-29 11:00,1.48,1.62,1.50,1.54
2026-06-29 12:00,1.44,1.46,1.68,1.71
2026-06-29 13:00,1.39,1.60,1.46,1.50
2026-06-29 14:00,1.52,1.31,1.51,1.61
2026-06-29 15:00,1.13,1.44,1.47,1.69
