date,SYRUP_CONCENTRATE_CONSUMED
2026-04-13,451
2026-04-14,486
2026-04-15,465
2026-04-16,460
2026-04-17,400
2026-04-18,97
2026-04-19,20
2026-04-20,453
2026-04-21,460
2026-04-22,512
2026-04-23,513
2026-04-24,426
2026-04-25,81
2026-04-26,51
2026-04-27,448
2026-04-28,502
2026-04-29,520
2026-04-30,468
2026-05-01,404
2026-05-02,73
2026-05-03,19
2026-05-04,438
2026-05-05,470
2026-05-06,499
2026-05-07,513
2026-05-08,412
2026-05-09,100
2026-05-10,56
2026-05-11,501
2026-05-12,487
2026-05-13,518
2026-05-14,483
2026-05-15,424
2026-05-16,114
2026-05-17,47
2026-05-18,502
2026-05-19,468
2026-05-20,496
2026-05-21,474
2026-05-22,395
2026-05-23,114
2026-05-24,50
2026-05-25,513
2026-05-26,501
2026-05-27,511
2026-05-28,509
2026-05-29,485
2026-05-30,45
2026-05-31,29
2026-06-01,472
2026-06-02,523
2026-06-03,493
2026-06-04,467
2026-06-05,465
2026-06-06,72
2026-06-07,16
2026-06-08,519
2026-06-09,523
2026-06-10,514
2026-06-11,508
2026-06-12,471
2026-06-13,113
2026-06-14,71
2026-06-15,510
2026-06-16,556
2026-06-17,555
2026-06-18,490
2026-06-19,439
2026-06-20,89
2026-06-21,76
2026-06-22,516
2026-06-23,604
2026-06-24,514
2026-06-25,534
2026-06-26,498
2026-06-27,88
2026-06-28,23
2026-06-29,534
2026-06-30,526
2026-07-01,543
2026-07-02,549
2026-07-03,474
2026-07-04,99
2026-07-05,68
2026-07-06,497
2026-07-07,570
2026-07-08,551
2026-07-09,558
2026-07-10,499
2026-07-11,108
