date,BOTTLES_SHIPPED
2026-04-13,431
2026-04-14,420
2026-04-15,443
2026-04-16,421
2026-04-17,364
2026-04-18,83
2026-04-19,43
2026-04-20,430
2026-04-21,451
2026-04-22,470
2026-04-23,400
2026-04-24,371
2026-04-25,91
2026-04-26,56
2026-04-27,423
2026-04-28,486
2026-04-29,457
2026-04-30,444
2026-05-01,375
2026-05-02,103
2026-05-03,75
2026-05-04,426
2026-05-05,459
2026-05-06,452
2026-05-07,439
2026-05-08,403
2026-05-09,100
2026-05-10,70
2026-05-11,439
2026-05-12,482
2026-05-13,471
2026-05-14,437
2026-05-15,394
2026-05-16,125
2026-05-17,56
2026-05-18,445
2026-05-19,484
2026-05-20,456
2026-05-21,449
2026-05-22,437
2026-05-23,114
2026-05-24,67
2026-05-25,454
2026-05-26,498
2026-05-27,480
2026-05-28,484
2026-05-29,453
2026-05-30,110
2026-05-31,69
2026-06-01,479
2026-06-02,498
2026-06-03,482
2026-06-04,492
2026-06-05,434
2026-06-06,151
2026-06-07,122
2026-06-08,482
2026-06-09,528
2026-06-10,543
2026-06-11,493
2026-06-12,434
2026-06-13,122
2026-06-14,45
2026-06-15,468
2026-06-16,492
2026-06-17,520
2026-06-18,510
2026-06-19,437
2026-06-20,89
2026-06-21,61
2026-06-22,486
2026-06-23,504
2026-06-24,511
2026-06-25,522
2026-06-26,454
2026-06-27,96
2026-06-28,79
2026-06-29,519
2026-06-30,522
2026-07-01,530
2026-07-02,510
2026-07-03,444
2026-07-04,124
2026-07-05,91
2026-07-06,519
2026-07-07,573
2026-07-08,535
2026-07-09,521
2026-07-10,475
2026-07-11,99
