timestamp,FL4_FILL_PRESSURE,FL4_VIB
2026-06-28 00:00,82.1,1.30
2026-06-28 01:00,81.3,1.17
2026-06-28 02:00,83.0,1.20
2026-06-28 03:00,92.5,1.23
2026-06-28 04:00,90.7,1.29
2026-06-28 05:00,99.2,1.03
2026-06-28 06:00,99.1,1.30
2026-06-28 07:00,112.0,1.31
2026-06-28 08:00,107.4,1.44
2026-06-28 09:00,112.8,1.18
2026-06-28 10:00,114.5,1.66
2026-06-28 11:00,121.3,1.44
2026-06-28 12:00,122.2,1.52
2026-06-28 13:00,118.4,1.88
2026-06-28 14:00,118.2,1.33
2026-06-28 15:00,111.2,1.59
2026-06-28 16:00,116.9,1.38
2026-06-28 17:00,105.8,1.37
2026-06-28 18:00,103.4,1.38
2026-06-28 19:00,95.3,1.32
2026-06-28 20:00,82.1,1.21
2026-06-28 21:00,85.8,1.26
2026-06-28 22:00,86.3,1.33
2026-06-28 23:00,81.4,1.32
2026-06-29 00:00,84.8,1.30
2026-06-29 01:00,83.1,1.33
2026-06-29 02:00,88.3,1.33
2026-06-29 03:00,87.4,1.14
2026-06-29 04:00,93.8,1.33
2026-06-29 05:00,97.0,1.28
2026-06-29 06:00,99.4,1.51
2026-06-29 07:00,108.5,1.39
2026-06-29 08:00,112.3,1.43
2026-06-29 09:00,119.4,1.47
2026-06-29 10:00,112.9,1.57
2026-06-29 11:00,117.0,1.74
2026-06-29 12:00,115.5,1.64
2026-06-29 13:00,123.3,1.63
2026-06-29 14:00,124.5,1.55
2026-06-29 15:00,109.2,1.49
2026-06-29 16:00,116.8,1.66
2026-06-29 17:00,103.4,1.36
2026-06-29 18:00,105.0,1.22
2026-06-29 19:00,95.1,1.10
2026-06-29 20:00,92.4,1.46
2026-06-29 21:00,87.1,1.11
2026-06-29 22:00,86.5,1.22
2026-06-29 23:00,87.1,1.21
2026-06-30 00:00,87.1,1.40
2026-06-30 01:00,86.8,1.08
2026-06-30 02:00,80.0,1.31
2026-06-30 03:00,82.9,1.13
2026-06-30 04:00,89.5,1.28
2026-06-30 05:00,93.6,1.35
2026-06-30 06:00,102.1,1.27
2026-06-30 07:00,102.6,1.21
2026-06-30 08:00,111.6,1.64
2026-06-30 09:00,112.9,1.50
2026-06-30 10:00,111.5,1.34
2026-06-30 11:00,120.5,1.45
2026-06-30 12:00,115.4,1.63
2026-06-30 13:00,122.1,1.52
2026-06-30 14:00,117.9,1.79
2026-06-30 15:00,112.5,1.18
2026-06-30 16:00,106.3,1.51
2026-06-30 17:00,102.1,1.29
2026-06-30 18:00,97.6,1.51
2026-06-30 19:00,98.6,1.03
2026-06-30 20:00,91.1,1.08
2026-06-30 21:00,93.5,1.31
2026-06-30 22:00,86.0,1.41
2026-06-30 23:00,81.2,1.19
2026-07-01 00:00,81.7,1.20
2026-07-01 01:00,87.2,1.38
2026-07-01 02:00,82.6,1.38
2026-07-01 03:00,84.4,1.14
2026-07-01 04:00,94.9,1.08
2026-07-01 05:00,95.3,1.30
2026-07-01 06:00,92.0,1.29
2026-07-01 07:00,105.0,1.55
2026-07-01 08:00,100.7,1.51
2026-07-01 09:00,114.9,1.52
2026-07-01 10:00,117.0,1.23
2026-07-01 11:00,124.0,1.51
2026-07-01 12:00,117.0,1.74
2026-07-01 13:00,121.3,1.59
2026-07-01 14:00,114.0,1.56
2026-07-01 15:00,115.5,1.72
2026-07-01 16:00,103.9,1.39
