date,STEEL_BILLET_CONSUMED,QUENCH_OIL_CONSUMED,PROTECTIVE_COATING_CONSUMED,PACKAGING_STRAP_CONSUMED
2026-06-12,414,969,946,674
2026-06-13,93,202,224,96
2026-06-14,50,106,12,48
2026-06-15,425,1078,1111,641
2026-06-16,465,1062,1098,720
2026-06-17,440,1113,1041,786
2026-06-18,446,957,1106,775
2026-06-19,418,936,956,697
2026-06-20,53,252,218,149
2026-06-21,65,49,67,77
2026-06-22,418,1036,1055,699
2026-06-23,495,1146,1040,786
2026-06-24,510,1066,1128,713
2026-06-25,452,1055,1112,725
2026-06-26,437,916,911,652
2026-06-27,100,291,258,178
2026-06-28,52,132,36,0
2026-06-29,456,1033,1051,802
2026-06-30,486,1059,1162,775
2026-07-01,512,1121,1121,784
2026-07-02,439,1023,1075,763
2026-07-03,390,961,967,702
2026-07-04,110,262,194,122
2026-07-05,66,74,172,57
2026-07-06,493,1160,1157,801
2026-07-07,489,1137,1134,826
2026-07-08,488,1169,1183,812
2026-07-09,490,1053,1081,781
2026-07-10,434,988,993,691
2026-07-11,92,199,318,184
