date,HARDENED_ROD_SHIPPED,TEMPERED_PLATE_SHIPPED,ANNEALED_COIL_SHIPPED,CASE_HARDENED_GEAR_SHIPPED
2026-06-12,144,94,63,74
2026-06-13,40,19,39,0
2026-06-14,42,20,9,13
2026-06-15,163,122,93,71
2026-06-16,176,104,100,56
2026-06-17,178,110,104,75
2026-06-18,179,120,98,55
2026-06-19,151,99,83,65
2026-06-20,63,21,23,20
2026-06-21,57,11,3,8
2026-06-22,151,103,85,87
2026-06-23,170,115,92,69
2026-06-24,184,120,102,92
2026-06-25,207,116,76,80
2026-06-26,155,100,78,69
2026-06-27,44,29,14,13
2026-06-28,21,3,29,0
2026-06-29,174,127,89,59
2026-06-30,175,106,104,57
2026-07-01,178,118,79,85
2026-07-02,186,113,79,52
2026-07-03,164,103,75,90
2026-07-04,47,10,46,8
2026-07-05,41,18,6,0
2026-07-06,182,115,75,59
2026-07-07,194,122,95,82
2026-07-08,175,124,99,85
2026-07-09,190,122,96,85
2026-07-10,175,76,107,50
2026-07-11,27,25,19,35
