date,STEEL_COIL_CONSUMED,WELD_WIRE_CONSUMED,PAINT_CONSUMED,FASTENERS_CONSUMED
2026-02-12,474,1021,1088,794
2026-02-13,375,974,960,653
2026-02-14,126,191,259,149
2026-02-15,32,119,136,89
2026-02-16,461,1064,1069,701
2026-02-17,470,1139,1172,804
2026-02-18,447,1091,1119,761
2026-02-19,434,1024,1053,684
2026-02-20,400,951,863,644
2026-02-21,112,193,127,141
2026-02-22,26,120,97,7
2026-02-23,463,946,1078,766
2026-02-24,524,1147,1111,808
2026-02-25,473,1059,1056,777
2026-02-26,434,1024,1049,699
2026-02-27,404,967,991,666
2026-02-28,114,197,241,177
2026-03-01,42,20,64,106
2026-03-02,498,1092,1044,749
2026-03-03,496,1198,1140,763
2026-03-04,500,1111,1129,781
2026-03-05,480,1129,974,712
2026-03-06,421,988,994,640
2026-03-07,60,228,229,149
2026-03-08,63,130,155,96
2026-03-09,450,1094,1071,780
2026-03-10,494,1013,1136,784
2026-03-11,468,1074,1181,768
2026-03-12,470,1126,1100,744
2026-03-13,403,968,962,687
2026-03-14,69,234,253,74
2026-03-15,41,143,143,106
2026-03-16,477,1017,974,779
2026-03-17,536,1110,1103,835
2026-03-18,523,1158,1136,832
2026-03-19,489,1087,1080,804
2026-03-20,437,1006,989,667
2026-03-21,98,171,130,185
2026-03-22,41,117,67,59
2026-03-23,483,1039,1105,709
2026-03-24,478,1079,1139,787
2026-03-25,505,1168,1039,798
2026-03-26,478,1118,1123,804
2026-03-27,457,921,1013,697
2026-03-28,75,230,256,133
2026-03-29,72,31,116,73
2026-03-30,470,1066,1196,737
2026-03-31,513,1172,1104,813
2026-04-01,508,1171,1188,829
2026-04-02,500,1133,1078,794
2026-04-03,420,969,1045,711
2026-04-04,111,150,164,115
2026-04-05,62,107,65,60
2026-04-06,471,1002,1211,826
2026-04-07,507,1174,1123,845
2026-04-08,483,1047,1121,776
2026-04-09,490,1139,1085,788
2026-04-10,416,976,944,721
2026-04-11,99,159,247,178
2026-04-12,16,112,107,121
2026-04-13,507,1180,1147,748
2026-04-14,529,1195,1245,816
2026-04-15,480,1108,1122,803
2026-04-16,509,1085,1126,770
2026-04-17,477,933,1024,713
2026-04-18,87,200,175,159
2026-04-19,65,115,154,58
2026-04-20,448,1112,1162,817
2026-04-21,490,1234,1095,848
2026-04-22,544,1118,1190,866
2026-04-23,524,1143,1177,816
2026-04-24,409,978,1038,727
2026-04-25,96,220,240,165
2026-04-26,75,93,80,85
2026-04-27,498,1208,1106,783
2026-04-28,535,1246,1163,859
2026-04-29,513,1217,1191,800
2026-04-30,521,1171,1106,853
2026-05-01,453,1133,1060,705
2026-05-02,120,208,255,159
2026-05-03,57,135,79,34
2026-05-04,500,1179,1199,778
2026-05-05,538,1257,1251,815
2026-05-06,547,1262,1198,821
2026-05-07,501,1150,1201,764
2026-05-08,441,1014,1010,727
2026-05-09,105,278,236,134
2026-05-10,54,123,84,57
2026-05-11,521,1198,1126,846
2026-05-12,543,1202,1202,819
2026-05-13,518,1214,1329,825
2026-05-14,523,1140,1091,838
2026-05-15,441,1118,1058,695
2026-05-16,90,247,244,110
2026-05-17,32,114,99,72
2026-05-18,514,1207,1111,854
2026-05-19,556,1286,1232,782
2026-05-20,566,1285,1233,877
2026-05-21,538,1213,1211,805
2026-05-22,451,1152,1047,769
2026-05-23,137,270,201,138
2026-05-24,35,81,66,73
2026-05-25,506,1225,1297,840
2026-05-26,534,1264,1279,877
2026-05-27,571,1257,1260,863
2026-05-28,536,1227,1237,792
2026-05-29,461,963,1024,718
2026-05-30,105,233,200,168
2026-05-31,33,205,147,102
2026-06-01,512,1190,1196,843
2026-06-02,551,1331,1370,798
2026-06-03,548,1309,1266,883
2026-06-04,528,1231,1201,861
2026-06-05,456,1037,1145,741
2026-06-06,96,292,217,113
2026-06-07,88,144,173,124
2026-06-08,525,1216,1223,806
2026-06-09,524,1235,1297,865
2026-06-10,592,1208,1248,914
2026-06-11,519,1183,1256,830
2026-06-12,490,1029,1059,792
2026-06-13,110,206,207,153
2026-06-14,26,144,200,130
2026-06-15,530,1241,1245,820
2026-06-16,544,1282,1323,934
2026-06-17,541,1290,1309,917
2026-06-18,505,1239,1234,809
2026-06-19,506,1086,1064,757
2026-06-20,122,182,230,155
2026-06-21,50,86,158,112
2026-06-22,537,1253,1262,818
2026-06-23,554,1309,1263,879
2026-06-24,534,1373,1308,870
2026-06-25,514,1227,1272,887
2026-06-26,501,1111,1134,810
2026-06-27,100,251,164,150
2026-06-28,27,81,89,87
2026-06-29,558,1277,1223,863
2026-06-30,582,1246,1312,931
2026-07-01,575,1314,1298,925
2026-07-02,531,1281,1316,884
2026-07-03,475,1122,1076,796
2026-07-04,112,217,230,212
2026-07-05,58,160,135,94
2026-07-06,520,1252,1287,856
2026-07-07,580,1331,1287,916
2026-07-08,580,1377,1289,943
2026-07-09,599,1293,1234,852
2026-07-10,482,1124,1193,794
2026-07-11,106,216,227,235
