date,DOOR_PANEL_SHIPPED,CHASSIS_BRACKET_SHIPPED,FENDER_ASSEMBLY_SHIPPED,BUMPER_BEAM_SHIPPED
2026-02-12,173,107,79,66
2026-02-13,154,93,65,54
2026-02-14,46,21,15,25
2026-02-15,25,17,8,12
2026-02-16,166,103,79,76
2026-02-17,183,109,102,84
2026-02-18,206,115,80,63
2026-02-19,182,89,73,83
2026-02-20,159,112,55,55
2026-02-21,38,38,23,2
2026-02-22,19,0,0,0
2026-02-23,156,109,83,68
2026-02-24,183,106,101,45
2026-02-25,179,108,83,79
2026-02-26,187,114,76,61
2026-02-27,160,103,76,58
2026-02-28,39,34,3,13
2026-03-01,41,7,44,8
2026-03-02,171,103,78,68
2026-03-03,199,115,90,67
2026-03-04,192,121,90,82
2026-03-05,177,123,81,70
2026-03-06,171,104,88,68
2026-03-07,60,29,38,25
2026-03-08,0,36,12,24
2026-03-09,181,101,77,83
2026-03-10,215,112,74,82
2026-03-11,186,107,91,77
2026-03-12,185,109,72,68
2026-03-13,175,115,96,52
2026-03-14,41,32,36,15
2026-03-15,13,1,10,13
2026-03-16,196,127,73,90
2026-03-17,192,85,87,65
2026-03-18,195,117,68,71
2026-03-19,179,113,72,71
2026-03-20,150,121,74,72
2026-03-21,39,28,17,29
2026-03-22,33,15,16,18
2026-03-23,213,114,93,86
2026-03-24,206,126,84,88
2026-03-25,218,112,72,71
2026-03-26,170,118,90,63
2026-03-27,178,91,67,66
2026-03-28,50,43,34,30
2026-03-29,46,5,2,2
2026-03-30,189,111,111,81
2026-03-31,190,136,83,83
2026-04-01,203,112,94,55
2026-04-02,206,147,100,79
2026-04-03,151,106,87,81
2026-04-04,30,49,29,25
2026-04-05,34,8,17,10
2026-04-06,190,122,62,61
2026-04-07,197,140,93,92
2026-04-08,197,121,89,66
2026-04-09,204,114,97,73
2026-04-10,194,110,79,55
2026-04-11,90,41,38,38
2026-04-12,36,13,22,1
2026-04-13,218,106,92,67
2026-04-14,179,110,90,91
2026-04-15,207,123,95,88
2026-04-16,189,127,79,68
2026-04-17,182,112,61,66
2026-04-18,71,20,15,42
2026-04-19,21,20,24,19
2026-04-20,192,119,100,105
2026-04-21,238,140,78,94
2026-04-22,225,139,96,70
2026-04-23,194,134,94,87
2026-04-24,183,114,86,69
2026-04-25,53,30,14,7
2026-04-26,58,26,11,0
2026-04-27,196,128,94,85
2026-04-28,205,111,97,87
2026-04-29,212,136,98,93
2026-04-30,200,114,81,76
2026-05-01,200,111,89,74
2026-05-02,49,5,32,30
2026-05-03,41,7,28,14
2026-05-04,206,134,97,79
2026-05-05,229,115,88,80
2026-05-06,235,141,104,84
2026-05-07,220,136,93,81
2026-05-08,191,109,90,75
2026-05-09,26,39,21,17
2026-05-10,39,30,29,22
2026-05-11,193,151,102,63
2026-05-12,224,147,95,83
2026-05-13,234,135,81,100
2026-05-14,215,124,118,94
2026-05-15,191,122,89,55
2026-05-16,37,20,38,3
2026-05-17,31,32,25,12
2026-05-18,199,113,105,73
2026-05-19,216,151,109,89
2026-05-20,228,119,115,98
2026-05-21,207,122,107,95
2026-05-22,196,109,81,73
2026-05-23,58,43,25,12
2026-05-24,59,0,16,15
2026-05-25,216,111,109,75
2026-05-26,233,127,141,121
2026-05-27,223,132,103,88
2026-05-28,229,135,103,96
2026-05-29,188,109,79,76
2026-05-30,24,26,13,41
2026-05-31,20,4,7,2
2026-06-01,223,138,99,91
2026-06-02,237,117,110,69
2026-06-03,223,154,103,87
2026-06-04,232,134,114,77
2026-06-05,218,137,90,88
2026-06-06,69,55,26,18
2026-06-07,55,23,2,23
2026-06-08,216,123,100,99
2026-06-09,221,129,99,96
2026-06-10,244,150,113,91
2026-06-11,215,136,110,74
2026-06-12,215,137,62,73
2026-06-13,72,40,30,37
2026-06-14,40,9,3,11
2026-06-15,252,128,99,93
2026-06-16,231,141,119,99
2026-06-17,252,158,117,107
2026-06-18,242,119,109,80
2026-06-19,205,130,69,55
2026-06-20,55,30,31,25
2026-06-21,37,15,10,0
2026-06-22,225,148,96,105
2026-06-23,251,159,94,84
2026-06-24,273,144,115,87
2026-06-25,247,155,113,87
2026-06-26,195,130,72,68
2026-06-27,47,36,29,11
2026-06-28,30,13,0,10
2026-06-29,218,129,94,100
2026-06-30,238,158,91,99
2026-07-01,243,151,117,110
2026-07-02,252,148,112,92
2026-07-03,210,107,74,86
2026-07-04,62,52,14,22
2026-07-05,52,15,0,27
2026-07-06,243,110,91,107
2026-07-07,254,168,113,85
2026-07-08,251,143,110,98
2026-07-09,244,136,91,78
2026-07-10,224,142,89,116
2026-07-11,75,67,23,24
