date,MOISTURE_OUT_OF_SPEC_RATE
2026-03-23,2.31
2026-03-24,2.1
2026-03-25,2.01
2026-03-26,2.29
2026-03-27,2.27
2026-03-28,1.82
2026-03-29,1.95
2026-03-30,1.6
2026-03-31,1.49
2026-04-01,1.73
2026-04-02,1.81
2026-04-03,2.28
2026-04-04,2.08
2026-04-05,1.85
2026-04-06,1.81
2026-04-07,2.02
2026-04-08,2.06
2026-04-09,2.15
2026-04-10,2.0
2026-04-11,1.45
2026-04-12,1.58
2026-04-13,1.61
2026-04-14,1.66
2026-04-15,1.74
2026-04-16,1.84
2026-04-17,1.48
2026-04-18,1.72
2026-04-19,1.9
2026-04-20,1.65
2026-04-21,1.57
2026-04-22,1.68
2026-04-23,1.61
2026-04-24,1.88
2026-04-25,1.81
2026-04-26,2.16
2026-04-27,1.99
2026-04-28,1.82
2026-04-29,1.77
2026-04-30,1.55
2026-05-01,1.71
2026-05-02,2.14
2026-05-03,2.25
2026-05-04,2.48
2026-05-05,1.92
2026-05-06,2.02
2026-05-07,2.21
2026-05-08,2.12
2026-05-09,1.92
2026-05-10,2.06
2026-05-11,1.84
2026-05-12,2.18
2026-05-13,2.17
2026-05-14,2.11
2026-05-15,2.26
2026-05-16,2.67
2026-05-17,1.98
2026-05-18,2.11
2026-05-19,2.08
2026-05-20,2.13
2026-05-21,2.66
2026-05-22,2.3
2026-05-23,2.47
2026-05-24,2.13
2026-05-25,2.0
2026-05-26,2.58
2026-05-27,2.32
2026-05-28,1.98
2026-05-29,2.12
2026-05-30,1.57
2026-05-31,1.67
2026-06-01,1.49
2026-06-02,1.26
2026-06-03,1.52
2026-06-04,1.78
2026-06-05,1.65
2026-06-06,2.09
2026-06-07,2.1
2026-06-08,1.89
2026-06-09,2.14
2026-06-10,2.59
2026-06-11,2.21
2026-06-12,2.22
2026-06-13,1.99
2026-06-14,1.76
2026-06-15,1.97
2026-06-16,1.99
2026-06-17,1.98
2026-06-18,2.39
2026-06-19,2.32
2026-06-20,2.45
2026-06-21,2.56
2026-06-22,2.4
2026-06-23,1.98
2026-06-24,2.0
2026-06-25,1.82
2026-06-26,1.88
2026-06-27,2.1
2026-06-28,2.37
2026-06-29,2.5
2026-06-30,2.01
2026-07-01,1.74
2026-07-02,1.33
2026-07-03,1.58
2026-07-04,1.67
2026-07-05,1.68
2026-07-06,2.04
2026-07-07,2.14
2026-07-08,2.62
2026-07-09,2.74
2026-07-10,2.86
2026-07-11,2.74
2026-07-12,2.56
2026-07-13,2.5
2026-07-14,2.15
2026-07-15,2.14
2026-07-16,2.27
2026-07-17,2.52
2026-07-18,2.18
2026-07-19,2.09
2026-07-20,2.1
