date,FLOUR_CONSUMED,SUGAR_CONSUMED,EDIBLE_OIL_CONSUMED,PACKAGING_FILM_CONSUMED
2026-03-23,485,339,356,148
2026-03-24,430,662,728,620
2026-03-25,293,845,260,0
2026-03-26,223,175,374,744
2026-03-27,204,406,152,82
2026-03-28,345,114,699,292
2026-03-29,260,249,353,471
2026-03-30,482,169,642,668
2026-03-31,407,258,570,504
2026-04-01,195,382,292,50
2026-04-02,297,405,342,502
2026-04-03,564,318,343,308
2026-04-04,277,172,358,552
2026-04-05,281,585,195,458
2026-04-06,636,130,880,403
2026-04-07,513,544,295,309
2026-04-08,6,517,343,432
2026-04-09,293,297,247,666
2026-04-10,458,503,481,656
2026-04-11,321,179,395,354
2026-04-12,454,174,419,572
2026-04-13,682,494,658,2
2026-04-14,268,299,665,319
2026-04-15,734,432,459,634
2026-04-16,377,162,190,106
2026-04-17,250,465,136,277
2026-04-18,504,601,592,470
2026-04-19,568,369,452,712
2026-04-20,167,392,260,475
2026-04-21,403,780,432,355
2026-04-22,331,98,501,420
2026-04-23,558,0,521,579
2026-04-24,590,186,533,105
2026-04-25,238,568,368,501
2026-04-26,645,678,527,525
2026-04-27,552,294,479,94
2026-04-28,202,60,631,382
2026-04-29,368,390,330,118
2026-04-30,233,277,569,352
2026-05-01,525,108,249,221
2026-05-02,446,224,340,525
2026-05-03,763,666,182,405
2026-05-04,495,190,568,659
2026-05-05,619,323,269,675
2026-05-06,480,439,524,198
2026-05-07,417,387,197,208
2026-05-08,227,400,206,457
2026-05-09,674,319,403,351
2026-05-10,310,732,324,408
2026-05-11,484,542,620,433
2026-05-12,223,419,745,307
2026-05-13,262,136,499,804
2026-05-14,587,337,260,633
2026-05-15,406,96,335,186
2026-05-16,695,228,543,179
2026-05-17,374,362,530,43
2026-05-18,743,492,214,705
2026-05-19,697,24,246,497
2026-05-20,541,542,752,234
2026-05-21,335,316,364,428
2026-05-22,797,266,593,106
2026-05-23,479,509,194,51
2026-05-24,290,536,350,525
2026-05-25,514,568,433,469
2026-05-26,213,585,207,460
2026-05-27,406,433,483,489
2026-05-28,854,777,163,543
2026-05-29,334,365,779,252
2026-05-30,130,223,0,247
2026-05-31,539,373,688,480
2026-06-01,503,597,147,425
2026-06-02,98,99,500,782
2026-06-03,816,82,413,437
2026-06-04,337,260,507,146
2026-06-05,51,443,148,615
2026-06-06,494,617,169,531
2026-06-07,322,340,483,279
2026-06-08,508,376,137,107
2026-06-09,405,419,676,430
2026-06-10,868,618,473,548
2026-06-11,82,328,771,447
2026-06-12,592,831,231,538
2026-06-13,435,0,276,198
2026-06-14,565,204,341,489
2026-06-15,231,568,369,456
2026-06-16,276,439,428,0
2026-06-17,312,711,498,591
2026-06-18,557,61,0,330
2026-06-19,286,398,323,254
2026-06-20,376,454,213,854
2026-06-21,532,420,547,336
2026-06-22,359,0,524,692
2026-06-23,751,643,134,546
2026-06-24,520,342,508,476
2026-06-25,338,212,975,115
2026-06-26,592,630,380,723
2026-06-27,284,108,657,654
2026-06-28,576,263,116,555
2026-06-29,124,612,374,359
2026-06-30,578,339,0,486
2026-07-01,177,549,186,460
2026-07-02,655,711,352,450
2026-07-03,538,440,103,0
2026-07-04,480,687,354,698
2026-07-05,661,472,185,164
2026-07-06,246,424,466,223
2026-07-07,456,197,232,684
2026-07-08,847,329,345,798
2026-07-09,391,485,430,434
2026-07-10,572,266,371,276
2026-07-11,137,352,355,465
2026-07-12,423,305,598,369
2026-07-13,157,70,483,160
2026-07-14,615,223,475,173
2026-07-15,438,363,398,13
2026-07-16,164,412,606,189
2026-07-17,575,437,336,234
2026-07-18,641,557,584,650
2026-07-19,453,763,270,537
2026-07-20,324,508,456,391
