order_id,quantity,due_date
ORD-2000,264,2026-07-31
ORD-2001,574,2026-07-28
ORD-2002,496,2026-07-30
ORD-2003,465,2026-07-24
ORD-2004,173,2026-07-27
ORD-2005,731,2026-07-27
ORD-2006,641,2026-07-31
ORD-2007,573,2026-07-27
ORD-2008,589,2026-07-28
ORD-2009,488,2026-07-30
ORD-2010,604,2026-07-27
ORD-2011,593,2026-07-31
ORD-2012,412,2026-07-26
ORD-2013,363,2026-07-26
ORD-2014,594,2026-07-26
ORD-2015,419,2026-08-01
ORD-2016,280,2026-07-25
ORD-2017,783,2026-08-01
ORD-2018,755,2026-07-31
ORD-2019,208,2026-07-30
