order_id,order_date,quantity,destination_region,rush_order,promised_lead_days,actual_lead_time_days
ORD-1000,2026-04-21,634,west,no,3,5
ORD-1001,2026-05-18,692,east,no,4,4
ORD-1002,2026-05-03,609,east,no,7,7
ORD-1003,2026-05-10,403,east,no,3,3
ORD-1004,2026-05-26,518,east,no,4,4
ORD-1005,2026-06-18,293,west,no,4,5
ORD-1006,2026-05-18,429,north,yes,3,2
ORD-1007,2026-04-12,222,north,yes,6,7
ORD-1008,2026-07-03,780,east,no,5,6
ORD-1009,2026-05-07,678,west,no,3,3
ORD-1010,2026-06-29,524,north,no,4,5
ORD-1011,2026-06-30,754,north,no,7,6
ORD-1012,2026-07-04,885,south,yes,7,6
ORD-1013,2026-06-12,482,south,no,5,5
ORD-1014,2026-06-03,253,north,no,7,9
ORD-1015,2026-07-15,332,south,no,6,6
ORD-1016,2026-04-02,482,west,no,4,4
ORD-1017,2026-05-15,503,west,yes,3,2
ORD-1018,2026-07-11,722,north,yes,6,4
ORD-1019,2026-05-11,275,south,no,4,4
ORD-1020,2026-06-20,281,south,no,4,3
ORD-1021,2026-06-02,388,south,no,5,6
ORD-1022,2026-06-14,502,south,no,5,6
ORD-1023,2026-06-18,509,east,no,5,4
ORD-1024,2026-05-12,953,south,no,4,4
ORD-1025,2026-04-05,316,west,no,5,7
ORD-1026,2026-06-13,386,south,no,7,8
ORD-1027,2026-04-05,324,north,no,7,7
ORD-1028,2026-03-28,859,north,yes,6,4
ORD-1029,2026-06-10,236,south,no,4,5
ORD-1030,2026-05-20,717,west,no,3,5
ORD-1031,2026-05-26,541,east,yes,6,5
ORD-1032,2026-05-04,324,west,no,3,4
ORD-1033,2026-04-07,764,south,yes,4,4
ORD-1034,2026-06-03,405,north,no,7,6
ORD-1035,2026-05-16,886,north,no,6,5
ORD-1036,2026-06-04,848,south,no,4,5
ORD-1037,2026-05-03,240,south,no,6,7
ORD-1038,2026-05-27,350,south,no,4,4
ORD-1039,2026-04-24,139,east,no,3,3
ORD-1040,2026-05-19,312,west,no,7,7
ORD-1041,2026-04-27,585,south,no,7,6
ORD-1042,2026-04-12,984,south,no,4,4
ORD-1043,2026-06-19,615,south,yes,7,5
ORD-1044,2026-05-08,492,south,no,3,3
ORD-1045,2026-05-22,149,north,no,4,3
ORD-1046,2026-03-31,407,south,no,7,7
ORD-1047,2026-05-12,137,north,no,5,4
ORD-1048,2026-05-21,875,west,no,7,8
ORD-1049,2026-05-04,894,east,no,4,5
ORD-1050,2026-05-29,141,south,no,6,8
ORD-1051,2026-05-05,492,west,no,4,6
ORD-1052,2026-04-26,563,south,no,6,7
ORD-1053,2026-06-18,984,north,no,7,7
ORD-1054,2026-07-01,118,south,no,6,5
ORD-1055,2026-06-01,766,north,yes,5,3
ORD-1056,2026-07-03,899,east,no,4,4
ORD-1057,2026-07-05,912,west,no,3,3
ORD-1058,2026-07-17,594,south,no,6,7
ORD-1059,2026-07-02,823,east,yes,7,7
ORD-1060,2026-05-25,665,east,no,6,6
ORD-1061,2026-07-01,283,north,yes,7,6
ORD-1062,2026-06-10,433,east,no,6,7
ORD-1063,2026-05-18,519,west,no,5,6
ORD-1064,2026-03-31,933,east,no,6,7
ORD-1065,2026-06-09,305,west,no,4,6
ORD-1066,2026-04-12,371,east,yes,7,8
ORD-1067,2026-04-29,892,south,no,7,7
ORD-1068,2026-03-26,884,north,yes,7,7
ORD-1069,2026-05-05,403,west,no,7,8
ORD-1070,2026-05-22,666,north,no,4,6
ORD-1071,2026-07-10,407,south,yes,6,5
ORD-1072,2026-06-28,543,north,no,3,3
