date,BISCUIT_CARTON_SHIPPED,WAFER_CARTON_SHIPPED,COOKIE_CARTON_SHIPPED,CRACKER_CARTON_SHIPPED
2026-03-23,82,59,148,42
2026-03-24,79,125,15,159
2026-03-25,100,175,145,131
2026-03-26,82,103,93,20
2026-03-27,64,25,50,87
2026-03-28,34,87,130,39
2026-03-29,72,55,74,110
2026-03-30,88,68,140,10
2026-03-31,116,141,117,109
2026-04-01,91,89,28,68
2026-04-02,138,176,108,89
2026-04-03,154,40,71,83
2026-04-04,37,100,76,102
2026-04-05,13,100,80,151
2026-04-06,51,83,160,49
2026-04-07,16,120,2,75
2026-04-08,67,144,88,0
2026-04-09,160,97,44,48
2026-04-10,9,37,115,123
2026-04-11,80,110,103,29
2026-04-12,169,0,17,52
2026-04-13,141,127,167,86
2026-04-14,81,69,128,102
2026-04-15,111,107,118,156
2026-04-16,34,127,80,115
2026-04-17,86,50,80,73
2026-04-18,52,89,88,152
2026-04-19,190,112,77,79
2026-04-20,89,93,0,151
2026-04-21,130,119,118,94
2026-04-22,65,75,122,91
2026-04-23,92,85,74,98
2026-04-24,58,136,173,13
2026-04-25,68,180,92,67
2026-04-26,108,137,109,99
2026-04-27,40,108,11,59
2026-04-28,41,79,53,108
2026-04-29,74,91,38,102
2026-04-30,63,92,99,73
2026-05-01,90,121,96,139
2026-05-02,43,61,78,48
2026-05-03,63,82,17,131
2026-05-04,78,120,104,43
2026-05-05,75,5,2,78
2026-05-06,55,43,58,132
2026-05-07,63,109,102,110
2026-05-08,141,54,125,101
2026-05-09,58,25,27,142
2026-05-10,121,111,64,82
2026-05-11,110,52,101,0
2026-05-12,93,166,68,91
2026-05-13,150,32,113,105
2026-05-14,98,175,96,113
2026-05-15,20,55,2,190
2026-05-16,141,63,110,147
2026-05-17,190,84,2,63
2026-05-18,184,178,81,49
2026-05-19,71,87,108,95
2026-05-20,163,86,113,41
2026-05-21,103,133,87,153
2026-05-22,140,74,173,109
2026-05-23,161,128,81,116
2026-05-24,98,74,33,129
2026-05-25,100,170,146,140
2026-05-26,54,56,114,0
2026-05-27,62,183,79,53
2026-05-28,168,75,186,185
2026-05-29,152,26,89,142
2026-05-30,93,64,81,55
2026-05-31,42,89,79,41
2026-06-01,56,75,128,64
2026-06-02,76,128,134,137
2026-06-03,141,60,19,96
2026-06-04,112,156,92,81
2026-06-05,103,53,101,102
2026-06-06,41,38,75,173
2026-06-07,28,85,91,122
2026-06-08,117,60,102,130
2026-06-09,44,94,114,78
2026-06-10,78,125,97,119
2026-06-11,52,186,16,76
2026-06-12,0,99,102,110
2026-06-13,57,154,156,61
2026-06-14,54,108,95,167
2026-06-15,133,125,53,102
2026-06-16,194,69,66,61
2026-06-17,153,99,11,150
2026-06-18,154,37,0,52
2026-06-19,65,55,55,99
2026-06-20,162,131,86,34
2026-06-21,10,65,111,103
2026-06-22,93,123,114,117
2026-06-23,71,119,140,110
2026-06-24,84,52,118,67
2026-06-25,155,55,57,94
2026-06-26,68,64,27,115
2026-06-27,102,124,115,101
2026-06-28,79,33,130,101
2026-06-29,80,83,116,64
2026-06-30,35,29,148,68
2026-07-01,129,39,11,127
2026-07-02,76,54,43,55
2026-07-03,66,154,80,86
2026-07-04,74,75,53,79
2026-07-05,129,97,65,59
2026-07-06,102,12,111,118
2026-07-07,124,62,118,77
2026-07-08,120,100,67,115
2026-07-09,135,96,78,21
2026-07-10,162,117,139,166
2026-07-11,121,152,65,126
2026-07-12,65,85,74,152
2026-07-13,136,105,60,90
2026-07-14,155,143,53,100
2026-07-15,79,85,108,124
2026-07-16,89,1,9,114
2026-07-17,149,49,127,79
2026-07-18,106,156,39,144
2026-07-19,81,54,106,129
2026-07-20,95,145,70,95
