timestamp,DM1_VIB,SH2_VIB,OV5_VIB,CT2_VIB,PK3_VIB
2026-04-22 00:00,1.07,1.08,1.02,0.95,1.18
2026-04-22 01:00,0.97,1.03,0.97,0.89,1.17
2026-04-22 02:00,0.98,1.08,1.09,0.88,1.14
2026-04-22 03:00,1.1,0.95,1.15,1.0,1.11
2026-04-22 04:00,1.06,1.0,1.16,1.07,1.2
2026-04-22 05:00,1.07,0.91,1.14,1.13,1.17
2026-04-22 06:00,1.0,0.95,1.05,1.08,1.2
2026-04-22 07:00,0.9,1.01,0.97,0.99,1.14
2026-04-22 08:00,1.04,1.02,0.97,0.9,1.18
2026-04-22 09:00,0.88,1.15,0.99,0.99,1.2
2026-04-22 10:00,0.93,1.22,0.9,0.98,1.16
2026-04-22 11:00,0.97,1.33,1.01,1.03,1.21
2026-04-22 12:00,1.03,1.45,1.02,1.1,1.13
2026-04-22 13:00,0.95,1.47,1.03,1.1,1.3
2026-04-22 14:00,1.06,1.42,1.0,0.94,1.09
2026-04-22 15:00,1.12,1.26,0.9,0.99,1.03
2026-04-22 16:00,1.11,1.34,0.98,0.96,1.0
2026-04-22 17:00,1.16,1.37,0.99,1.01,1.11
2026-04-22 18:00,1.06,1.29,1.04,1.0,1.19
2026-04-22 19:00,0.91,1.26,1.02,0.93,1.21
2026-04-22 20:00,0.95,1.14,1.02,0.8,1.19
2026-04-22 21:00,0.92,1.15,1.08,0.85,1.17
2026-04-22 22:00,0.94,1.04,1.09,0.94,1.26
2026-04-22 23:00,0.93,1.07,1.1,1.06,1.07
2026-04-23 00:00,0.94,1.03,1.11,1.14,1.06
2026-04-23 01:00,1.02,1.02,1.16,1.12,1.04
2026-04-23 02:00,1.05,1.07,1.21,1.08,1.03
2026-04-23 03:00,1.08,1.1,1.21,0.9,0.98
2026-04-23 04:00,1.03,1.14,1.11,0.95,1.08
2026-04-23 05:00,1.0,1.2,1.1,0.85,1.1
2026-04-23 06:00,1.01,1.21,1.17,0.95,1.08
2026-04-23 07:00,1.05,1.22,1.04,0.91,1.05
2026-04-23 08:00,1.0,1.2,1.02,0.99,1.04
2026-04-23 09:00,0.9,1.24,0.97,0.87,1.05
2026-04-23 10:00,0.95,1.23,0.86,0.94,1.07
2026-04-23 11:00,0.97,1.17,0.79,0.86,1.02
2026-04-23 12:00,1.01,1.14,0.94,0.92,1.09
2026-04-23 13:00,1.08,1.18,1.0,0.85,1.04
2026-04-23 14:00,1.1,1.14,0.9,0.72,1.07
2026-04-23 15:00,1.06,1.17,0.92,0.76,1.23
2026-04-23 16:00,1.02,1.24,1.0,0.81,1.11
2026-04-23 17:00,0.99,1.29,0.98,0.82,1.04
2026-04-23 18:00,0.97,1.24,1.0,0.85,1.17
2026-04-23 19:00,0.93,1.17,0.99,0.88,1.12
2026-04-23 20:00,0.88,1.19,0.94,0.93,1.17
2026-04-23 21:00,0.82,1.16,0.97,1.03,0.99
2026-04-23 22:00,0.79,1.14,0.93,0.99,1.06
2026-04-23 23:00,0.81,1.2,1.03,1.03,0.98
2026-04-24 00:00,0.88,1.2,1.08,1.03,0.96
2026-04-24 01:00,0.97,1.2,1.01,0.83,1.03
2026-04-24 02:00,1.01,1.26,0.86,0.77,1.06
2026-04-24 03:00,1.06,1.28,0.91,0.81,1.0
2026-04-24 04:00,0.98,1.15,1.04,0.95,1.0
2026-04-24 05:00,1.05,1.1,1.12,0.95,0.92
2026-04-24 06:00,0.97,1.17,1.18,1.02,0.96
2026-04-24 07:00,0.99,1.31,1.05,0.97,0.98
2026-04-24 08:00,0.88,1.2,1.03,1.01,1.07
2026-04-24 09:00,0.85,1.21,0.91,0.9,1.08
2026-04-24 10:00,0.88,1.28,0.99,0.88,1.15
2026-04-24 11:00,0.87,1.29,0.93,0.93,1.05
2026-04-24 12:00,0.9,1.2,0.99,0.99,0.99
2026-04-24 13:00,0.82,1.27,1.02,1.0,1.04
2026-04-24 14:00,0.85,1.24,1.02,0.96,1.21
2026-04-24 15:00,1.03,1.19,0.88,0.96,1.2
2026-04-24 16:00,0.86,1.25,0.93,0.88,1.13
2026-04-24 17:00,0.87,1.22,1.07,0.91,1.2
2026-04-24 18:00,1.0,1.21,1.12,0.85,1.2
2026-04-24 19:00,0.9,1.14,1.02,0.83,1.2
2026-04-24 20:00,0.79,1.1,1.03,0.92,1.16
2026-04-24 21:00,0.9,1.08,1.08,0.87,1.17
2026-04-24 22:00,0.94,1.14,1.05,0.87,1.08
2026-04-24 23:00,0.98,1.17,0.96,0.95,1.11
2026-04-25 00:00,0.98,1.06,0.91,0.96,1.06
2026-04-25 01:00,1.07,1.14,0.93,0.83,1.1
2026-04-25 02:00,1.13,1.25,1.0,0.93,1.07
2026-04-25 03:00,1.09,1.23,0.95,0.91,1.01
