date,API_CONSUMED,EXCIPIENT_CONSUMED,COATING_SOLUTION_CONSUMED,BLISTER_FOIL_CONSUMED
2026-03-23,342,192,167,739
2026-03-24,380,536,401,457
2026-03-25,605,428,447,150
2026-03-26,0,544,334,548
2026-03-27,597,489,434,693
2026-03-28,251,501,399,540
2026-03-29,473,75,89,169
2026-03-30,594,324,383,251
2026-03-31,470,292,493,353
2026-04-01,161,383,308,570
2026-04-02,592,140,628,83
2026-04-03,290,721,32,503
2026-04-04,390,191,95,311
2026-04-05,292,509,302,268
2026-04-06,485,173,250,381
2026-04-07,433,522,625,436
2026-04-08,998,847,588,0
2026-04-09,682,45,263,516
2026-04-10,320,575,212,385
2026-04-11,206,470,823,298
2026-04-12,115,289,459,322
2026-04-13,550,513,543,388
2026-04-14,348,158,566,462
2026-04-15,567,313,477,445
2026-04-16,135,311,172,176
2026-04-17,80,614,858,576
2026-04-18,99,679,719,643
2026-04-19,444,259,327,564
2026-04-20,407,530,464,535
2026-04-21,443,171,298,473
2026-04-22,145,206,448,461
2026-04-23,402,522,758,0
2026-04-24,475,387,768,260
2026-04-25,284,387,664,395
2026-04-26,0,347,378,0
2026-04-27,331,438,543,518
2026-04-28,287,728,527,465
2026-04-29,259,573,319,422
2026-04-30,531,260,504,533
2026-05-01,330,485,377,229
2026-05-02,562,110,614,50
2026-05-03,529,638,344,64
2026-05-04,574,216,347,349
2026-05-05,229,290,682,119
2026-05-06,235,324,366,579
2026-05-07,403,741,539,319
2026-05-08,542,39,377,444
2026-05-09,289,239,290,612
2026-05-10,621,669,345,466
2026-05-11,335,410,224,538
2026-05-12,486,230,196,212
2026-05-13,372,480,457,117
2026-05-14,254,195,605,505
2026-05-15,241,48,285,392
2026-05-16,363,226,298,341
2026-05-17,240,845,272,499
2026-05-18,664,538,355,625
2026-05-19,860,340,238,338
2026-05-20,560,613,540,248
2026-05-21,149,476,222,375
2026-05-22,317,242,250,171
2026-05-23,470,381,444,412
2026-05-24,130,163,269,144
2026-05-25,433,571,248,155
2026-05-26,548,619,358,485
2026-05-27,367,163,675,278
2026-05-28,432,587,635,208
2026-05-29,491,179,726,252
2026-05-30,516,606,383,221
2026-05-31,382,709,161,406
2026-06-01,454,547,311,310
2026-06-02,758,308,257,123
2026-06-03,161,445,373,197
2026-06-04,720,304,388,208
2026-06-05,188,271,0,467
2026-06-06,429,182,530,286
2026-06-07,568,0,357,312
2026-06-08,434,382,333,361
2026-06-09,837,255,655,211
2026-06-10,438,56,452,377
2026-06-11,85,723,245,355
2026-06-12,358,519,339,798
2026-06-13,53,430,509,487
2026-06-14,648,491,611,164
2026-06-15,415,593,267,437
2026-06-16,221,390,328,634
2026-06-17,206,430,287,51
2026-06-18,464,200,506,809
2026-06-19,324,446,571,489
2026-06-20,465,359,563,326
2026-06-21,226,134,189,583
2026-06-22,248,491,509,713
2026-06-23,198,311,618,398
2026-06-24,72,216,344,362
2026-06-25,342,734,481,8
2026-06-26,486,180,0,616
2026-06-27,642,434,484,615
2026-06-28,230,318,306,566
2026-06-29,351,325,323,293
2026-06-30,548,266,392,343
2026-07-01,206,279,295,595
2026-07-02,320,255,559,305
2026-07-03,136,594,161,518
2026-07-04,477,337,298,41
2026-07-05,339,648,149,902
2026-07-06,370,896,696,380
2026-07-07,295,836,246,284
2026-07-08,424,383,372,537
2026-07-09,355,392,345,483
2026-07-10,178,572,992,902
2026-07-11,371,247,544,660
2026-07-12,611,322,283,524
2026-07-13,571,313,483,91
2026-07-14,425,239,475,245
2026-07-15,413,660,421,666
2026-07-16,307,251,236,528
2026-07-17,186,460,540,166
2026-07-18,377,363,321,114
2026-07-19,529,344,353,305
2026-07-20,333,518,180,572
