order_id,quantity,due_date
ORD-2000,398,2026-07-31
ORD-2001,654,2026-07-28
ORD-2002,294,2026-07-26
ORD-2003,138,2026-07-30
ORD-2004,233,2026-07-28
ORD-2005,373,2026-07-28
ORD-2006,104,2026-07-29
ORD-2007,459,2026-07-26
ORD-2008,608,2026-07-30
ORD-2009,259,2026-07-24
ORD-2010,590,2026-07-25
ORD-2011,277,2026-08-01
ORD-2012,701,2026-07-29
ORD-2013,659,2026-08-01
ORD-2014,507,2026-07-25
ORD-2015,103,2026-07-25
ORD-2016,548,2026-07-27
ORD-2017,313,2026-07-30
ORD-2018,703,2026-07-26
ORD-2019,102,2026-07-28
