order_id,order_date,quantity,destination_region,rush_order,promised_lead_days,actual_lead_time_days
ORD-1000,2026-04-12,989,south,no,4,4
ORD-1001,2026-04-16,161,north,no,4,6
ORD-1002,2026-06-02,528,west,yes,7,6
ORD-1003,2026-04-12,518,south,no,4,3
ORD-1004,2026-05-31,302,west,yes,3,2
ORD-1005,2026-04-27,955,north,no,6,6
ORD-1006,2026-04-10,554,south,no,3,3
ORD-1007,2026-06-04,621,south,no,6,8
ORD-1008,2026-06-20,704,south,yes,6,6
ORD-1009,2026-07-16,354,west,yes,7,6
ORD-1010,2026-05-09,917,west,no,7,6
ORD-1011,2026-04-18,774,south,no,4,4
ORD-1012,2026-04-06,965,west,no,5,5
ORD-1013,2026-04-11,376,north,no,6,7
ORD-1014,2026-06-05,492,west,yes,3,2
ORD-1015,2026-06-26,903,north,yes,4,3
ORD-1016,2026-04-10,919,west,no,6,6
ORD-1017,2026-05-03,224,west,no,7,8
ORD-1018,2026-05-12,794,south,no,3,5
ORD-1019,2026-07-12,719,north,no,6,6
ORD-1020,2026-06-04,773,west,yes,3,3
ORD-1021,2026-05-12,490,west,no,4,3
ORD-1022,2026-05-04,115,north,no,7,8
ORD-1023,2026-04-20,817,south,no,4,4
ORD-1024,2026-04-07,531,west,no,3,3
ORD-1025,2026-04-27,441,south,no,3,5
ORD-1026,2026-03-23,803,south,no,4,3
ORD-1027,2026-04-30,426,west,yes,5,4
ORD-1028,2026-05-08,791,east,no,7,9
ORD-1029,2026-04-22,492,east,no,7,9
ORD-1030,2026-05-11,571,east,yes,3,1
ORD-1031,2026-06-11,820,south,no,7,7
ORD-1032,2026-07-14,623,east,no,4,5
ORD-1033,2026-05-14,393,north,no,5,7
ORD-1034,2026-04-08,237,east,no,5,6
ORD-1035,2026-04-01,607,south,yes,4,4
ORD-1036,2026-06-20,894,east,no,7,7
ORD-1037,2026-04-17,156,north,yes,7,8
ORD-1038,2026-06-18,147,south,no,7,7
ORD-1039,2026-05-06,624,north,no,6,7
ORD-1040,2026-06-25,877,east,no,3,5
ORD-1041,2026-07-09,385,south,no,7,8
ORD-1042,2026-06-26,207,east,yes,7,6
ORD-1043,2026-06-27,416,south,no,6,7
ORD-1044,2026-07-17,209,west,yes,4,3
ORD-1045,2026-07-08,905,east,no,6,7
ORD-1046,2026-06-08,605,north,no,4,4
ORD-1047,2026-05-11,645,north,no,7,6
ORD-1048,2026-04-30,124,north,yes,4,3
ORD-1049,2026-07-03,271,south,no,6,7
ORD-1050,2026-07-06,109,north,no,7,6
ORD-1051,2026-06-19,945,east,no,3,2
ORD-1052,2026-05-20,875,north,no,7,7
ORD-1053,2026-07-09,259,west,no,4,4
ORD-1054,2026-05-09,132,west,yes,3,3
ORD-1055,2026-07-14,967,east,no,7,9
ORD-1056,2026-04-02,986,north,no,7,6
ORD-1057,2026-05-29,935,south,no,7,7
ORD-1058,2026-07-13,260,east,no,6,7
ORD-1059,2026-04-28,664,east,no,5,7
ORD-1060,2026-05-23,334,west,no,4,4
ORD-1061,2026-06-21,827,west,yes,5,5
ORD-1062,2026-05-25,136,north,no,4,3
ORD-1063,2026-04-01,596,west,no,7,6
ORD-1064,2026-07-13,202,west,no,5,5
ORD-1065,2026-06-19,553,west,yes,4,4
ORD-1066,2026-07-10,400,east,no,7,7
ORD-1067,2026-05-17,446,south,yes,5,4
ORD-1068,2026-05-25,151,west,no,5,7
ORD-1069,2026-04-07,470,south,no,6,8
ORD-1070,2026-06-12,702,north,no,4,3
ORD-1071,2026-03-28,128,north,yes,7,5
ORD-1072,2026-07-04,599,north,yes,6,6
ORD-1073,2026-07-12,631,west,no,3,4
ORD-1074,2026-04-26,105,east,no,3,3
ORD-1075,2026-06-19,988,north,no,7,7
ORD-1076,2026-05-13,758,west,no,5,5
ORD-1077,2026-07-10,121,west,no,3,5
ORD-1078,2026-06-20,456,east,yes,4,4
ORD-1079,2026-05-02,107,south,no,7,9
ORD-1080,2026-04-13,972,south,no,3,2
ORD-1081,2026-04-10,222,west,yes,5,4
ORD-1082,2026-05-29,921,east,no,6,6
ORD-1083,2026-06-12,763,west,yes,6,6
ORD-1084,2026-04-24,742,north,no,4,6
ORD-1085,2026-06-22,535,south,no,7,7
ORD-1086,2026-04-08,363,south,yes,4,2
ORD-1087,2026-07-07,901,north,no,3,4
ORD-1088,2026-06-18,190,north,no,5,5
ORD-1089,2026-06-10,217,south,no,4,5
ORD-1090,2026-06-10,472,north,no,5,5
ORD-1091,2026-06-02,150,west,no,3,2
ORD-1092,2026-04-28,836,north,no,7,8
ORD-1093,2026-06-08,534,north,yes,6,5
ORD-1094,2026-06-30,360,west,no,6,8
ORD-1095,2026-05-26,125,west,yes,3,4
ORD-1096,2026-06-14,219,north,yes,5,6
ORD-1097,2026-04-18,142,west,no,6,7
ORD-1098,2026-04-01,402,east,no,4,5
ORD-1099,2026-05-16,271,west,no,3,2
ORD-1100,2026-06-01,776,east,no,4,4
ORD-1101,2026-06-23,531,west,no,5,6
ORD-1102,2026-06-24,454,north,yes,7,8
ORD-1103,2026-07-09,198,south,no,6,5
ORD-1104,2026-06-16,889,north,no,6,6
ORD-1105,2026-05-08,292,west,no,4,5
ORD-1106,2026-06-20,745,east,no,7,9
ORD-1107,2026-07-14,533,north,yes,7,8
ORD-1108,2026-05-23,900,south,yes,3,1
ORD-1109,2026-06-11,956,south,no,6,7
ORD-1110,2026-05-30,491,west,no,5,5
ORD-1111,2026-06-05,159,east,no,3,3
ORD-1112,2026-04-25,694,west,no,5,7
ORD-1113,2026-06-02,692,west,no,6,8
ORD-1114,2026-05-13,633,north,yes,6,5
ORD-1115,2026-04-28,356,west,no,5,4
ORD-1116,2026-05-11,244,east,no,4,4
ORD-1117,2026-06-16,879,south,no,4,6
ORD-1118,2026-06-04,981,east,yes,7,5
ORD-1119,2026-04-09,928,east,yes,5,4
ORD-1120,2026-03-31,600,west,yes,5,5
ORD-1121,2026-03-26,330,east,no,3,5
ORD-1122,2026-06-18,119,east,no,7,7
ORD-1123,2026-04-14,910,south,no,6,7
ORD-1124,2026-05-03,695,east,no,4,3
ORD-1125,2026-04-14,203,south,no,3,4
ORD-1126,2026-07-13,400,north,no,7,8
ORD-1127,2026-06-03,705,east,yes,5,5
ORD-1128,2026-03-26,917,south,no,5,6
ORD-1129,2026-05-18,351,east,no,4,4
ORD-1130,2026-04-10,523,south,no,5,5
ORD-1131,2026-05-24,739,west,no,7,8
ORD-1132,2026-05-06,332,west,yes,6,6
ORD-1133,2026-04-17,333,south,no,6,6
ORD-1134,2026-04-12,180,east,yes,3,4
ORD-1135,2026-06-06,799,east,no,6,6
ORD-1136,2026-06-14,295,east,no,3,3
ORD-1137,2026-03-25,253,south,no,6,6
ORD-1138,2026-05-29,134,north,yes,7,7
ORD-1139,2026-04-05,911,east,no,3,4
ORD-1140,2026-06-27,538,west,yes,5,4
ORD-1141,2026-05-22,573,west,no,5,5
ORD-1142,2026-05-10,638,north,yes,3,1
ORD-1143,2026-06-23,980,south,yes,5,4
ORD-1144,2026-04-17,246,south,no,3,5
ORD-1145,2026-07-02,572,south,yes,3,2
ORD-1146,2026-03-25,361,south,yes,4,3
ORD-1147,2026-05-10,850,north,no,6,6
ORD-1148,2026-06-08,457,south,no,3,3
ORD-1149,2026-03-28,165,east,no,5,5
ORD-1150,2026-04-09,706,west,no,6,6
ORD-1151,2026-05-27,114,north,no,6,5
ORD-1152,2026-06-19,405,north,yes,7,5
ORD-1153,2026-05-18,514,north,no,7,6
ORD-1154,2026-03-24,148,north,yes,6,7
ORD-1155,2026-03-25,138,west,no,3,5
ORD-1156,2026-06-11,669,west,no,5,5
ORD-1157,2026-05-23,809,south,no,3,3
ORD-1158,2026-07-13,954,west,no,7,8
ORD-1159,2026-07-07,628,east,no,5,4
ORD-1160,2026-06-23,703,west,no,6,6
ORD-1161,2026-05-12,765,west,no,3,2
ORD-1162,2026-07-17,383,east,no,7,7
ORD-1163,2026-04-25,522,north,no,3,4
ORD-1164,2026-05-04,674,south,no,4,4
ORD-1165,2026-05-07,845,south,no,3,3
ORD-1166,2026-04-25,750,south,no,4,4
ORD-1167,2026-04-05,472,north,yes,7,5
ORD-1168,2026-03-25,473,west,no,4,4
ORD-1169,2026-07-13,598,east,yes,4,4
ORD-1170,2026-05-26,615,north,no,3,3
ORD-1171,2026-07-08,513,east,no,6,7
ORD-1172,2026-06-28,114,south,no,7,9
ORD-1173,2026-06-27,643,east,no,6,6
ORD-1174,2026-07-17,701,east,no,5,5
ORD-1175,2026-05-25,643,west,no,6,6
ORD-1176,2026-05-22,763,north,no,7,9
ORD-1177,2026-03-24,895,west,no,7,6
ORD-1178,2026-04-07,198,north,no,4,6
ORD-1179,2026-05-24,424,west,no,7,9
ORD-1180,2026-04-03,348,west,no,6,6
ORD-1181,2026-07-12,933,south,yes,6,5
ORD-1182,2026-07-05,336,east,no,3,3
ORD-1183,2026-04-04,166,north,no,6,5
ORD-1184,2026-05-29,383,east,yes,6,4
ORD-1185,2026-03-31,361,north,no,4,3
ORD-1186,2026-05-22,138,west,no,3,3
ORD-1187,2026-04-12,557,north,yes,6,7
ORD-1188,2026-05-14,935,south,no,5,5
ORD-1189,2026-05-09,591,west,no,7,6
ORD-1190,2026-04-06,517,east,no,4,5
ORD-1191,2026-04-18,725,north,no,6,6
ORD-1192,2026-04-27,670,east,no,3,4
ORD-1193,2026-05-24,176,south,no,5,5
ORD-1194,2026-05-03,525,south,no,7,7
ORD-1195,2026-04-18,859,north,no,4,5
ORD-1196,2026-05-25,378,north,no,3,5
ORD-1197,2026-06-19,831,south,no,5,6
ORD-1198,2026-03-26,804,north,no,7,7
ORD-1199,2026-06-04,648,west,no,7,6
