date,TABLET_BATCH_SHIPPED,CAPSULE_BATCH_SHIPPED,SYRUP_BATCH_SHIPPED,OINTMENT_BATCH_SHIPPED
2026-03-23,168,160,165,162
2026-03-24,123,75,12,235
2026-03-25,89,123,46,105
2026-03-26,0,102,69,93
2026-03-27,43,89,118,104
2026-03-28,133,92,69,98
2026-03-29,140,205,113,110
2026-03-30,153,154,34,2
2026-03-31,115,56,76,124
2026-04-01,15,117,107,112
2026-04-02,116,23,177,45
2026-04-03,138,109,86,72
2026-04-04,68,44,100,99
2026-04-05,147,101,60,22
2026-04-06,3,41,65,41
2026-04-07,53,29,97,49
2026-04-08,119,128,80,55
2026-04-09,29,71,76,96
2026-04-10,93,61,67,149
2026-04-11,0,97,133,74
2026-04-12,94,131,76,16
2026-04-13,91,139,0,43
2026-04-14,106,52,80,158
2026-04-15,106,94,144,11
2026-04-16,65,93,113,107
2026-04-17,137,49,74,128
2026-04-18,36,53,66,79
2026-04-19,15,106,171,82
2026-04-20,96,164,67,179
2026-04-21,61,99,147,95
2026-04-22,87,85,128,102
2026-04-23,87,56,19,59
2026-04-24,166,164,114,85
2026-04-25,34,116,30,152
2026-04-26,112,126,45,106
2026-04-27,51,60,104,108
2026-04-28,67,83,63,135
2026-04-29,74,68,141,64
2026-04-30,30,71,76,90
2026-05-01,67,28,66,74
2026-05-02,146,146,101,72
2026-05-03,52,25,60,124
2026-05-04,63,147,167,69
2026-05-05,0,0,150,47
2026-05-06,22,45,62,119
2026-05-07,90,165,107,145
2026-05-08,110,115,108,86
2026-05-09,15,70,88,16
2026-05-10,132,93,105,83
2026-05-11,179,83,181,158
2026-05-12,67,116,97,86
2026-05-13,44,177,75,169
2026-05-14,96,73,146,135
2026-05-15,106,143,134,119
2026-05-16,109,142,78,112
2026-05-17,71,90,47,90
2026-05-18,84,27,81,65
2026-05-19,169,78,85,57
2026-05-20,66,102,82,60
2026-05-21,84,67,137,110
2026-05-22,62,120,135,184
2026-05-23,49,190,104,158
2026-05-24,62,104,69,104
2026-05-25,99,48,147,74
2026-05-26,163,80,128,35
2026-05-27,141,102,105,36
2026-05-28,69,156,95,61
2026-05-29,152,145,74,122
2026-05-30,81,69,152,116
2026-05-31,168,99,134,86
2026-06-01,142,64,16,136
2026-06-02,136,70,24,69
2026-06-03,64,118,32,165
2026-06-04,115,49,92,96
2026-06-05,147,82,165,64
2026-06-06,78,103,139,68
2026-06-07,165,126,77,0
2026-06-08,76,123,77,112
2026-06-09,42,124,116,100
2026-06-10,132,35,86,66
2026-06-11,62,69,103,121
2026-06-12,40,45,36,86
2026-06-13,148,62,149,83
2026-06-14,92,102,111,123
2026-06-15,166,0,116,135
2026-06-16,55,20,50,148
2026-06-17,95,80,61,16
2026-06-18,41,96,32,56
2026-06-19,45,130,115,31
2026-06-20,15,71,41,96
2026-06-21,0,137,156,0
2026-06-22,121,105,36,134
2026-06-23,66,27,83,92
2026-06-24,49,33,107,94
2026-06-25,58,106,127,100
2026-06-26,146,70,61,120
2026-06-27,152,125,86,136
2026-06-28,114,49,70,95
2026-06-29,110,156,40,86
2026-06-30,74,97,97,158
2026-07-01,173,35,125,99
2026-07-02,141,93,140,18
2026-07-03,116,78,91,181
2026-07-04,0,42,92,116
2026-07-05,136,40,128,95
2026-07-06,119,69,57,63
2026-07-07,0,55,79,100
2026-07-08,134,88,86,81
2026-07-09,31,98,85,125
2026-07-10,98,130,15,46
2026-07-11,77,44,75,61
2026-07-12,173,121,111,86
2026-07-13,56,36,96,84
2026-07-14,124,133,89,35
2026-07-15,143,138,53,89
2026-07-16,57,88,54,31
2026-07-17,115,88,75,140
2026-07-18,21,143,31,34
2026-07-19,58,120,69,137
2026-07-20,16,77,23,96
