timestamp,GR2_VIB,FBD1_VIB,TP4_VIB,CT3_VIB,BL6_VIB
2026-04-22 00:00,0.75,0.94,0.78,1.08,0.85
2026-04-22 01:00,0.8,0.93,0.78,1.02,0.87
2026-04-22 02:00,0.85,0.94,0.75,1.01,0.86
2026-04-22 03:00,0.74,0.91,0.71,1.02,0.94
2026-04-22 04:00,0.74,0.81,0.81,1.02,0.86
2026-04-22 05:00,0.66,0.85,0.71,1.12,0.89
2026-04-22 06:00,0.76,0.81,0.78,1.11,0.9
2026-04-22 07:00,0.8,0.81,0.82,1.12,0.9
2026-04-22 08:00,0.78,0.89,0.81,1.04,0.92
2026-04-22 09:00,0.76,0.94,0.76,1.09,0.87
2026-04-22 10:00,0.68,0.94,0.79,1.2,0.83
2026-04-22 11:00,0.75,0.85,0.84,1.16,0.97
2026-04-22 12:00,0.69,0.87,0.79,1.16,0.92
2026-04-22 13:00,0.78,0.84,0.75,1.12,0.9
2026-04-22 14:00,0.8,0.86,0.75,1.04,0.89
2026-04-22 15:00,0.78,0.86,0.76,1.07,0.88
2026-04-22 16:00,0.77,0.9,0.77,0.98,0.92
2026-04-22 17:00,0.76,0.92,0.79,0.98,0.87
2026-04-22 18:00,0.76,0.9,0.75,1.01,0.82
2026-04-22 19:00,0.73,0.9,0.82,1.09,0.74
2026-04-22 20:00,0.79,0.91,0.82,1.08,0.73
2026-04-22 21:00,0.75,0.88,0.73,1.01,0.82
2026-04-22 22:00,0.69,0.92,0.72,0.96,0.83
2026-04-22 23:00,0.74,0.88,0.62,0.98,0.88
2026-04-23 00:00,0.81,0.78,0.7,1.03,0.84
2026-04-23 01:00,0.83,0.9,0.75,1.04,0.87
2026-04-23 02:00,0.9,0.89,0.76,1.05,0.84
2026-04-23 03:00,0.91,1.0,0.75,1.07,0.75
2026-04-23 04:00,0.86,0.9,0.76,1.15,0.85
2026-04-23 05:00,0.92,0.91,0.77,1.1,0.75
2026-04-23 06:00,0.83,0.92,0.83,0.99,0.82
2026-04-23 07:00,0.82,0.94,0.79,1.06,0.82
2026-04-23 08:00,0.79,0.94,0.83,1.08,0.82
2026-04-23 09:00,0.83,1.02,0.83,1.1,0.81
2026-04-23 10:00,0.79,0.95,0.88,1.02,0.84
2026-04-23 11:00,0.88,0.95,0.85,1.03,0.9
2026-04-23 12:00,0.97,0.95,0.88,1.05,0.91
2026-04-23 13:00,0.98,0.98,0.82,1.05,0.93
2026-04-23 14:00,0.98,0.99,0.93,1.04,0.86
2026-04-23 15:00,1.02,0.92,0.89,1.06,0.93
2026-04-23 16:00,0.95,0.9,0.85,1.07,0.94
2026-04-23 17:00,0.88,0.85,0.8,1.07,0.91
2026-04-23 18:00,0.94,0.78,0.8,1.05,0.98
2026-04-23 19:00,1.0,0.76,0.8,1.07,0.97
2026-04-23 20:00,1.0,0.89,0.72,1.03,0.95
2026-04-23 21:00,0.91,0.91,0.76,1.11,0.95
2026-04-23 22:00,0.84,0.86,0.7,1.09,0.93
2026-04-23 23:00,0.82,0.94,0.76,1.07,0.87
2026-04-24 00:00,0.93,0.91,0.67,1.17,0.86
2026-04-24 01:00,0.93,0.88,0.69,1.15,0.84
2026-04-24 02:00,0.93,0.97,0.68,1.06,0.84
2026-04-24 03:00,0.84,0.97,0.78,0.94,0.93
2026-04-24 04:00,0.75,1.0,0.69,1.02,0.93
2026-04-24 05:00,0.84,0.98,0.85,1.0,0.85
2026-04-24 06:00,0.77,0.91,0.77,0.9,0.84
2026-04-24 07:00,0.73,0.9,0.74,0.93,0.81
2026-04-24 08:00,0.79,0.9,0.78,0.96,0.83
2026-04-24 09:00,0.85,0.88,0.8,1.04,0.92
2026-04-24 10:00,0.89,0.97,0.77,1.04,0.92
2026-04-24 11:00,0.93,1.0,0.86,1.01,0.83
2026-04-24 12:00,0.86,0.95,0.73,1.0,0.84
2026-04-24 13:00,0.84,0.86,0.78,1.07,0.89
2026-04-24 14:00,0.87,0.89,0.73,1.06,0.95
2026-04-24 15:00,0.83,0.92,0.78,1.11,0.89
2026-04-24 16:00,0.84,0.95,0.77,1.0,0.96
2026-04-24 17:00,0.84,1.03,0.75,0.98,0.95
2026-04-24 18:00,0.85,0.98,0.78,0.99,0.99
2026-04-24 19:00,0.92,0.97,0.82,0.99,0.9
2026-04-24 20:00,0.91,0.95,0.77,0.99,0.94
2026-04-24 21:00,0.83,0.96,0.83,0.99,0.87
2026-04-24 22:00,0.87,0.96,0.87,1.06,0.87
2026-04-24 23:00,0.81,1.0,0.9,1.09,0.82
2026-04-25 00:00,0.84,0.92,0.89,1.12,0.86
2026-04-25 01:00,0.75,0.97,0.89,1.08,0.9
2026-04-25 02:00,0.82,0.91,0.89,1.1,0.87
2026-04-25 03:00,0.89,0.9,0.84,1.1,0.95
2026-04-25 04:00,0.9,0.86,0.74,1.18,0.87
2026-04-25 05:00,0.86,0.81,0.72,1.22,0.93
2026-04-25 06:00,0.81,0.94,0.73,1.15,0.98
2026-04-25 07:00,0.83,0.91,0.76,1.14,0.97
2026-04-25 08:00,0.79,0.91,0.8,1.07,0.98
2026-04-25 09:00,0.82,0.96,0.78,1.0,0.94
2026-04-25 10:00,0.85,0.93,0.76,0.97,0.91
2026-04-25 11:00,0.73,0.92,0.77,0.93,0.9
2026-04-25 12:00,0.76,0.97,0.8,0.95,0.79
2026-04-25 13:00,0.71,0.92,0.76,0.99,0.75
2026-04-25 14:00,0.83,0.97,0.78,1.1,0.89
2026-04-25 15:00,0.92,0.94,0.82,1.14,0.8
2026-04-25 16:00,0.86,0.94,0.87,1.09,0.93
2026-04-25 17:00,0.77,0.94,0.77,1.05,0.89
2026-04-25 18:00,0.8,0.94,0.79,1.02,0.97
2026-04-25 19:00,0.83,0.88,0.77,1.06,1.01
2026-04-25 20:00,0.78,0.87,0.79,1.06,0.98
2026-04-25 21:00,0.81,0.86,0.68,0.99,1.02
2026-04-25 22:00,0.85,0.93,0.68,1.04,0.96
2026-04-25 23:00,0.85,0.93,0.61,1.1,1.0
2026-04-26 00:00,1.0,0.93,0.53,1.11,0.94
2026-04-26 01:00,0.95,0.93,0.64,1.1,0.87
2026-04-26 02:00,0.85,0.89,0.58,1.02,0.86
2026-04-26 03:00,0.85,0.9,0.68,1.0,0.88
2026-04-26 04:00,0.87,0.83,0.61,1.01,0.88
2026-04-26 05:00,0.81,0.83,0.62,0.95,0.92
2026-04-26 06:00,0.89,0.78,0.61,0.97,0.77
2026-04-26 07:00,0.91,0.84,0.69,0.96,0.89
2026-04-26 08:00,0.82,0.83,0.77,0.99,0.87
2026-04-26 09:00,0.86,0.85,0.67,0.97,0.9
2026-04-26 10:00,0.86,0.9,0.8,0.94,0.92
2026-04-26 11:00,0.88,0.9,0.72,0.96,0.95
2026-04-26 12:00,0.83,0.93,0.68,0.93,0.91
2026-04-26 13:00,0.8,0.88,0.7,0.99,0.91
2026-04-26 14:00,0.86,0.91,0.63,1.02,0.85
2026-04-26 15:00,0.79,1.02,0.58,1.01,0.9
2026-04-26 16:00,0.88,0.97,0.68,0.96,0.83
2026-04-26 17:00,0.84,0.98,0.73,0.91,0.9
2026-04-26 18:00,0.79,0.91,0.77,0.99,0.94
2026-04-26 19:00,0.81,0.82,0.72,0.95,0.99
2026-04-26 20:00,0.78,0.89,0.65,1.08,0.99
2026-04-26 21:00,0.81,0.85,0.58,1.03,0.93
