date,HARDNESS_REJECT_RATE
2026-03-23,1.77
2026-03-24,1.81
2026-03-25,1.83
2026-03-26,1.91
2026-03-27,1.83
2026-03-28,1.85
2026-03-29,1.77
2026-03-30,1.95
2026-03-31,1.89
2026-04-01,1.89
2026-04-02,1.62
2026-04-03,1.47
2026-04-04,1.86
2026-04-05,1.69
2026-04-06,1.8
2026-04-07,1.61
2026-04-08,1.67
2026-04-09,1.57
2026-04-10,1.72
2026-04-11,1.6
2026-04-12,1.44
2026-04-13,1.66
2026-04-14,1.7
2026-04-15,1.68
2026-04-16,1.83
2026-04-17,1.91
2026-04-18,1.84
2026-04-19,1.61
2026-04-20,1.89
2026-04-21,1.59
2026-04-22,1.46
2026-04-23,1.61
2026-04-24,1.5
2026-04-25,1.51
2026-04-26,1.68
2026-04-27,1.84
2026-04-28,1.82
2026-04-29,1.47
2026-04-30,1.59
2026-05-01,1.67
2026-05-02,1.82
2026-05-03,1.47
2026-05-04,1.66
2026-05-05,1.76
2026-05-06,1.64
2026-05-07,1.65
2026-05-08,1.53
2026-05-09,1.74
2026-05-10,1.62
2026-05-11,1.84
2026-05-12,1.88
2026-05-13,1.59
2026-05-14,1.59
2026-05-15,1.61
2026-05-16,1.54
2026-05-17,1.57
2026-05-18,1.63
2026-05-19,1.77
2026-05-20,1.62
2026-05-21,1.71
2026-05-22,1.36
2026-05-23,1.57
2026-05-24,1.35
2026-05-25,1.52
2026-05-26,1.62
2026-05-27,1.72
2026-05-28,1.86
2026-05-29,1.8
2026-05-30,1.7
2026-05-31,1.64
2026-06-01,1.78
2026-06-02,1.82
2026-06-03,1.83
2026-06-04,1.7
2026-06-05,1.78
2026-06-06,1.73
2026-06-07,1.69
2026-06-08,1.66
2026-06-09,1.67
2026-06-10,1.68
2026-06-11,1.74
2026-06-12,1.79
2026-06-13,1.67
2026-06-14,1.44
2026-06-15,1.51
2026-06-16,1.57
2026-06-17,1.63
2026-06-18,1.63
2026-06-19,1.66
2026-06-20,1.59
2026-06-21,1.64
2026-06-22,1.91
2026-06-23,1.97
2026-06-24,1.81
2026-06-25,1.77
2026-06-26,1.58
2026-06-27,1.61
2026-06-28,1.71
2026-06-29,1.57
2026-06-30,1.7
2026-07-01,1.74
2026-07-02,1.89
2026-07-03,1.67
2026-07-04,1.91
2026-07-05,1.69
2026-07-06,1.83
2026-07-07,1.88
2026-07-08,1.8
2026-07-09,1.68
2026-07-10,1.95
2026-07-11,1.83
2026-07-12,1.95
2026-07-13,1.81
2026-07-14,1.67
2026-07-15,1.91
2026-07-16,1.84
2026-07-17,1.86
2026-07-18,1.88
2026-07-19,2.15
2026-07-20,1.91
