date,STEEL_BILLET_CONSUMED,QUENCH_OIL_CONSUMED,PROTECTIVE_COATING_CONSUMED,PACKAGING_STRAP_CONSUMED
2026-03-23,670,260,277,283
2026-03-24,443,616,913,487
2026-03-25,485,610,265,224
2026-03-26,176,241,662,587
2026-03-27,445,517,566,287
2026-03-28,166,224,548,259
2026-03-29,239,322,358,599
2026-03-30,310,557,489,0
2026-03-31,482,448,297,500
2026-04-01,767,500,104,468
2026-04-02,715,527,434,553
2026-04-03,465,100,172,225
2026-04-04,0,537,478,400
2026-04-05,875,390,181,510
2026-04-06,470,140,275,231
2026-04-07,437,368,476,248
2026-04-08,531,331,339,356
2026-04-09,343,339,630,145
2026-04-10,138,378,669,437
2026-04-11,394,498,176,739
2026-04-12,201,367,719,397
2026-04-13,337,612,528,572
2026-04-14,358,524,387,340
2026-04-15,14,291,574,497
2026-04-16,335,921,232,287
2026-04-17,388,103,536,632
2026-04-18,159,409,45,382
2026-04-19,442,0,662,411
2026-04-20,252,344,362,277
2026-04-21,457,304,720,87
2026-04-22,485,502,202,469
2026-04-23,257,768,712,158
2026-04-24,405,401,326,287
2026-04-25,549,352,591,668
2026-04-26,420,815,291,262
2026-04-27,211,108,346,682
2026-04-28,80,52,476,5
2026-04-29,491,311,669,364
2026-04-30,511,777,661,482
2026-05-01,498,415,311,396
2026-05-02,355,533,269,644
2026-05-03,0,421,639,590
2026-05-04,279,643,717,161
2026-05-05,542,306,439,636
2026-05-06,0,372,428,574
2026-05-07,384,158,317,682
2026-05-08,244,481,276,507
2026-05-09,176,254,0,585
2026-05-10,202,641,426,455
2026-05-11,465,598,147,390
2026-05-12,60,521,263,291
2026-05-13,241,220,200,456
2026-05-14,575,257,313,475
2026-05-15,575,464,501,181
2026-05-16,433,815,536,398
2026-05-17,198,0,606,148
2026-05-18,306,388,491,264
2026-05-19,344,301,288,499
2026-05-20,389,350,539,246
2026-05-21,564,464,0,465
2026-05-22,367,486,331,665
2026-05-23,475,89,521,258
2026-05-24,0,289,350,126
2026-05-25,672,610,0,361
2026-05-26,148,353,439,199
2026-05-27,269,678,409,609
2026-05-28,460,54,486,553
2026-05-29,0,372,365,589
2026-05-30,425,353,215,477
2026-05-31,375,232,537,664
2026-06-01,513,589,493,346
2026-06-02,507,302,541,163
2026-06-03,0,723,443,398
2026-06-04,244,253,741,622
2026-06-05,395,241,402,821
2026-06-06,296,749,559,221
2026-06-07,607,182,649,327
2026-06-08,445,52,645,15
2026-06-09,176,676,340,560
2026-06-10,0,463,312,583
2026-06-11,670,508,390,413
2026-06-12,696,405,241,375
2026-06-13,777,58,467,301
2026-06-14,188,736,439,457
2026-06-15,276,327,340,901
2026-06-16,560,260,66,624
2026-06-17,104,612,370,351
2026-06-18,289,698,417,519
2026-06-19,712,383,531,314
2026-06-20,690,237,161,166
2026-06-21,614,529,588,365
2026-06-22,240,787,666,462
2026-06-23,0,775,434,285
2026-06-24,0,280,273,422
2026-06-25,714,399,263,248
2026-06-26,491,383,293,606
2026-06-27,266,632,292,442
2026-06-28,572,504,614,678
2026-06-29,216,432,558,544
2026-06-30,518,521,423,329
2026-07-01,483,263,445,573
2026-07-02,257,476,549,36
2026-07-03,293,206,274,252
2026-07-04,415,580,212,313
2026-07-05,538,250,377,255
2026-07-06,711,224,485,256
2026-07-07,806,330,651,392
2026-07-08,164,294,346,649
2026-07-09,767,355,0,356
2026-07-10,613,538,445,332
2026-07-11,240,339,253,586
2026-07-12,293,622,368,664
2026-07-13,284,457,633,370
2026-07-14,242,208,425,553
2026-07-15,179,257,248,685
2026-07-16,489,579,519,614
2026-07-17,0,480,308,109
2026-07-18,146,455,372,222
2026-07-19,537,645,488,234
2026-07-20,496,171,936,701
