order_id,quantity,due_date
ORD-2000,798,2026-07-25
ORD-2001,166,2026-07-29
ORD-2002,683,2026-07-28
ORD-2003,128,2026-07-28
ORD-2004,541,2026-07-31
ORD-2005,505,2026-07-26
ORD-2006,777,2026-07-27
ORD-2007,417,2026-07-31
ORD-2008,790,2026-08-01
ORD-2009,438,2026-07-28
ORD-2010,683,2026-07-27
ORD-2011,516,2026-08-01
ORD-2012,652,2026-07-26
ORD-2013,106,2026-07-29
ORD-2014,466,2026-07-24
ORD-2015,172,2026-07-25
ORD-2016,642,2026-07-25
ORD-2017,265,2026-07-30
ORD-2018,354,2026-07-27
ORD-2019,285,2026-07-26
