order_id,order_date,quantity,destination_region,rush_order,promised_lead_days,actual_lead_time_days
ORD-1000,2026-03-22,970,east,yes,7,8
ORD-1001,2026-07-05,684,north,no,6,5
ORD-1002,2026-06-25,663,south,no,4,5
ORD-1003,2026-06-02,385,north,no,4,6
ORD-1004,2026-04-10,614,south,no,5,5
ORD-1005,2026-06-19,393,south,no,6,7
ORD-1006,2026-06-27,645,north,no,4,3
ORD-1007,2026-04-11,492,south,no,6,5
ORD-1008,2026-05-25,733,west,yes,6,4
ORD-1009,2026-06-30,713,south,no,7,6
ORD-1010,2026-07-15,682,south,no,5,5
ORD-1011,2026-04-21,860,south,no,3,2
ORD-1012,2026-05-08,568,north,no,7,7
ORD-1013,2026-04-16,430,west,yes,4,3
ORD-1014,2026-06-10,691,south,no,3,3
ORD-1015,2026-05-20,347,west,no,4,5
ORD-1016,2026-05-19,957,north,no,7,9
ORD-1017,2026-03-28,107,east,no,4,3
ORD-1018,2026-04-21,982,south,no,6,7
ORD-1019,2026-07-08,223,east,no,6,8
ORD-1020,2026-05-22,399,south,no,6,5
ORD-1021,2026-04-02,744,south,no,3,5
ORD-1022,2026-05-24,876,east,yes,3,2
ORD-1023,2026-04-16,245,west,no,4,4
ORD-1024,2026-04-07,437,east,no,6,5
ORD-1025,2026-05-20,450,north,no,6,6
ORD-1026,2026-04-20,816,north,no,6,7
ORD-1027,2026-05-06,251,north,no,5,5
ORD-1028,2026-07-14,471,north,no,4,6
ORD-1029,2026-06-08,586,south,no,4,4
ORD-1030,2026-04-22,250,north,yes,5,4
ORD-1031,2026-03-30,128,west,no,6,6
ORD-1032,2026-05-04,365,north,yes,5,3
ORD-1033,2026-04-16,515,south,no,7,9
ORD-1034,2026-04-29,701,north,no,4,4
ORD-1035,2026-05-12,763,west,no,5,6
ORD-1036,2026-03-28,488,east,no,7,8
ORD-1037,2026-04-23,311,west,no,3,3
ORD-1038,2026-06-28,765,west,no,5,4
ORD-1039,2026-06-02,960,west,no,6,5
ORD-1040,2026-04-14,508,east,no,4,3
ORD-1041,2026-06-05,647,east,yes,7,8
ORD-1042,2026-04-06,353,west,no,3,5
ORD-1043,2026-06-15,333,south,no,4,4
ORD-1044,2026-06-25,665,north,no,3,3
ORD-1045,2026-07-06,235,north,no,4,3
ORD-1046,2026-07-10,879,south,no,4,6
ORD-1047,2026-05-19,426,east,no,3,2
ORD-1048,2026-06-22,587,west,yes,6,4
ORD-1049,2026-07-05,598,north,no,7,9
ORD-1050,2026-05-06,837,south,no,3,2
ORD-1051,2026-04-09,873,south,no,4,6
ORD-1052,2026-07-17,377,south,no,5,7
ORD-1053,2026-04-28,626,north,no,4,5
ORD-1054,2026-04-26,354,north,no,5,7
ORD-1055,2026-06-12,214,west,no,7,8
ORD-1056,2026-05-16,581,south,no,3,5
ORD-1057,2026-06-27,789,north,yes,4,4
ORD-1058,2026-07-05,942,west,no,6,8
ORD-1059,2026-06-23,414,north,no,3,3
ORD-1060,2026-06-07,724,west,no,7,7
ORD-1061,2026-05-05,884,south,no,4,4
ORD-1062,2026-04-08,778,west,no,4,6
ORD-1063,2026-06-06,907,south,no,7,9
ORD-1064,2026-04-09,583,north,no,5,5
ORD-1065,2026-05-31,949,north,no,4,4
ORD-1066,2026-05-21,880,south,no,5,6
ORD-1067,2026-07-17,462,west,yes,6,6
