date,HARDENED_ROD_SHIPPED,TEMPERED_PLATE_SHIPPED,ANNEALED_COIL_SHIPPED,CASE_HARDENED_GEAR_SHIPPED
2026-03-23,59,85,164,70
2026-03-24,70,119,77,122
2026-03-25,122,62,117,113
2026-03-26,4,89,119,38
2026-03-27,65,88,205,108
2026-03-28,45,4,60,128
2026-03-29,128,125,62,129
2026-03-30,158,90,161,94
2026-03-31,109,65,105,50
2026-04-01,88,123,42,44
2026-04-02,98,26,90,82
2026-04-03,66,61,91,99
2026-04-04,136,44,145,87
2026-04-05,168,69,164,56
2026-04-06,47,104,84,107
2026-04-07,175,103,107,100
2026-04-08,141,86,92,80
2026-04-09,107,61,120,26
2026-04-10,28,0,118,57
2026-04-11,114,26,108,105
2026-04-12,65,98,55,157
2026-04-13,136,11,10,77
2026-04-14,132,98,53,93
2026-04-15,128,132,126,174
2026-04-16,58,153,61,127
2026-04-17,120,125,132,27
2026-04-18,51,91,63,40
2026-04-19,96,175,25,82
2026-04-20,35,29,147,128
2026-04-21,82,14,55,110
2026-04-22,154,117,124,164
2026-04-23,32,160,28,188
2026-04-24,194,100,91,29
2026-04-25,59,101,69,19
2026-04-26,125,82,142,0
2026-04-27,28,62,145,175
2026-04-28,120,114,141,180
2026-04-29,41,120,147,138
2026-04-30,10,94,156,89
2026-05-01,94,118,40,42
2026-05-02,67,110,84,199
2026-05-03,37,71,43,105
2026-05-04,51,70,76,87
2026-05-05,106,156,100,155
2026-05-06,132,85,16,153
2026-05-07,96,141,95,32
2026-05-08,24,53,62,69
2026-05-09,104,70,73,99
2026-05-10,85,59,30,102
2026-05-11,59,51,41,122
2026-05-12,0,32,62,72
2026-05-13,32,27,120,141
2026-05-14,131,173,117,110
2026-05-15,73,109,34,63
2026-05-16,122,47,91,103
2026-05-17,157,126,0,48
2026-05-18,138,107,75,14
2026-05-19,93,157,70,102
2026-05-20,85,43,101,21
2026-05-21,89,157,118,118
2026-05-22,82,98,52,96
2026-05-23,108,60,106,54
2026-05-24,66,73,63,60
2026-05-25,115,39,50,36
2026-05-26,144,128,80,147
2026-05-27,60,19,133,53
2026-05-28,125,155,95,83
2026-05-29,97,131,79,135
2026-05-30,76,87,135,136
2026-05-31,91,140,77,95
2026-06-01,78,111,125,114
2026-06-02,57,94,148,115
2026-06-03,5,74,115,0
2026-06-04,5,65,46,18
2026-06-05,129,128,149,76
2026-06-06,9,136,123,118
2026-06-07,228,59,162,129
2026-06-08,22,121,143,94
2026-06-09,54,79,92,124
2026-06-10,51,83,83,104
2026-06-11,0,70,65,70
2026-06-12,105,29,143,8
2026-06-13,90,93,53,35
2026-06-14,8,85,123,56
2026-06-15,100,54,0,68
2026-06-16,92,109,99,129
2026-06-17,110,77,26,96
2026-06-18,74,73,134,86
2026-06-19,82,122,78,67
2026-06-20,0,70,122,124
2026-06-21,121,61,49,42
2026-06-22,124,95,44,107
2026-06-23,98,171,105,88
2026-06-24,77,101,43,59
2026-06-25,79,33,54,68
2026-06-26,77,105,126,26
2026-06-27,136,48,61,89
2026-06-28,122,108,137,101
2026-06-29,119,107,37,160
2026-06-30,86,60,149,0
2026-07-01,83,61,145,50
2026-07-02,84,119,83,47
2026-07-03,135,73,39,72
2026-07-04,15,55,135,115
2026-07-05,61,180,113,133
2026-07-06,154,73,123,85
2026-07-07,139,97,145,79
2026-07-08,56,0,65,127
2026-07-09,140,43,116,84
2026-07-10,71,87,167,80
2026-07-11,132,106,83,70
2026-07-12,73,0,40,70
2026-07-13,125,81,124,61
2026-07-14,32,96,100,128
2026-07-15,167,0,127,99
2026-07-16,123,82,126,89
2026-07-17,17,178,26,146
2026-07-18,89,13,159,80
2026-07-19,132,118,76,57
2026-07-20,114,79,58,91
