date,YARN_DEFECT_RATE
2026-03-23,2.4
2026-03-24,2.38
2026-03-25,2.84
2026-03-26,2.93
2026-03-27,2.83
2026-03-28,2.57
2026-03-29,2.34
2026-03-30,1.96
2026-03-31,2.24
2026-04-01,1.9
2026-04-02,2.01
2026-04-03,2.35
2026-04-04,2.3
2026-04-05,2.25
2026-04-06,2.59
2026-04-07,2.57
2026-04-08,2.73
2026-04-09,3.03
2026-04-10,2.85
2026-04-11,2.91
2026-04-12,2.91
2026-04-13,2.44
2026-04-14,2.28
2026-04-15,2.3
2026-04-16,2.38
2026-04-17,2.58
2026-04-18,2.15
2026-04-19,2.68
2026-04-20,2.61
2026-04-21,2.33
2026-04-22,2.54
2026-04-23,2.42
2026-04-24,2.7
2026-04-25,2.7
2026-04-26,2.81
2026-04-27,2.29
2026-04-28,2.44
2026-04-29,2.62
2026-04-30,2.36
2026-05-01,2.31
2026-05-02,2.27
2026-05-03,2.25
2026-05-04,2.3
2026-05-05,2.4
2026-05-06,2.41
2026-05-07,2.66
2026-05-08,2.78
2026-05-09,2.41
2026-05-10,2.05
2026-05-11,2.74
2026-05-12,2.88
2026-05-13,2.48
2026-05-14,2.9
2026-05-15,2.61
2026-05-16,2.92
2026-05-17,2.77
2026-05-18,3.1
2026-05-19,2.53
2026-05-20,2.8
2026-05-21,2.29
2026-05-22,2.36
2026-05-23,2.66
2026-05-24,3.03
2026-05-25,2.59
2026-05-26,2.36
2026-05-27,2.51
2026-05-28,2.46
2026-05-29,2.57
2026-05-30,2.71
2026-05-31,2.46
2026-06-01,2.73
2026-06-02,2.74
2026-06-03,2.77
2026-06-04,2.4
2026-06-05,2.85
2026-06-06,2.76
2026-06-07,2.75
2026-06-08,2.46
2026-06-09,2.67
2026-06-10,2.84
2026-06-11,2.18
2026-06-12,2.44
2026-06-13,2.86
2026-06-14,2.72
2026-06-15,2.46
2026-06-16,2.31
2026-06-17,1.91
2026-06-18,2.53
2026-06-19,2.22
2026-06-20,2.45
2026-06-21,2.31
2026-06-22,2.25
2026-06-23,2.71
2026-06-24,2.69
2026-06-25,2.16
2026-06-26,2.39
2026-06-27,2.11
2026-06-28,1.83
2026-06-29,2.21
2026-06-30,2.1
2026-07-01,2.68
2026-07-02,2.78
2026-07-03,2.3
2026-07-04,1.98
2026-07-05,2.7
2026-07-06,2.95
2026-07-07,2.88
2026-07-08,3.07
2026-07-09,3.07
2026-07-10,2.31
2026-07-11,2.62
2026-07-12,2.47
2026-07-13,2.33
2026-07-14,2.63
2026-07-15,2.42
2026-07-16,2.65
2026-07-17,2.44
2026-07-18,2.78
2026-07-19,3.05
2026-07-20,3.07
