date,COTTON_BALE_CONSUMED,DYE_CONSUMED,SIZING_CHEMICAL_CONSUMED,PACKAGING_CONE_CONSUMED
2026-03-23,364,209,90,541
2026-03-24,418,25,678,461
2026-03-25,591,34,390,283
2026-03-26,531,709,365,502
2026-03-27,332,237,325,236
2026-03-28,648,459,476,0
2026-03-29,378,666,0,606
2026-03-30,275,470,713,792
2026-03-31,371,774,368,618
2026-04-01,533,160,381,564
2026-04-02,668,110,352,247
2026-04-03,340,174,341,562
2026-04-04,263,378,338,699
2026-04-05,235,633,95,0
2026-04-06,361,428,393,619
2026-04-07,395,208,384,85
2026-04-08,851,376,532,391
2026-04-09,332,562,682,307
2026-04-10,203,410,0,560
2026-04-11,791,563,409,467
2026-04-12,187,219,507,270
2026-04-13,123,397,262,422
2026-04-14,136,68,558,471
2026-04-15,570,197,143,446
2026-04-16,436,190,250,385
2026-04-17,260,473,253,315
2026-04-18,366,391,464,400
2026-04-19,450,773,361,579
2026-04-20,550,729,470,280
2026-04-21,103,457,425,252
2026-04-22,388,412,574,687
2026-04-23,524,598,226,0
2026-04-24,328,201,277,375
2026-04-25,371,509,520,450
2026-04-26,521,800,257,559
2026-04-27,183,463,776,461
2026-04-28,488,797,461,615
2026-04-29,555,456,660,413
2026-04-30,240,235,585,668
2026-05-01,456,488,518,565
2026-05-02,503,322,389,617
2026-05-03,421,602,218,228
2026-05-04,774,426,388,555
2026-05-05,536,481,568,267
2026-05-06,557,307,366,271
2026-05-07,207,606,499,288
2026-05-08,912,491,503,419
2026-05-09,0,734,652,225
2026-05-10,289,648,392,81
2026-05-11,453,497,435,611
2026-05-12,131,469,724,97
2026-05-13,664,121,155,537
2026-05-14,48,773,560,197
2026-05-15,368,512,676,958
2026-05-16,167,374,447,284
2026-05-17,154,44,175,730
2026-05-18,401,269,428,393
2026-05-19,688,534,585,272
2026-05-20,97,251,787,307
2026-05-21,250,394,619,340
2026-05-22,186,360,260,766
2026-05-23,540,551,94,251
2026-05-24,586,420,256,250
2026-05-25,463,971,495,294
2026-05-26,317,490,557,561
2026-05-27,566,122,226,458
2026-05-28,780,267,356,641
2026-05-29,445,470,527,536
2026-05-30,480,824,839,390
2026-05-31,411,273,314,307
2026-06-01,419,469,665,317
2026-06-02,185,320,538,445
2026-06-03,160,0,587,333
2026-06-04,272,702,410,215
2026-06-05,713,98,289,205
2026-06-06,582,73,512,163
2026-06-07,393,384,595,458
2026-06-08,391,371,329,438
2026-06-09,277,549,247,409
2026-06-10,833,359,733,17
2026-06-11,471,1171,113,327
2026-06-12,312,541,798,166
2026-06-13,612,393,717,598
2026-06-14,168,323,263,618
2026-06-15,164,366,320,618
2026-06-16,461,34,491,644
2026-06-17,403,111,585,308
2026-06-18,336,229,571,462
2026-06-19,437,264,207,604
2026-06-20,574,559,761,0
2026-06-21,691,669,424,448
2026-06-22,784,545,335,468
2026-06-23,397,188,249,469
2026-06-24,260,250,320,225
2026-06-25,345,365,668,320
2026-06-26,553,22,167,306
2026-06-27,293,485,508,476
2026-06-28,288,396,456,27
2026-06-29,130,734,956,221
2026-06-30,385,649,392,318
2026-07-01,394,67,224,549
2026-07-02,81,395,717,594
2026-07-03,427,0,686,241
2026-07-04,646,548,0,227
2026-07-05,347,334,570,496
2026-07-06,298,446,542,101
2026-07-07,437,371,406,399
2026-07-08,612,176,275,370
2026-07-09,199,321,0,300
2026-07-10,507,440,286,354
2026-07-11,636,219,515,486
2026-07-12,39,174,480,130
2026-07-13,266,103,0,661
2026-07-14,444,379,299,290
2026-07-15,554,357,753,62
2026-07-16,552,618,629,416
2026-07-17,364,225,431,190
2026-07-18,584,298,76,330
2026-07-19,194,196,907,366
2026-07-20,450,116,376,287
