order_id,quantity,due_date
ORD-2000,501,2026-07-25
ORD-2001,336,2026-07-30
ORD-2002,627,2026-07-26
ORD-2003,384,2026-07-26
ORD-2004,351,2026-07-30
ORD-2005,540,2026-07-24
ORD-2006,520,2026-07-25
ORD-2007,176,2026-07-26
ORD-2008,772,2026-08-01
ORD-2009,542,2026-07-29
ORD-2010,423,2026-07-27
ORD-2011,109,2026-07-26
ORD-2012,569,2026-07-24
ORD-2013,174,2026-07-30
ORD-2014,142,2026-07-29
ORD-2015,257,2026-07-28
ORD-2016,421,2026-07-24
ORD-2017,775,2026-08-01
ORD-2018,612,2026-07-30
ORD-2019,783,2026-07-29
