order_id,order_date,quantity,destination_region,rush_order,promised_lead_days,actual_lead_time_days
ORD-1000,2026-04-07,656,south,no,5,6
ORD-1001,2026-04-19,420,north,yes,7,8
ORD-1002,2026-04-21,212,north,no,3,3
ORD-1003,2026-05-04,534,south,no,4,6
ORD-1004,2026-05-27,909,south,no,4,4
ORD-1005,2026-05-16,820,south,no,4,4
ORD-1006,2026-07-12,236,west,yes,6,5
ORD-1007,2026-06-13,920,north,no,3,3
ORD-1008,2026-04-04,107,east,no,3,5
ORD-1009,2026-06-13,977,north,yes,4,4
ORD-1010,2026-06-26,332,south,no,6,8
ORD-1011,2026-05-27,523,south,no,4,6
ORD-1012,2026-04-10,632,east,no,3,3
ORD-1013,2026-06-22,789,west,no,3,4
ORD-1014,2026-04-06,963,north,no,5,6
ORD-1015,2026-05-07,625,west,no,4,3
ORD-1016,2026-03-31,342,south,yes,5,5
ORD-1017,2026-04-05,244,south,no,7,6
ORD-1018,2026-05-24,788,west,yes,7,6
ORD-1019,2026-06-22,430,west,yes,4,3
ORD-1020,2026-04-05,699,south,yes,6,4
ORD-1021,2026-04-07,963,north,no,7,7
ORD-1022,2026-04-05,876,north,no,7,8
ORD-1023,2026-05-21,486,north,no,5,5
ORD-1024,2026-04-19,386,north,yes,4,3
ORD-1025,2026-07-08,781,north,no,3,5
ORD-1026,2026-07-07,292,east,no,4,5
ORD-1027,2026-04-21,665,east,yes,5,4
ORD-1028,2026-04-20,625,north,no,7,8
ORD-1029,2026-04-09,982,south,no,3,3
ORD-1030,2026-07-07,269,east,no,5,5
ORD-1031,2026-07-08,303,west,no,5,5
ORD-1032,2026-06-06,213,west,no,5,4
ORD-1033,2026-05-22,111,west,no,4,5
ORD-1034,2026-07-17,398,south,no,7,8
ORD-1035,2026-03-23,110,south,yes,6,7
ORD-1036,2026-04-24,342,south,no,6,8
ORD-1037,2026-05-30,102,south,no,4,4
ORD-1038,2026-05-25,751,south,no,6,5
ORD-1039,2026-06-24,388,south,no,3,2
ORD-1040,2026-05-07,613,south,no,3,2
ORD-1041,2026-04-04,946,west,no,7,7
ORD-1042,2026-05-29,362,south,no,5,6
ORD-1043,2026-05-19,185,south,yes,5,6
ORD-1044,2026-07-13,723,east,no,5,5
ORD-1045,2026-05-29,133,south,no,5,7
ORD-1046,2026-04-26,444,east,no,3,3
ORD-1047,2026-04-18,226,east,no,7,6
ORD-1048,2026-04-14,292,south,no,5,4
ORD-1049,2026-05-09,111,south,no,4,5
ORD-1050,2026-06-12,352,east,yes,4,3
ORD-1051,2026-05-02,846,west,no,4,5
ORD-1052,2026-04-09,914,east,no,5,6
ORD-1053,2026-06-30,852,east,yes,4,5
ORD-1054,2026-05-08,626,east,no,7,7
ORD-1055,2026-06-29,658,west,no,7,7
ORD-1056,2026-04-12,798,east,no,7,7
ORD-1057,2026-07-17,922,north,no,6,6
ORD-1058,2026-03-31,359,south,no,3,3
ORD-1059,2026-05-05,225,east,no,4,4
ORD-1060,2026-03-27,148,east,no,4,4
ORD-1061,2026-06-28,685,north,no,7,6
ORD-1062,2026-05-31,823,south,no,7,9
ORD-1063,2026-05-06,447,south,yes,7,6
ORD-1064,2026-07-05,977,south,no,6,5
ORD-1065,2026-04-19,520,south,yes,3,2
ORD-1066,2026-03-23,175,west,no,3,3
ORD-1067,2026-06-15,501,north,yes,6,4
ORD-1068,2026-05-09,704,north,no,4,6
ORD-1069,2026-06-21,365,east,no,4,6
ORD-1070,2026-04-12,568,south,no,7,8
ORD-1071,2026-03-29,497,north,no,6,5
ORD-1072,2026-06-19,918,south,no,5,7
ORD-1073,2026-04-22,878,west,no,4,5
ORD-1074,2026-07-12,694,south,no,4,4
ORD-1075,2026-04-13,370,north,no,6,7
ORD-1076,2026-07-03,646,east,no,3,3
ORD-1077,2026-05-03,842,west,no,5,6
ORD-1078,2026-04-01,496,east,no,3,3
ORD-1079,2026-03-30,595,east,no,5,5
ORD-1080,2026-05-20,468,north,no,7,9
ORD-1081,2026-04-06,207,east,no,6,5
ORD-1082,2026-07-11,584,south,no,6,8
ORD-1083,2026-06-08,528,north,no,6,6
ORD-1084,2026-05-19,255,west,no,4,5
ORD-1085,2026-05-29,445,north,no,7,9
ORD-1086,2026-04-21,110,north,no,3,5
ORD-1087,2026-04-21,859,south,no,6,6
ORD-1088,2026-07-16,846,west,no,6,8
ORD-1089,2026-03-29,235,south,yes,6,7
ORD-1090,2026-04-08,885,south,no,7,9
ORD-1091,2026-03-26,710,north,no,6,7
ORD-1092,2026-05-19,683,south,no,3,3
ORD-1093,2026-06-29,703,west,no,6,7
ORD-1094,2026-03-27,156,south,yes,6,4
ORD-1095,2026-04-11,233,south,no,4,3
ORD-1096,2026-06-25,516,west,no,4,3
ORD-1097,2026-06-11,800,west,yes,4,3
ORD-1098,2026-07-11,335,north,no,4,6
ORD-1099,2026-06-12,933,east,yes,6,6
ORD-1100,2026-04-02,824,west,no,6,6
ORD-1101,2026-04-21,770,west,no,3,3
ORD-1102,2026-06-23,430,west,no,5,6
ORD-1103,2026-05-02,451,west,yes,5,6
ORD-1104,2026-05-17,982,north,yes,3,3
ORD-1105,2026-06-15,444,north,no,7,9
ORD-1106,2026-05-10,351,east,no,6,6
ORD-1107,2026-07-03,902,east,no,7,9
ORD-1108,2026-06-15,246,east,no,4,4
ORD-1109,2026-06-06,878,north,no,4,5
ORD-1110,2026-07-01,591,south,no,5,4
ORD-1111,2026-05-08,657,south,no,7,8
ORD-1112,2026-07-14,233,west,yes,4,5
ORD-1113,2026-07-02,135,east,no,4,5
ORD-1114,2026-04-29,313,west,no,5,6
ORD-1115,2026-05-09,263,south,no,6,7
ORD-1116,2026-06-22,924,north,no,3,3
ORD-1117,2026-05-06,690,east,no,5,5
ORD-1118,2026-05-18,217,south,no,7,7
ORD-1119,2026-07-16,654,east,yes,4,3
ORD-1120,2026-05-18,818,east,yes,3,1
ORD-1121,2026-06-25,801,east,no,7,7
ORD-1122,2026-06-28,848,east,yes,3,2
ORD-1123,2026-07-07,378,east,no,6,6
ORD-1124,2026-05-28,240,east,no,5,7
ORD-1125,2026-07-10,995,south,no,5,5
ORD-1126,2026-06-07,275,south,no,3,3
ORD-1127,2026-04-21,274,east,no,7,7
ORD-1128,2026-06-18,885,north,yes,6,7
ORD-1129,2026-06-10,306,east,no,7,7
ORD-1130,2026-05-05,245,west,no,5,6
ORD-1131,2026-04-20,824,east,no,7,9
ORD-1132,2026-05-24,443,south,no,3,3
ORD-1133,2026-05-02,597,east,no,4,5
ORD-1134,2026-06-13,735,south,no,7,6
ORD-1135,2026-07-17,679,south,no,3,2
ORD-1136,2026-05-15,785,west,no,7,8
ORD-1137,2026-07-14,685,west,yes,7,5
ORD-1138,2026-07-12,662,north,no,3,3
ORD-1139,2026-07-01,678,south,no,4,4
ORD-1140,2026-04-01,762,west,no,3,5
ORD-1141,2026-04-12,265,east,no,6,8
ORD-1142,2026-06-04,430,east,no,7,7
ORD-1143,2026-07-08,761,south,no,6,8
ORD-1144,2026-07-07,906,south,no,5,4
ORD-1145,2026-06-05,910,north,no,6,5
ORD-1146,2026-03-22,946,west,no,4,5
ORD-1147,2026-05-04,454,east,yes,6,5
ORD-1148,2026-05-12,282,north,no,7,6
ORD-1149,2026-04-25,845,south,no,7,8
ORD-1150,2026-06-17,591,west,no,6,7
ORD-1151,2026-03-27,302,north,no,5,5
ORD-1152,2026-03-29,631,south,no,5,6
ORD-1153,2026-06-26,470,south,no,7,8
ORD-1154,2026-07-03,328,east,no,5,5
ORD-1155,2026-04-02,148,west,no,4,6
ORD-1156,2026-06-13,228,north,no,7,7
ORD-1157,2026-05-18,741,east,no,7,6
ORD-1158,2026-04-16,715,east,no,3,2
ORD-1159,2026-05-25,525,west,no,5,6
ORD-1160,2026-06-11,228,north,no,4,4
ORD-1161,2026-06-14,326,south,yes,7,5
ORD-1162,2026-04-08,878,east,no,7,9
ORD-1163,2026-04-17,202,north,no,5,4
ORD-1164,2026-06-29,870,south,no,6,5
ORD-1165,2026-06-24,364,south,no,4,3
ORD-1166,2026-03-29,999,east,no,5,4
ORD-1167,2026-04-27,725,west,no,3,3
ORD-1168,2026-06-20,559,north,no,5,5
ORD-1169,2026-06-27,954,north,no,4,4
ORD-1170,2026-04-30,906,south,no,6,7
ORD-1171,2026-04-06,983,east,no,3,3
ORD-1172,2026-04-07,859,north,yes,4,3
ORD-1173,2026-05-19,143,west,no,4,3
ORD-1174,2026-06-29,138,east,no,7,9
ORD-1175,2026-05-23,169,north,no,5,6
ORD-1176,2026-06-09,355,north,no,4,5
ORD-1177,2026-06-07,831,north,no,5,4
ORD-1178,2026-06-25,604,west,yes,4,5
ORD-1179,2026-04-16,472,north,no,3,4
ORD-1180,2026-05-05,336,south,no,4,4
ORD-1181,2026-05-03,857,west,no,3,3
ORD-1182,2026-04-07,671,west,yes,5,5
ORD-1183,2026-06-05,200,west,yes,6,7
ORD-1184,2026-06-16,383,north,no,3,3
ORD-1185,2026-06-16,533,north,yes,4,3
ORD-1186,2026-07-05,359,east,yes,4,4
ORD-1187,2026-04-27,831,south,no,7,7
ORD-1188,2026-06-27,145,north,no,3,3
ORD-1189,2026-03-22,354,west,no,3,3
ORD-1190,2026-06-06,825,east,no,3,4
ORD-1191,2026-06-01,155,north,no,5,6
ORD-1192,2026-04-27,763,north,no,3,3
ORD-1193,2026-06-04,707,west,no,6,5
ORD-1194,2026-05-31,428,west,no,5,5
ORD-1195,2026-05-13,177,east,no,3,5
ORD-1196,2026-03-31,121,north,no,4,4
ORD-1197,2026-04-17,725,north,no,4,4
ORD-1198,2026-04-11,212,north,no,3,4
ORD-1199,2026-04-20,466,south,no,6,6
