date,COMBED_YARN_SHIPPED,GREY_FABRIC_SHIPPED,DYED_FABRIC_SHIPPED,KNITTED_FABRIC_SHIPPED
2026-03-23,202,83,107,137
2026-03-24,111,37,95,85
2026-03-25,37,102,54,38
2026-03-26,5,57,50,99
2026-03-27,85,35,95,66
2026-03-28,130,86,91,129
2026-03-29,66,111,118,0
2026-03-30,90,39,184,46
2026-03-31,109,100,73,77
2026-04-01,36,5,84,6
2026-04-02,113,56,145,83
2026-04-03,80,149,17,151
2026-04-04,67,146,58,131
2026-04-05,120,166,102,58
2026-04-06,117,45,105,155
2026-04-07,155,139,37,67
2026-04-08,154,55,29,83
2026-04-09,108,33,133,110
2026-04-10,0,108,122,104
2026-04-11,82,71,115,148
2026-04-12,45,149,86,0
2026-04-13,35,50,136,120
2026-04-14,128,151,123,78
2026-04-15,140,45,93,71
2026-04-16,81,114,115,151
2026-04-17,89,110,127,69
2026-04-18,62,90,53,3
2026-04-19,115,120,58,110
2026-04-20,168,40,154,96
2026-04-21,104,110,8,28
2026-04-22,107,59,110,84
2026-04-23,59,136,49,156
2026-04-24,53,58,73,117
2026-04-25,110,192,39,30
2026-04-26,74,3,128,72
2026-04-27,138,135,102,41
2026-04-28,12,55,117,140
2026-04-29,114,49,188,185
2026-04-30,68,55,112,38
2026-05-01,32,60,59,100
2026-05-02,51,64,70,72
2026-05-03,150,140,80,102
2026-05-04,180,54,64,54
2026-05-05,103,94,23,144
2026-05-06,10,82,107,83
2026-05-07,0,129,52,38
2026-05-08,55,53,30,135
2026-05-09,69,71,111,121
2026-05-10,36,127,56,120
2026-05-11,133,110,16,59
2026-05-12,95,122,81,104
2026-05-13,109,190,99,154
2026-05-14,41,71,181,141
2026-05-15,130,127,79,162
2026-05-16,40,99,203,0
2026-05-17,154,50,52,63
2026-05-18,100,19,75,85
2026-05-19,146,16,3,96
2026-05-20,0,73,51,101
2026-05-21,70,40,37,16
2026-05-22,3,41,6,109
2026-05-23,122,78,58,6
2026-05-24,49,70,67,29
2026-05-25,146,205,46,95
2026-05-26,142,148,130,111
2026-05-27,57,115,49,52
2026-05-28,98,133,112,24
2026-05-29,74,81,104,89
2026-05-30,2,168,104,68
2026-05-31,162,22,121,105
2026-06-01,69,54,130,134
2026-06-02,101,107,74,56
2026-06-03,167,144,36,143
2026-06-04,51,141,97,55
2026-06-05,109,136,79,111
2026-06-06,92,132,133,109
2026-06-07,149,55,31,105
2026-06-08,131,91,110,117
2026-06-09,105,100,131,83
2026-06-10,131,151,16,11
2026-06-11,135,65,98,58
2026-06-12,65,121,73,52
2026-06-13,33,98,101,74
2026-06-14,54,12,33,137
2026-06-15,2,3,71,89
2026-06-16,120,126,81,171
2026-06-17,91,52,40,138
2026-06-18,27,58,88,89
2026-06-19,91,63,78,82
2026-06-20,98,70,102,56
2026-06-21,53,72,28,156
2026-06-22,156,0,59,81
2026-06-23,79,196,65,8
2026-06-24,1,124,166,95
2026-06-25,10,58,68,104
2026-06-26,79,132,73,59
2026-06-27,96,124,95,75
2026-06-28,17,168,109,145
2026-06-29,0,66,144,76
2026-06-30,49,107,59,32
2026-07-01,55,163,123,144
2026-07-02,73,107,158,88
2026-07-03,26,66,93,112
2026-07-04,49,135,35,194
2026-07-05,85,72,49,36
2026-07-06,171,68,37,145
2026-07-07,76,85,42,138
2026-07-08,0,112,97,101
2026-07-09,95,79,49,120
2026-07-10,138,145,107,168
2026-07-11,34,88,49,104
2026-07-12,67,51,177,100
2026-07-13,173,75,47,50
2026-07-14,14,66,94,145
2026-07-15,63,47,69,83
2026-07-16,106,128,148,79
2026-07-17,144,40,47,149
2026-07-18,110,67,33,135
2026-07-19,86,88,65,136
2026-07-20,66,155,60,71
