date,PCB_SUBSTRATE_CONSUMED,SOLDER_PASTE_CONSUMED,SMT_COMPONENTS_CONSUMED,FLUX_CONSUMED
2026-04-13,436,1107,1067,734
2026-04-14,441,1151,1053,793
2026-04-15,485,1108,1073,721
2026-04-16,449,993,1011,726
2026-04-17,410,954,965,684
2026-04-18,64,168,157,100
2026-04-19,45,99,146,49
2026-04-20,449,1059,1061,741
2026-04-21,510,1150,1050,809
2026-04-22,510,1102,1116,789
2026-04-23,483,1046,999,804
2026-04-24,435,1037,1003,666
2026-04-25,65,319,155,160
2026-04-26,56,46,148,23
2026-04-27,474,1077,1029,760
2026-04-28,493,1100,1207,776
2026-04-29,480,1097,1140,734
2026-04-30,478,1044,1082,726
2026-05-01,411,976,960,751
2026-05-02,105,216,213,148
2026-05-03,33,146,110,85
2026-05-04,450,997,1097,783
2026-05-05,494,1067,1128,766
2026-05-06,530,1116,1165,752
2026-05-07,497,1188,1045,738
2026-05-08,413,912,999,701
2026-05-09,89,239,211,135
2026-05-10,27,66,109,20
2026-05-11,465,1094,1151,738
2026-05-12,463,1156,1181,765
2026-05-13,493,1179,1172,810
2026-05-14,511,1116,1154,806
2026-05-15,432,1028,1040,686
2026-05-16,120,262,161,90
2026-05-17,54,68,87,67
2026-05-18,473,1159,1123,836
2026-05-19,515,1130,1192,786
2026-05-20,517,1208,1229,852
2026-05-21,485,1138,1170,795
2026-05-22,450,988,1045,652
2026-05-23,113,244,291,128
2026-05-24,46,106,115,129
2026-05-25,501,1156,1180,805
2026-05-26,529,1270,1252,853
2026-05-27,533,1179,1133,866
2026-05-28,502,1191,1163,819
2026-05-29,441,1026,1064,692
2026-05-30,107,239,227,171
2026-05-31,46,84,61,77
2026-06-01,499,1213,1102,836
2026-06-02,498,1186,1282,826
2026-06-03,540,1133,1218,808
2026-06-04,458,1300,1135,835
2026-06-05,450,1058,1005,716
2026-06-06,121,319,218,197
2026-06-07,100,106,177,54
2026-06-08,495,1201,1179,778
2026-06-09,539,1192,1170,788
2026-06-10,529,1229,1216,874
2026-06-11,502,1130,1134,832
2026-06-12,466,1004,1082,736
2026-06-13,115,295,240,194
2026-06-14,72,76,139,50
2026-06-15,504,1182,1216,849
2026-06-16,539,1231,1271,903
2026-06-17,541,1285,1189,834
2026-06-18,524,1193,1156,831
2026-06-19,476,1102,1004,749
2026-06-20,159,214,255,139
2026-06-21,63,142,144,139
2026-06-22,526,1137,1228,842
2026-06-23,535,1226,1211,914
2026-06-24,565,1261,1204,868
2026-06-25,515,1199,1229,849
2026-06-26,515,1111,1096,746
2026-06-27,108,217,279,172
2026-06-28,92,153,68,137
2026-06-29,486,1330,1269,755
2026-06-30,538,1241,1323,878
2026-07-01,562,1290,1243,870
2026-07-02,523,1220,1088,816
2026-07-03,477,1164,1013,713
2026-07-04,67,290,236,222
2026-07-05,46,164,192,54
2026-07-06,495,1286,1207,927
2026-07-07,603,1301,1227,897
2026-07-08,572,1276,1321,950
2026-07-09,562,1181,1220,876
2026-07-10,469,1073,1037,827
2026-07-11,129,201,189,160
