order_id,order_date,quantity,destination_region,rush_order,promised_lead_days,actual_lead_time_days
ORD-1000,2026-06-10,150,west,no,5,4
ORD-1001,2026-06-16,500,export,no,12,11
ORD-1002,2026-04-12,500,north,no,7,7
ORD-1003,2026-05-14,100,north,no,5,4
ORD-1004,2026-06-01,100,north,no,5,5
ORD-1005,2026-05-30,150,export,no,10,10
ORD-1006,2026-05-15,50,export,no,9,7
ORD-1007,2026-05-19,50,east,no,5,3
ORD-1008,2026-04-16,800,north,no,9,10
ORD-1009,2026-05-01,150,north,no,5,3
ORD-1010,2026-06-07,500,east,no,7,9
ORD-1011,2026-04-12,300,west,no,6,5
ORD-1012,2026-06-17,100,west,no,5,4
ORD-1013,2026-05-28,200,east,no,6,5
ORD-1014,2026-04-11,800,south,no,9,9
ORD-1015,2026-04-20,100,north,yes,3,3
ORD-1016,2026-04-20,800,south,yes,7,6
ORD-1017,2026-04-28,500,east,no,7,8
ORD-1018,2026-04-20,200,export,no,10,9
ORD-1019,2026-04-26,50,export,yes,7,8
ORD-1020,2026-05-31,150,north,no,5,5
ORD-1021,2026-06-05,300,export,no,11,10
ORD-1022,2026-05-31,200,export,no,10,10
ORD-1023,2026-04-30,800,export,no,13,13
ORD-1024,2026-06-04,50,north,no,5,3
ORD-1025,2026-04-14,150,export,no,10,9
ORD-1026,2026-06-25,100,south,no,5,5
ORD-1027,2026-04-30,150,north,no,5,6
ORD-1028,2026-05-07,150,south,no,5,4
ORD-1029,2026-06-21,500,east,no,7,8
ORD-1030,2026-05-30,100,east,no,5,5
ORD-1031,2026-06-23,150,west,no,5,6
ORD-1032,2026-06-22,100,export,no,10,11
ORD-1033,2026-04-12,50,south,no,5,3
ORD-1034,2026-05-20,500,east,no,7,7
ORD-1035,2026-05-04,100,export,no,10,8
ORD-1036,2026-07-02,150,export,no,10,9
ORD-1037,2026-04-12,100,south,no,5,6
ORD-1038,2026-05-21,800,east,yes,7,6
ORD-1039,2026-04-08,500,export,no,12,14
ORD-1040,2026-05-22,150,west,no,5,4
ORD-1041,2026-05-01,300,export,no,11,11
ORD-1042,2026-05-17,100,export,yes,8,8
ORD-1043,2026-06-08,300,west,yes,4,5
ORD-1044,2026-05-10,50,west,no,5,5
ORD-1045,2026-06-30,100,west,no,5,3
ORD-1046,2026-04-22,100,north,yes,3,4
ORD-1047,2026-07-01,100,export,no,10,10
ORD-1048,2026-05-10,800,export,no,13,14
ORD-1049,2026-06-03,50,east,no,5,5
ORD-1050,2026-05-16,500,export,yes,10,9
ORD-1051,2026-04-28,50,export,no,9,11
ORD-1052,2026-05-16,50,east,yes,3,2
ORD-1053,2026-04-27,500,east,no,7,8
ORD-1054,2026-05-05,150,south,no,5,4
ORD-1055,2026-04-28,800,east,no,9,8
ORD-1056,2026-05-13,50,west,no,5,5
ORD-1057,2026-06-03,200,south,yes,4,3
ORD-1058,2026-06-15,500,north,no,7,8
ORD-1059,2026-07-01,50,export,no,9,10
ORD-1060,2026-06-08,150,export,no,10,9
ORD-1061,2026-06-02,200,west,no,6,6
ORD-1062,2026-05-09,200,north,no,6,6
ORD-1063,2026-06-27,200,export,no,10,10
ORD-1064,2026-04-30,500,north,no,7,6
ORD-1065,2026-05-07,300,export,yes,9,7
ORD-1066,2026-05-26,50,west,yes,3,3
ORD-1067,2026-04-14,150,east,no,5,6
ORD-1068,2026-05-06,100,east,no,5,6
ORD-1069,2026-05-04,200,north,no,6,5
ORD-1070,2026-05-15,500,south,no,7,9
ORD-1071,2026-06-21,300,west,yes,4,2
ORD-1072,2026-06-05,100,north,yes,3,3
ORD-1073,2026-06-13,800,south,no,9,8
ORD-1074,2026-05-02,800,west,no,9,9
ORD-1075,2026-04-21,500,north,no,7,8
ORD-1076,2026-04-23,800,west,no,9,10
ORD-1077,2026-06-10,100,east,no,5,6
ORD-1078,2026-05-03,50,north,no,5,5
ORD-1079,2026-05-08,300,export,no,11,10
ORD-1080,2026-04-19,500,east,no,7,8
ORD-1081,2026-06-01,150,north,no,5,4
ORD-1082,2026-06-23,800,north,no,9,10
ORD-1083,2026-05-30,200,west,no,6,8
ORD-1084,2026-04-16,300,export,no,11,9
ORD-1085,2026-04-08,800,west,yes,7,6
ORD-1086,2026-06-18,200,south,no,6,6
ORD-1087,2026-05-04,100,north,no,5,6
ORD-1088,2026-07-02,150,export,no,10,8
ORD-1089,2026-06-01,150,export,no,10,8
ORD-1090,2026-04-19,300,north,no,6,6
ORD-1091,2026-04-30,50,export,yes,7,9
ORD-1092,2026-05-08,50,south,no,5,5
ORD-1093,2026-05-17,500,east,no,7,7
ORD-1094,2026-04-25,800,west,no,9,9
ORD-1095,2026-04-25,150,export,yes,8,8
ORD-1096,2026-04-17,100,north,no,5,6
ORD-1097,2026-05-20,500,export,yes,10,9
ORD-1098,2026-06-24,200,export,no,10,11
ORD-1099,2026-04-25,300,east,no,6,7
ORD-1100,2026-05-16,200,north,no,6,8
ORD-1101,2026-04-18,150,west,yes,3,3
ORD-1102,2026-06-19,100,west,no,5,3
ORD-1103,2026-04-20,800,east,yes,7,5
ORD-1104,2026-05-24,100,west,no,5,3
ORD-1105,2026-05-10,150,export,no,10,12
ORD-1106,2026-06-07,50,south,no,5,6
ORD-1107,2026-06-20,500,export,yes,10,9
ORD-1108,2026-05-19,800,export,yes,11,11
ORD-1109,2026-06-18,200,export,no,10,9
ORD-1110,2026-05-14,500,east,yes,5,7
ORD-1111,2026-04-30,100,north,yes,3,2
ORD-1112,2026-06-14,200,north,no,6,7
ORD-1113,2026-04-08,150,export,no,10,10
ORD-1114,2026-05-06,100,south,yes,3,4
ORD-1115,2026-06-17,300,south,no,6,6
ORD-1116,2026-04-22,800,north,yes,7,5
ORD-1117,2026-05-25,300,west,no,6,7
ORD-1118,2026-04-12,500,east,no,7,9
ORD-1119,2026-05-11,50,south,yes,3,4
ORD-2000,2026-07-07,600,east,no,8,
ORD-2001,2026-07-06,600,export,no,12,
ORD-2002,2026-07-09,300,south,no,6,
ORD-2003,2026-07-06,400,west,no,7,
ORD-2004,2026-07-10,800,west,no,9,
ORD-2005,2026-07-10,300,north,no,6,
ORD-2006,2026-07-06,400,south,no,7,
ORD-2007,2026-07-09,600,east,no,8,
