date,CONTROL_BOARD_A_SHIPPED,SENSOR_MODULE_B_SHIPPED,POWER_SUPPLY_UNIT_SHIPPED,IOT_GATEWAY_BOARD_SHIPPED
2026-04-13,158,104,83,42
2026-04-14,176,109,89,77
2026-04-15,195,108,71,64
2026-04-16,185,117,80,57
2026-04-17,146,106,87,55
2026-04-18,65,31,28,8
2026-04-19,21,0,0,21
2026-04-20,159,103,63,60
2026-04-21,207,100,106,86
2026-04-22,189,119,93,74
2026-04-23,170,111,62,76
2026-04-24,155,101,78,46
2026-04-25,49,37,21,32
2026-04-26,34,13,4,14
2026-04-27,162,92,88,74
2026-04-28,180,129,75,77
2026-04-29,191,131,101,84
2026-04-30,174,132,83,69
2026-05-01,156,94,73,63
2026-05-02,41,20,34,22
2026-05-03,34,29,17,18
2026-05-04,189,119,92,65
2026-05-05,184,131,95,81
2026-05-06,191,144,104,62
2026-05-07,194,118,86,62
2026-05-08,176,110,86,61
2026-05-09,49,26,9,2
2026-05-10,41,20,37,0
2026-05-11,183,112,81,79
2026-05-12,194,116,92,59
2026-05-13,190,127,97,70
2026-05-14,188,116,102,77
2026-05-15,175,115,79,73
2026-05-16,39,33,41,5
2026-05-17,23,19,24,8
2026-05-18,214,120,101,101
2026-05-19,204,127,94,68
2026-05-20,209,129,90,78
2026-05-21,201,129,78,76
2026-05-22,170,86,89,62
2026-05-23,49,6,7,23
2026-05-24,24,5,0,3
2026-05-25,198,124,87,83
2026-05-26,206,116,75,77
2026-05-27,212,121,123,59
2026-05-28,205,128,96,95
2026-05-29,162,130,72,71
2026-05-30,58,45,34,30
2026-05-31,28,37,1,13
2026-06-01,205,121,81,85
2026-06-02,227,121,86,97
2026-06-03,220,151,111,79
2026-06-04,213,122,104,61
2026-06-05,172,135,66,64
2026-06-06,57,25,25,43
2026-06-07,24,20,20,2
2026-06-08,210,144,100,97
2026-06-09,208,130,83,86
2026-06-10,220,141,95,94
2026-06-11,222,138,108,86
2026-06-12,216,113,66,80
2026-06-13,62,0,0,2
2026-06-14,43,31,33,19
2026-06-15,203,116,95,91
2026-06-16,250,136,87,88
2026-06-17,229,126,97,90
2026-06-18,206,148,102,99
2026-06-19,189,122,73,83
2026-06-20,75,34,27,30
2026-06-21,23,15,29,11
2026-06-22,238,118,99,82
2026-06-23,232,130,95,76
2026-06-24,238,153,100,118
2026-06-25,219,132,100,74
2026-06-26,193,114,79,83
2026-06-27,48,27,30,27
2026-06-28,46,33,10,17
2026-06-29,219,153,92,93
2026-06-30,236,129,105,91
2026-07-01,243,119,99,94
2026-07-02,222,141,102,95
2026-07-03,210,134,90,102
2026-07-04,64,21,12,37
2026-07-05,38,28,6,0
2026-07-06,213,131,107,89
2026-07-07,246,155,110,98
2026-07-08,253,152,90,107
2026-07-09,227,132,89,86
2026-07-10,230,110,107,98
2026-07-11,67,38,18,22
