timestamp,SMT1_VIB,RO4_VIB,AOI2_VIB,WS3_VIB
2026-06-28 00:00,1.22,1.17,1.20,1.30
2026-06-28 01:00,1.21,1.21,1.20,1.24
2026-06-28 02:00,1.07,1.06,1.22,1.29
2026-06-28 03:00,1.21,1.25,1.10,1.46
2026-06-28 04:00,1.13,1.09,1.30,1.39
2026-06-28 05:00,1.32,1.11,1.21,1.38
2026-06-28 06:00,1.06,1.32,1.29,1.24
2026-06-28 07:00,1.22,1.27,1.29,1.36
2026-06-28 08:00,1.23,1.31,1.41,1.35
2026-06-28 09:00,1.35,1.28,1.36,1.66
2026-06-28 10:00,1.36,1.49,1.62,1.56
2026-06-28 11:00,1.43,1.58,1.60,1.43
2026-06-28 12:00,1.54,1.46,1.60,1.51
2026-06-28 13:00,1.39,1.39,1.57,1.37
2026-06-28 14:00,1.40,1.61,1.62,1.50
2026-06-28 15:00,1.43,1.58,1.35,1.42
2026-06-28 16:00,1.33,1.39,1.51,1.50
2026-06-28 17:00,1.36,1.17,1.31,1.47
2026-06-28 18:00,1.17,1.21,1.35,1.21
2026-06-28 19:00,1.16,1.26,1.13,1.13
2026-06-28 20:00,1.08,1.10,1.07,1.17
2026-06-28 21:00,1.13,1.12,1.49,1.37
2026-06-28 22:00,1.26,1.27,1.09,1.18
2026-06-28 23:00,1.17,1.10,1.28,1.27
2026-06-29 00:00,1.06,0.88,1.36,1.19
2026-06-29 01:00,1.00,1.22,1.19,1.13
2026-06-29 02:00,1.26,1.09,1.30,1.41
2026-06-29 03:00,1.12,1.18,1.34,1.27
2026-06-29 04:00,1.16,1.13,1.23,1.24
2026-06-29 05:00,1.18,1.26,1.21,1.36
2026-06-29 06:00,1.31,1.39,1.16,1.31
2026-06-29 07:00,1.26,1.33,1.36,1.54
2026-06-29 08:00,1.21,1.18,1.29,1.41
2026-06-29 09:00,1.34,1.56,1.37,1.64
2026-06-29 10:00,1.29,1.55,1.48,1.77
2026-06-29 11:00,1.32,1.38,1.60,1.60
2026-06-29 12:00,1.42,1.37,1.63,1.61
2026-06-29 13:00,1.58,1.41,1.58,1.47
2026-06-29 14:00,1.52,1.46,1.47,1.63
2026-06-29 15:00,1.30,1.50,1.38,1.51
2026-06-29 16:00,1.22,1.39,1.27,1.50
2026-06-29 17:00,1.19,1.34,1.38,1.23
2026-06-29 18:00,1.21,1.28,1.21,1.34
2026-06-29 19:00,1.19,1.31,1.40,1.26
2026-06-29 20:00,1.15,1.04,1.40,1.19
2026-06-29 21:00,0.98,1.27,1.14,1.20
2026-06-29 22:00,1.10,1.12,1.50,1.26
2026-06-29 23:00,1.22,1.25,1.21,1.40
2026-06-30 00:00,1.06,0.99,1.36,1.29
2026-06-30 01:00,1.04,1.19,1.28,1.02
2026-06-30 02:00,1.18,1.28,1.35,1.05
2026-06-30 03:00,1.21,0.99,1.21,1.16
2026-06-30 04:00,0.93,1.15,1.11,1.21
2026-06-30 05:00,1.08,1.21,1.16,1.36
2026-06-30 06:00,1.22,1.34,1.30,1.42
2026-06-30 07:00,1.02,1.22,1.36,1.44
2026-06-30 08:00,1.24,1.18,1.44,1.51
2026-06-30 09:00,1.45,1.45,1.45,1.70
2026-06-30 10:00,1.37,1.34,1.51,1.63
2026-06-30 11:00,1.58,1.36,1.46,1.59
2026-06-30 12:00,1.59,1.41,1.56,1.50
2026-06-30 13:00,1.32,1.63,1.33,1.49
2026-06-30 14:00,1.39,1.48,1.63,1.43
2026-06-30 15:00,1.31,1.50,1.62,1.49
2026-06-30 16:00,1.35,1.38,1.23,1.50
2026-06-30 17:00,1.24,1.48,1.24,1.35
2026-06-30 18:00,0.99,1.15,1.14,1.16
2026-06-30 19:00,1.05,1.05,1.17,1.30
2026-06-30 20:00,1.10,1.21,1.36,1.38
2026-06-30 21:00,1.17,1.20,1.42,1.25
