date,SYRUP_CONCENTRATE_CONSUMED,BOTTLES_CONSUMED,CAPS_CONSUMED,LABELS_CONSUMED
2026-02-12,451,1063,1013,731
2026-02-13,397,946,874,642
2026-02-14,69,276,330,162
2026-02-15,34,115,68,94
2026-02-16,484,1044,1002,691
2026-02-17,447,1019,1037,766
2026-02-18,515,1061,1107,776
2026-02-19,478,1009,1077,730
2026-02-20,399,983,940,683
2026-02-21,49,175,177,74
2026-02-22,62,107,153,46
2026-02-23,450,1083,1140,645
2026-02-24,460,1044,1100,716
2026-02-25,447,1136,1041,715
2026-02-26,472,1033,1010,734
2026-02-27,426,977,996,658
2026-02-28,108,245,152,106
2026-03-01,31,161,98,165
2026-03-02,427,1088,1123,712
2026-03-03,455,1133,1052,757
2026-03-04,505,1108,1100,801
2026-03-05,427,1084,1040,776
2026-03-06,433,961,973,675
2026-03-07,92,196,172,187
2026-03-08,22,113,102,72
2026-03-09,444,1028,1123,742
2026-03-10,483,1125,1114,791
2026-03-11,481,1119,1131,764
2026-03-12,479,1114,1093,719
2026-03-13,452,951,993,727
2026-03-14,115,274,156,141
2026-03-15,69,79,77,91
2026-03-16,446,1033,1020,759
2026-03-17,491,1084,1194,812
2026-03-18,513,1155,1096,780
2026-03-19,482,1058,1010,757
2026-03-20,411,963,1033,620
2026-03-21,59,139,261,144
2026-03-22,60,116,176,58
2026-03-23,510,1107,1152,728
2026-03-24,510,1069,1170,842
2026-03-25,528,1183,1112,752
2026-03-26,486,996,1173,776
2026-03-27,441,949,972,701
2026-03-28,92,247,198,130
2026-03-29,67,231,166,102
2026-03-30,507,1128,1100,779
2026-03-31,513,1173,1105,779
2026-04-01,473,1160,1126,787
2026-04-02,507,1113,1175,722
2026-04-03,422,1051,1014,684
2026-04-04,92,254,204,146
2026-04-05,82,118,108,117
2026-04-06,457,1117,1094,797
2026-04-07,525,1136,1161,839
2026-04-08,526,1130,1097,827
2026-04-09,519,1133,1105,787
2026-04-10,436,979,1053,709
2026-04-11,110,266,188,129
2026-04-12,60,99,93,59
2026-04-13,491,1141,1145,785
2026-04-14,502,1243,1112,817
2026-04-15,514,1153,1114,840
2026-04-16,480,1069,1066,772
2026-04-17,423,1096,974,686
2026-04-18,82,210,339,150
2026-04-19,32,123,150,71
2026-04-20,533,1195,1126,777
2026-04-21,516,1187,1206,864
2026-04-22,541,1166,1172,825
2026-04-23,489,1055,1109,836
2026-04-24,449,994,1105,754
2026-04-25,97,275,218,101
2026-04-26,31,73,69,45
2026-04-27,463,1027,1137,724
2026-04-28,534,1263,1117,779
2026-04-29,492,1247,1175,849
2026-04-30,515,1051,1059,742
2026-05-01,475,971,1076,729
2026-05-02,128,268,250,101
2026-05-03,68,112,139,84
2026-05-04,525,1086,1218,857
2026-05-05,555,1144,1229,813
2026-05-06,542,1237,1226,813
2026-05-07,529,1138,1194,816
2026-05-08,444,1071,1064,765
2026-05-09,76,242,265,167
2026-05-10,68,55,65,86
2026-05-11,508,1094,1151,730
2026-05-12,531,1222,1242,859
2026-05-13,528,1368,1195,871
2026-05-14,512,1183,1177,778
2026-05-15,431,1013,1092,746
2026-05-16,127,271,176,182
2026-05-17,50,126,141,126
2026-05-18,507,1206,1186,850
2026-05-19,559,1149,1214,894
2026-05-20,526,1330,1250,817
2026-05-21,520,1228,1160,836
2026-05-22,506,1140,1025,748
2026-05-23,124,346,241,152
2026-05-24,34,73,99,79
2026-05-25,482,1261,1189,821
2026-05-26,550,1255,1245,927
2026-05-27,512,1327,1213,835
2026-05-28,495,1160,1212,850
2026-05-29,485,1090,957,774
2026-05-30,143,273,222,158
2026-05-31,29,71,120,38
2026-06-01,514,1215,1177,869
2026-06-02,561,1259,1257,886
2026-06-03,551,1217,1199,900
2026-06-04,523,1187,1160,851
2026-06-05,496,1104,1077,747
2026-06-06,107,223,313,208
2026-06-07,71,234,139,25
2026-06-08,535,1194,1204,821
2026-06-09,539,1277,1227,840
2026-06-10,552,1284,1260,912
2026-06-11,511,1238,1163,830
2026-06-12,489,1036,1101,729
2026-06-13,108,274,304,217
2026-06-14,92,87,95,130
2026-06-15,582,1190,1213,839
2026-06-16,559,1272,1195,886
2026-06-17,556,1319,1316,883
2026-06-18,505,1195,1202,855
2026-06-19,491,1123,1090,753
2026-06-20,84,258,244,224
2026-06-21,46,192,45,52
2026-06-22,529,1297,1217,906
2026-06-23,583,1310,1241,936
2026-06-24,574,1320,1302,888
2026-06-25,474,1184,1168,804
2026-06-26,462,1169,1091,791
2026-06-27,84,293,162,161
2026-06-28,64,141,151,49
2026-06-29,547,1237,1172,808
2026-06-30,512,1300,1217,886
2026-07-01,582,1308,1302,901
2026-07-02,532,1252,1166,905
2026-07-03,489,1159,1182,735
2026-07-04,77,266,285,144
2026-07-05,40,68,150,74
2026-07-06,562,1239,1226,908
2026-07-07,589,1371,1239,969
2026-07-08,579,1342,1285,913
2026-07-09,581,1231,1268,885
2026-07-10,511,1110,1138,766
2026-07-11,133,165,254,221
