date,COLA_CLASSIC_SHIPPED,ENERGY_DRINK_SHIPPED,FRUIT_PUNCH_SHIPPED,ICED_TEA_SHIPPED
2026-02-12,175,90,84,61
2026-02-13,140,79,62,59
2026-02-14,43,39,0,4
2026-02-15,14,10,5,28
2026-02-16,168,110,71,59
2026-02-17,185,100,84,57
2026-02-18,175,112,81,69
2026-02-19,164,112,82,53
2026-02-20,144,103,68,49
2026-02-21,44,8,13,30
2026-02-22,24,14,4,15
2026-02-23,166,117,104,60
2026-02-24,182,117,89,57
2026-02-25,193,116,110,102
2026-02-26,175,123,109,72
2026-02-27,156,98,58,46
2026-02-28,29,30,33,12
2026-03-01,3,7,6,0
2026-03-02,168,124,88,48
2026-03-03,189,125,84,69
2026-03-04,188,106,88,80
2026-03-05,183,133,83,71
2026-03-06,167,79,84,64
2026-03-07,59,32,16,10
2026-03-08,29,10,6,21
2026-03-09,167,118,80,66
2026-03-10,201,120,82,82
2026-03-11,213,125,96,76
2026-03-12,167,117,106,82
2026-03-13,146,103,66,68
2026-03-14,36,35,6,26
2026-03-15,23,2,18,16
2026-03-16,175,113,74,85
2026-03-17,199,116,90,87
2026-03-18,209,136,112,71
2026-03-19,189,105,88,75
2026-03-20,156,106,94,75
2026-03-21,35,42,26,14
2026-03-22,7,17,11,0
2026-03-23,180,117,90,81
2026-03-24,213,126,108,77
2026-03-25,190,99,94,62
2026-03-26,170,119,79,75
2026-03-27,177,108,74,81
2026-03-28,47,37,18,18
2026-03-29,16,45,17,24
2026-03-30,188,126,90,74
2026-03-31,213,125,79,83
2026-04-01,190,131,86,63
2026-04-02,189,113,98,62
2026-04-03,187,90,94,82
2026-04-04,69,33,24,15
2026-04-05,25,12,18,0
2026-04-06,202,114,82,86
2026-04-07,218,126,87,87
2026-04-08,210,134,99,69
2026-04-09,190,127,96,60
2026-04-10,182,111,85,70
2026-04-11,54,28,8,21
2026-04-12,26,27,16,19
2026-04-13,194,137,88,68
2026-04-14,206,133,98,92
2026-04-15,208,126,101,84
2026-04-16,200,99,77,91
2026-04-17,198,114,83,71
2026-04-18,61,46,27,17
2026-04-19,30,14,20,19
2026-04-20,214,111,93,67
2026-04-21,208,124,96,80
2026-04-22,217,137,103,83
2026-04-23,191,130,107,64
2026-04-24,182,114,100,59
2026-04-25,38,34,11,24
2026-04-26,36,22,14,33
2026-04-27,211,151,86,87
2026-04-28,211,122,79,85
2026-04-29,221,123,102,52
2026-04-30,175,107,104,79
2026-05-01,200,107,97,79
2026-05-02,37,51,24,34
2026-05-03,41,26,6,10
2026-05-04,221,127,95,78
2026-05-05,216,145,98,65
2026-05-06,227,123,73,87
2026-05-07,218,113,79,81
2026-05-08,215,107,97,72
2026-05-09,64,56,21,28
2026-05-10,51,38,4,3
2026-05-11,213,99,75,94
2026-05-12,223,130,97,84
2026-05-13,226,126,104,84
2026-05-14,213,128,87,96
2026-05-15,203,129,98,53
2026-05-16,51,23,21,39
2026-05-17,28,6,13,22
2026-05-18,204,134,82,92
2026-05-19,217,135,72,92
2026-05-20,232,143,94,109
2026-05-21,216,132,107,75
2026-05-22,209,127,73,83
2026-05-23,72,40,18,0
2026-05-24,38,22,7,19
2026-05-25,213,134,100,61
2026-05-26,243,107,100,88
2026-05-27,246,158,99,81
2026-05-28,195,119,92,92
2026-05-29,204,108,96,101
2026-05-30,58,31,26,9
2026-05-31,37,27,22,27
2026-06-01,203,131,101,88
2026-06-02,259,140,113,100
2026-06-03,225,126,85,95
2026-06-04,234,141,102,76
2026-06-05,206,124,79,71
2026-06-06,65,33,22,44
2026-06-07,26,25,7,12
2026-06-08,202,115,95,80
2026-06-09,223,160,109,69
2026-06-10,262,151,107,80
2026-06-11,233,124,94,95
2026-06-12,194,140,100,70
2026-06-13,59,23,23,40
2026-06-14,32,18,24,7
2026-06-15,214,145,94,93
2026-06-16,238,162,97,105
2026-06-17,222,163,104,109
2026-06-18,214,144,89,104
2026-06-19,221,143,84,61
2026-06-20,34,27,8,12
2026-06-21,32,32,16,41
2026-06-22,243,124,112,88
2026-06-23,257,128,105,95
2026-06-24,236,148,87,93
2026-06-25,233,129,68,110
2026-06-26,222,116,87,69
2026-06-27,47,21,37,35
2026-06-28,31,33,9,0
2026-06-29,228,169,96,98
2026-06-30,256,141,113,108
2026-07-01,257,162,94,82
2026-07-02,261,136,86,103
2026-07-03,232,127,96,77
2026-07-04,52,23,15,34
2026-07-05,17,16,32,17
2026-07-06,250,138,88,93
2026-07-07,272,158,120,89
2026-07-08,254,163,91,108
2026-07-09,235,138,88,78
2026-07-10,216,124,100,95
2026-07-11,67,32,19,40
