date,BATCH_REJECT_RATE
2026-06-12,1.83
2026-06-13,1.90
2026-06-14,2.66
2026-06-15,1.85
2026-06-16,1.57
2026-06-17,2.09
2026-06-18,2.05
2026-06-19,2.21
2026-06-20,1.89
2026-06-21,2.45
2026-06-22,2.19
2026-06-23,2.78
2026-06-24,2.18
2026-06-25,2.08
2026-06-26,2.44
2026-06-27,2.27
2026-06-28,1.77
2026-06-29,2.25
2026-06-30,5.81
2026-07-01,5.49
2026-07-02,5.41
2026-07-03,6.41
2026-07-04,4.78
2026-07-05,5.45
2026-07-06,5.56
2026-07-07,1.63
2026-07-08,2.25
2026-07-09,2.33
2026-07-10,2.01
2026-07-11,1.73
