date,API_POWDER_CONSUMED,EXCIPIENT_BLEND_CONSUMED,COATING_SOLUTION_CONSUMED,BLISTER_FOIL_CONSUMED
2026-04-13,472,1028,1020,669
2026-04-14,475,1107,1070,748
2026-04-15,444,1157,1108,748
2026-04-16,465,1058,1047,718
2026-04-17,410,961,979,682
2026-04-18,99,252,202,95
2026-04-19,15,146,28,47
2026-04-20,457,1095,954,694
2026-04-21,464,1071,1106,795
2026-04-22,494,1240,1182,727
2026-04-23,429,1045,1043,771
2026-04-24,428,992,954,679
2026-04-25,100,202,240,102
2026-04-26,66,135,242,72
2026-04-27,432,1037,1057,717
2026-04-28,463,1104,1056,818
2026-04-29,458,1152,1171,797
2026-04-30,495,1092,1114,718
2026-05-01,396,943,975,705
2026-05-02,68,184,178,175
2026-05-03,35,159,90,50
2026-05-04,456,1001,958,733
2026-05-05,479,1236,1158,821
2026-05-06,499,1131,1072,752
2026-05-07,502,1066,1067,782
2026-05-08,422,971,1077,696
2026-05-09,87,199,185,164
2026-05-10,59,82,98,24
2026-05-11,472,1131,1053,761
2026-05-12,488,1134,1170,773
2026-05-13,527,1219,1214,777
2026-05-14,442,1079,1112,768
2026-05-15,430,998,981,715
2026-05-16,67,239,245,135
2026-05-17,123,124,123,38
2026-05-18,490,1125,1167,760
2026-05-19,533,1112,1174,759
2026-05-20,511,1211,1104,840
2026-05-21,497,1048,1076,763
2026-05-22,450,1076,981,673
2026-05-23,90,99,246,152
2026-05-24,43,175,99,54
2026-05-25,512,1110,1133,777
2026-05-26,517,1200,1205,791
2026-05-27,545,1175,1173,857
2026-05-28,486,1160,1190,821
2026-05-29,438,1073,1017,689
2026-05-30,83,244,198,201
2026-05-31,66,141,167,110
2026-06-01,484,1261,1080,804
2026-06-02,488,1195,1187,796
2026-06-03,537,1215,1210,809
2026-06-04,530,1145,1188,756
2026-06-05,481,1026,1086,711
2026-06-06,100,254,230,229
2026-06-07,47,105,166,87
2026-06-08,488,1152,1199,813
2026-06-09,555,1173,1240,829
2026-06-10,527,1200,1190,929
2026-06-11,513,1208,1189,878
2026-06-12,449,999,1086,706
2026-06-13,132,195,225,186
2026-06-14,30,106,134,37
2026-06-15,512,1117,1173,873
2026-06-16,568,1234,1233,841
2026-06-17,557,1278,1182,837
2026-06-18,491,1196,1199,831
2026-06-19,478,1098,1071,762
2026-06-20,94,274,287,99
2026-06-21,85,116,153,85
2026-06-22,551,1196,1215,815
2026-06-23,548,1279,1215,871
2026-06-24,537,1265,1305,882
2026-06-25,549,1173,1188,832
2026-06-26,454,1103,1053,731
2026-06-27,110,207,241,165
2026-06-28,74,186,145,62
2026-06-29,543,1323,1195,836
2026-06-30,580,1271,1258,923
2026-07-01,538,1322,1239,905
2026-07-02,528,1180,1256,802
2026-07-03,489,1090,1146,726
2026-07-04,125,337,216,170
2026-07-05,72,289,133,63
2026-07-06,538,1220,1207,812
2026-07-07,592,1218,1282,838
2026-07-08,517,1319,1227,923
2026-07-09,537,1188,1266,813
2026-07-10,499,1165,1052,779
2026-07-11,138,261,188,204
