date,TABLET_500MG_SHIPPED,TABLET_250MG_SHIPPED,CAPSULE_A_SHIPPED,EXT_RELEASE_TABLET_SHIPPED
2026-04-13,178,118,93,80
2026-04-14,168,103,77,56
2026-04-15,192,115,78,57
2026-04-16,185,93,78,70
2026-04-17,169,112,70,43
2026-04-18,30,32,24,31
2026-04-19,36,29,1,0
2026-04-20,174,113,76,81
2026-04-21,163,112,79,74
2026-04-22,190,110,94,85
2026-04-23,167,100,74,62
2026-04-24,147,76,85,45
2026-04-25,16,33,6,22
2026-04-26,39,3,0,23
2026-04-27,157,95,76,57
2026-04-28,203,114,68,88
2026-04-29,196,114,112,82
2026-04-30,190,104,86,87
2026-05-01,171,98,61,68
2026-05-02,48,40,30,28
2026-05-03,28,22,8,15
2026-05-04,189,118,78,75
2026-05-05,192,107,92,82
2026-05-06,189,139,96,87
2026-05-07,194,93,65,77
2026-05-08,163,97,85,68
2026-05-09,50,17,38,0
2026-05-10,40,11,23,11
2026-05-11,193,133,80,47
2026-05-12,191,93,84,66
2026-05-13,206,114,97,58
2026-05-14,195,114,100,101
2026-05-15,182,116,69,58
2026-05-16,70,9,19,24
2026-05-17,40,11,13,18
2026-05-18,211,120,87,90
2026-05-19,218,119,99,78
2026-05-20,207,106,97,79
2026-05-21,182,119,79,68
2026-05-22,175,134,95,56
2026-05-23,64,26,39,28
2026-05-24,46,30,9,5
2026-05-25,203,125,105,107
2026-05-26,215,153,103,90
2026-05-27,201,130,104,80
2026-05-28,195,124,105,90
2026-05-29,176,123,80,66
2026-05-30,68,37,25,20
2026-05-31,0,30,32,0
2026-06-01,174,119,105,85
2026-06-02,224,121,84,89
2026-06-03,202,146,105,83
2026-06-04,199,145,91,59
2026-06-05,177,89,93,59
2026-06-06,51,37,38,2
2026-06-07,39,13,12,0
2026-06-08,212,130,97,90
2026-06-09,213,114,105,70
2026-06-10,255,130,73,97
2026-06-11,212,119,87,80
2026-06-12,175,129,99,76
2026-06-13,45,36,37,27
2026-06-14,30,24,0,23
2026-06-15,235,140,106,91
2026-06-16,212,154,114,77
2026-06-17,226,147,106,77
2026-06-18,206,117,99,97
2026-06-19,208,115,89,72
2026-06-20,69,34,20,37
2026-06-21,34,16,3,13
2026-06-22,241,120,110,74
2026-06-23,224,153,89,89
2026-06-24,230,157,107,87
2026-06-25,220,139,88,97
2026-06-26,217,130,74,98
2026-06-27,57,53,31,21
2026-06-28,12,44,6,19
2026-06-29,240,154,85,111
2026-06-30,232,140,127,93
2026-07-01,240,127,102,66
2026-07-02,233,145,98,78
2026-07-03,230,121,80,81
2026-07-04,45,24,6,13
2026-07-05,10,24,9,10
2026-07-06,236,132,120,77
2026-07-07,248,153,99,84
2026-07-08,232,160,99,103
2026-07-09,212,132,103,92
2026-07-10,212,115,100,82
2026-07-11,68,42,17,23
