date,MOISTURE_OUT_OF_SPEC_RATE
2026-06-21,1.88
2026-06-22,2.16
2026-06-23,2.22
2026-06-24,2.19
2026-06-25,2.15
2026-06-26,1.96
2026-06-27,1.99
2026-06-28,2.18
2026-06-29,1.94
2026-06-30,1.93
2026-07-01,2.02
2026-07-02,1.92
2026-07-03,1.8
2026-07-04,1.85
2026-07-05,1.78
2026-07-06,1.93
2026-07-07,1.68
2026-07-08,1.75
2026-07-09,1.89
2026-07-10,1.87
2026-07-11,1.76
2026-07-12,1.72
2026-07-13,2.05
2026-07-14,1.97
2026-07-15,1.95
2026-07-16,2.0
2026-07-17,1.82
2026-07-18,1.68
2026-07-19,2.05
2026-07-20,2.2
