date,FLOUR_CONSUMED,SUGAR_CONSUMED,EDIBLE_OIL_CONSUMED,PACKAGING_FILM_CONSUMED
2026-06-21,129,380,88,296
2026-06-22,199,553,964,434
2026-06-23,805,542,678,280
2026-06-24,350,180,209,72
2026-06-25,694,458,546,848
2026-06-26,36,513,250,547
2026-06-27,337,604,701,481
2026-06-28,602,272,446,188
2026-06-29,143,138,357,282
2026-06-30,286,595,766,411
2026-07-01,432,700,398,346
2026-07-02,448,0,389,622
2026-07-03,60,272,244,352
2026-07-04,477,405,646,591
2026-07-05,97,467,666,879
2026-07-06,384,409,624,252
2026-07-07,340,372,316,631
2026-07-08,251,367,478,315
2026-07-09,667,360,352,346
2026-07-10,35,410,240,492
2026-07-11,467,187,214,352
2026-07-12,437,300,159,388
2026-07-13,881,739,465,108
2026-07-14,251,10,105,132
2026-07-15,282,47,937,374
2026-07-16,419,0,415,351
2026-07-17,335,112,253,324
2026-07-18,743,500,615,206
2026-07-19,297,248,812,376
2026-07-20,711,168,505,620
