date,TABLET_REJECT_RATE
2026-06-21,1.06
2026-06-22,0.84
2026-06-23,0.87
2026-06-24,1.05
2026-06-25,1.25
2026-06-26,1.17
2026-06-27,1.5
2026-06-28,1.51
2026-06-29,1.44
2026-06-30,1.48
2026-07-01,1.54
2026-07-02,1.45
2026-07-03,1.39
2026-07-04,1.16
2026-07-05,1.04
2026-07-06,0.84
2026-07-07,0.99
2026-07-08,1.23
2026-07-09,0.97
2026-07-10,1.06
2026-07-11,1.17
2026-07-12,1.37
2026-07-13,1.49
2026-07-14,1.48
2026-07-15,1.37
2026-07-16,1.33
2026-07-17,1.38
2026-07-18,1.51
2026-07-19,1.43
2026-07-20,1.52
