date,API_CONSUMED,EXCIPIENT_CONSUMED,COATING_SOLUTION_CONSUMED,BLISTER_FOIL_CONSUMED
2026-06-21,296,747,544,658
2026-06-22,0,127,716,421
2026-06-23,647,161,288,554
2026-06-24,0,617,655,62
2026-06-25,0,275,253,148
2026-06-26,611,358,691,67
2026-06-27,881,423,188,605
2026-06-28,452,703,352,334
2026-06-29,428,438,526,347
2026-06-30,465,723,618,255
2026-07-01,0,447,523,474
2026-07-02,567,338,560,232
2026-07-03,309,183,579,309
2026-07-04,218,250,649,506
2026-07-05,136,191,94,106
2026-07-06,471,600,364,304
2026-07-07,0,408,376,152
2026-07-08,596,411,0,448
2026-07-09,0,376,520,367
2026-07-10,505,438,385,392
2026-07-11,566,506,651,708
2026-07-12,474,462,361,406
2026-07-13,443,51,526,236
2026-07-14,435,597,310,271
2026-07-15,503,483,345,180
2026-07-16,774,337,217,429
2026-07-17,395,489,304,830
2026-07-18,675,515,347,0
2026-07-19,139,76,570,771
2026-07-20,472,475,241,624
