date,TABLET_BATCH_SHIPPED,CAPSULE_BATCH_SHIPPED,SYRUP_BATCH_SHIPPED,OINTMENT_BATCH_SHIPPED
2026-06-21,28,0,102,16
2026-06-22,84,211,22,91
2026-06-23,114,147,0,117
2026-06-24,82,78,98,94
2026-06-25,74,78,81,72
2026-06-26,132,102,99,108
2026-06-27,146,36,69,60
2026-06-28,112,101,94,39
2026-06-29,0,164,138,129
2026-06-30,79,34,74,155
2026-07-01,143,100,81,40
2026-07-02,47,0,125,39
2026-07-03,148,135,109,81
2026-07-04,117,140,210,82
2026-07-05,73,93,25,157
2026-07-06,105,133,55,95
2026-07-07,130,82,49,21
2026-07-08,96,72,61,25
2026-07-09,101,83,147,48
2026-07-10,76,95,170,137
2026-07-11,42,73,32,61
2026-07-12,85,81,125,68
2026-07-13,53,39,82,22
2026-07-14,152,44,104,106
2026-07-15,46,38,172,35
2026-07-16,122,71,108,0
2026-07-17,94,160,103,32
2026-07-18,73,91,83,20
2026-07-19,124,22,8,36
2026-07-20,35,102,106,118
