timestamp,GR2_VIB,FBD1_VIB,TP4_VIB,CT3_VIB,BL6_VIB
2026-07-11 00:00,0.93,1.08,1.08,0.95,0.83
2026-07-11 01:00,0.91,1.06,1.11,0.94,0.88
2026-07-11 02:00,0.96,0.98,1.12,1.03,0.94
2026-07-11 03:00,0.98,0.99,1.03,0.98,0.99
2026-07-11 04:00,1.01,1.03,1.02,0.97,0.91
2026-07-11 05:00,1.13,1.06,0.99,1.02,0.98
2026-07-11 06:00,1.2,1.1,1.11,0.99,1.08
2026-07-11 07:00,1.15,1.07,1.14,0.96,1.12
2026-07-11 08:00,1.18,1.12,1.12,0.93,1.1
2026-07-11 09:00,1.14,1.13,1.16,0.94,1.03
2026-07-11 10:00,1.11,1.12,1.15,0.85,1.02
2026-07-11 11:00,1.07,1.13,1.02,0.96,0.94
2026-07-11 12:00,1.12,1.13,0.96,1.03,0.86
2026-07-11 13:00,1.03,1.1,0.99,1.01,0.85
2026-07-11 14:00,1.0,1.02,0.99,0.88,0.94
2026-07-11 15:00,1.0,1.03,1.01,0.96,0.88
2026-07-11 16:00,1.03,1.01,1.07,0.9,0.91
2026-07-11 17:00,1.02,1.07,1.06,0.96,0.92
2026-07-11 18:00,1.07,1.05,1.02,0.97,0.93
2026-07-11 19:00,1.12,1.05,0.98,0.95,0.9
2026-07-11 20:00,1.01,1.06,1.01,1.02,0.91
2026-07-11 21:00,0.99,1.1,1.06,1.1,0.92
2026-07-11 22:00,0.95,1.1,1.04,1.03,0.85
2026-07-11 23:00,0.95,1.02,1.02,1.1,0.9
2026-07-12 00:00,0.93,1.0,1.02,1.06,0.89
2026-07-12 01:00,1.08,1.06,0.98,1.04,0.86
2026-07-12 02:00,1.03,1.12,0.97,1.03,0.89
2026-07-12 03:00,1.03,1.12,1.03,1.01,0.86
2026-07-12 04:00,1.07,1.12,1.06,0.96,0.79
2026-07-12 05:00,1.02,1.09,1.0,0.98,0.83
2026-07-12 06:00,1.11,0.99,1.05,0.97,0.9
2026-07-12 07:00,1.15,1.02,1.14,0.91,0.92
2026-07-12 08:00,1.04,1.06,1.11,1.0,0.83
2026-07-12 09:00,1.03,1.09,1.04,1.09,0.76
2026-07-12 10:00,0.98,1.01,0.97,0.94,0.72
2026-07-12 11:00,1.03,0.99,1.04,0.82,0.72
2026-07-12 12:00,0.97,1.05,0.98,0.81,0.91
2026-07-12 13:00,0.86,1.09,0.98,0.83,0.9
2026-07-12 14:00,0.91,1.21,1.12,0.88,0.84
2026-07-12 15:00,0.93,1.14,1.11,1.01,0.85
2026-07-12 16:00,0.93,1.11,1.05,1.05,0.87
2026-07-12 17:00,0.96,1.08,0.99,0.96,0.88
2026-07-12 18:00,0.93,1.06,0.98,1.01,0.88
2026-07-12 19:00,0.92,1.13,1.05,1.01,0.97
2026-07-12 20:00,0.88,1.05,1.07,0.98,0.88
2026-07-12 21:00,0.95,1.03,1.03,0.91,0.83
2026-07-12 22:00,0.96,1.06,1.03,0.98,0.75
2026-07-12 23:00,0.92,1.08,0.99,1.01,0.73
2026-07-13 00:00,0.94,1.12,1.06,1.0,0.72
2026-07-13 01:00,0.96,1.13,1.11,1.04,0.73
2026-07-13 02:00,0.94,1.11,1.17,0.94,0.69
2026-07-13 03:00,0.95,1.14,1.12,1.04,0.66
2026-07-13 04:00,0.87,1.14,1.15,0.98,0.68
2026-07-13 05:00,0.91,1.14,1.11,0.97,0.62
2026-07-13 06:00,0.91,1.31,1.09,0.99,0.78
2026-07-13 07:00,0.79,1.17,0.95,0.98,0.75
2026-07-13 08:00,0.9,1.13,0.96,1.02,0.79
2026-07-13 09:00,0.97,1.11,1.0,1.02,0.87
2026-07-13 10:00,1.01,1.25,1.05,1.04,0.8
2026-07-13 11:00,0.96,1.21,0.99,1.02,0.83
2026-07-13 12:00,0.93,1.24,0.97,0.96,0.79
2026-07-13 13:00,0.9,1.16,1.05,0.95,0.8
2026-07-13 14:00,0.9,1.14,1.12,0.93,0.85
2026-07-13 15:00,0.96,1.17,1.22,0.89,0.8
2026-07-13 16:00,0.93,1.22,1.24,0.89,0.8
2026-07-13 17:00,0.95,1.25,1.19,0.85,0.69
2026-07-13 18:00,0.95,1.18,1.16,0.86,0.68
