timestamp,FCE3_VIB,CC1_VIB,IS2_VIB,PKG4_VIB
2026-07-11 00:00,1.33,1.08,1.18,1.53
2026-07-11 01:00,1.32,1.11,1.03,1.36
2026-07-11 02:00,1.33,1.19,1.15,1.3
2026-07-11 03:00,1.43,1.32,1.13,1.23
2026-07-11 04:00,1.32,1.31,1.14,1.36
2026-07-11 05:00,1.16,1.37,1.06,1.36
2026-07-11 06:00,1.26,1.3,1.05,1.22
2026-07-11 07:00,1.31,1.23,1.06,1.25
2026-07-11 08:00,1.35,1.19,1.11,1.29
2026-07-11 09:00,1.34,1.32,1.2,1.26
2026-07-11 10:00,1.3,1.38,1.26,1.16
2026-07-11 11:00,1.29,1.38,1.25,1.13
2026-07-11 12:00,1.32,1.59,1.19,1.14
2026-07-11 13:00,1.41,1.49,1.12,1.17
2026-07-11 14:00,1.32,1.46,1.18,1.16
2026-07-11 15:00,1.29,1.42,1.25,1.24
2026-07-11 16:00,1.17,1.36,1.3,1.17
2026-07-11 17:00,1.13,1.5,1.34,1.07
2026-07-11 18:00,1.31,1.54,1.36,1.07
2026-07-11 19:00,1.3,1.35,1.32,1.22
2026-07-11 20:00,1.27,1.29,1.26,1.19
2026-07-11 21:00,1.21,1.31,1.23,1.38
2026-07-11 22:00,1.33,1.35,1.18,1.38
2026-07-11 23:00,1.47,1.22,1.15,1.25
2026-07-12 00:00,1.39,1.06,1.13,1.19
2026-07-12 01:00,1.39,0.98,1.15,1.23
2026-07-12 02:00,1.47,1.06,1.12,1.15
2026-07-12 03:00,1.5,1.11,1.17,1.36
2026-07-12 04:00,1.32,1.18,1.11,1.25
2026-07-12 05:00,1.22,1.14,1.24,1.3
2026-07-12 06:00,1.23,1.08,1.13,1.4
2026-07-12 07:00,1.15,0.98,1.23,1.34
2026-07-12 08:00,1.26,1.09,1.24,1.24
2026-07-12 09:00,1.25,1.17,1.17,1.22
2026-07-12 10:00,1.12,1.27,1.18,1.26
2026-07-12 11:00,1.12,1.32,1.19,1.32
2026-07-12 12:00,1.06,1.29,0.87,1.31
2026-07-12 13:00,1.02,1.38,0.88,1.18
2026-07-12 14:00,0.99,1.33,0.91,1.21
2026-07-12 15:00,1.02,1.26,1.07,1.17
2026-07-12 16:00,1.15,1.22,1.12,1.03
2026-07-12 17:00,1.2,1.19,1.03,1.04
2026-07-12 18:00,1.22,1.04,1.08,1.0
2026-07-12 19:00,1.26,1.12,0.92,1.12
2026-07-12 20:00,1.27,1.18,1.0,1.3
2026-07-12 21:00,1.31,1.17,1.07,1.43
2026-07-12 22:00,1.28,1.14,1.12,1.33
2026-07-12 23:00,1.38,1.21,1.17,1.27
2026-07-13 00:00,1.3,1.35,1.12,1.32
2026-07-13 01:00,1.35,1.32,1.05,1.38
2026-07-13 02:00,1.34,1.26,1.11,1.31
2026-07-13 03:00,1.38,1.22,1.25,1.28
2026-07-13 04:00,1.45,1.22,1.23,1.44
2026-07-13 05:00,1.35,1.14,1.17,1.37
2026-07-13 06:00,1.29,1.16,1.07,1.3
2026-07-13 07:00,1.26,1.2,1.02,1.29
2026-07-13 08:00,1.26,1.35,1.17,1.33
2026-07-13 09:00,1.22,1.39,1.26,1.23
2026-07-13 10:00,1.07,1.43,1.27,1.22
2026-07-13 11:00,1.29,1.32,1.23,1.14
2026-07-13 12:00,1.22,1.35,1.28,1.15
2026-07-13 13:00,1.16,1.24,1.26,1.32
2026-07-13 14:00,1.14,1.27,1.15,1.36
2026-07-13 15:00,1.05,1.29,0.99,1.32
2026-07-13 16:00,1.12,1.22,0.95,1.23
2026-07-13 17:00,1.12,1.38,1.09,1.21
2026-07-13 18:00,1.23,1.39,1.22,1.3
2026-07-13 19:00,1.25,1.2,1.26,1.24
2026-07-13 20:00,1.25,1.26,1.21,1.36
2026-07-13 21:00,1.31,1.23,1.17,1.22
2026-07-13 22:00,1.44,1.24,1.19,1.21
2026-07-13 23:00,1.34,1.28,1.04,1.35
2026-07-14 00:00,1.28,1.3,1.05,1.17
2026-07-14 01:00,1.38,1.13,1.06,1.28
2026-07-14 02:00,1.21,1.08,1.23,1.14
2026-07-14 03:00,1.33,1.19,1.2,1.16
2026-07-14 04:00,1.26,1.31,1.15,1.18
2026-07-14 05:00,1.28,1.43,1.22,1.26
2026-07-14 06:00,1.28,1.52,1.14,1.02
2026-07-14 07:00,1.37,1.28,1.22,0.95
2026-07-14 08:00,1.34,1.33,1.12,1.0
2026-07-14 09:00,1.42,1.17,1.26,1.08
2026-07-14 10:00,1.43,1.31,1.25,1.06
2026-07-14 11:00,1.34,1.31,1.2,1.1
2026-07-14 12:00,1.37,1.21,1.29,1.06
2026-07-14 13:00,1.6,1.37,1.23,1.09
2026-07-14 14:00,1.47,1.39,1.27,1.07
2026-07-14 15:00,1.41,1.21,1.14,1.14
2026-07-14 16:00,1.4,1.24,1.04,1.22
2026-07-14 17:00,1.37,1.19,1.12,1.34
2026-07-14 18:00,1.25,1.22,1.2,1.26
2026-07-14 19:00,1.16,1.19,1.18,1.23
2026-07-14 20:00,1.17,1.32,1.21,1.24
2026-07-14 21:00,1.22,1.19,1.11,1.22
2026-07-14 22:00,1.05,1.23,1.05,1.23
2026-07-14 23:00,1.29,1.38,1.1,1.12
