order_id,order_date,quantity,destination_region,rush_order,promised_lead_days,actual_lead_time_days
ORD-1000,2026-07-04,817,south,no,3,2
ORD-1001,2026-06-22,636,east,no,6,6
ORD-1002,2026-06-30,524,north,yes,5,6
ORD-1003,2026-07-12,957,east,no,3,4
ORD-1004,2026-06-27,779,east,no,3,3
ORD-1005,2026-07-13,813,south,yes,6,5
ORD-1006,2026-07-08,870,north,yes,3,4
ORD-1007,2026-07-07,533,north,no,7,8
ORD-1008,2026-07-06,755,west,no,7,6
ORD-1009,2026-07-04,607,west,yes,7,5
ORD-1010,2026-07-03,811,west,yes,4,5
ORD-1011,2026-07-06,275,west,no,7,6
ORD-1012,2026-06-23,306,west,no,5,5
ORD-1013,2026-06-22,867,west,no,5,4
ORD-1014,2026-07-08,179,east,no,5,6
ORD-1015,2026-06-23,376,west,no,6,7
ORD-1016,2026-07-07,711,west,no,3,3
ORD-1017,2026-07-01,817,east,no,6,7
ORD-1018,2026-07-13,749,east,yes,4,3
ORD-1019,2026-07-13,489,east,no,7,6
ORD-1020,2026-06-23,380,west,no,6,6
ORD-1021,2026-07-11,285,south,no,5,4
ORD-1022,2026-07-11,384,east,no,4,5
ORD-1023,2026-06-25,924,south,no,6,8
ORD-1024,2026-07-16,468,east,no,4,3
ORD-1025,2026-07-09,586,west,no,4,3
ORD-1026,2026-06-27,474,east,no,4,6
ORD-1027,2026-07-09,497,east,no,5,5
ORD-1028,2026-06-27,441,north,no,4,4
ORD-1029,2026-06-27,362,east,yes,6,5
ORD-1030,2026-07-07,146,south,no,5,5
ORD-1031,2026-07-15,117,east,no,3,5
ORD-1032,2026-07-09,238,south,no,5,7
ORD-1033,2026-07-06,618,south,yes,4,2
ORD-1034,2026-07-16,324,north,no,5,5
ORD-1035,2026-07-06,479,east,no,5,7
ORD-1036,2026-07-01,727,south,no,4,4
ORD-1037,2026-07-08,673,east,no,7,9
ORD-1038,2026-07-16,828,west,no,5,6
ORD-1039,2026-06-21,571,west,no,4,3
ORD-1040,2026-07-05,110,north,yes,6,5
ORD-1041,2026-07-09,126,east,no,6,6
ORD-1042,2026-07-03,795,south,yes,5,5
ORD-1043,2026-07-06,749,east,no,5,7
ORD-1044,2026-06-27,988,south,no,6,7
ORD-1045,2026-06-20,396,west,yes,4,3
