date,BISCUIT_CARTON_SHIPPED,WAFER_CARTON_SHIPPED,COOKIE_CARTON_SHIPPED,CRACKER_CARTON_SHIPPED
2026-06-21,43,201,54,136
2026-06-22,41,107,155,118
2026-06-23,6,92,97,135
2026-06-24,87,54,118,35
2026-06-25,108,140,149,40
2026-06-26,74,79,105,138
2026-06-27,78,112,79,0
2026-06-28,66,129,108,116
2026-06-29,168,127,109,95
2026-06-30,97,51,98,103
2026-07-01,5,100,72,84
2026-07-02,54,98,104,152
2026-07-03,59,128,42,150
2026-07-04,98,103,79,90
2026-07-05,98,85,136,77
2026-07-06,42,154,43,112
2026-07-07,28,71,56,118
2026-07-08,67,118,137,110
2026-07-09,110,76,120,66
2026-07-10,139,151,140,36
2026-07-11,48,55,151,85
2026-07-12,95,138,65,124
2026-07-13,21,9,92,0
2026-07-14,112,0,194,17
2026-07-15,66,78,100,72
2026-07-16,123,138,104,138
2026-07-17,55,84,65,72
2026-07-18,110,111,46,38
2026-07-19,48,76,138,27
2026-07-20,127,48,78,54
