order_id,order_date,quantity,destination_region,rush_order,promised_lead_days,actual_lead_time_days
ORD-1000,2026-06-24,951,west,no,6,6
ORD-1001,2026-07-06,881,north,no,4,6
ORD-1002,2026-06-26,514,north,yes,4,2
ORD-1003,2026-07-14,551,north,no,5,5
ORD-1004,2026-07-16,344,south,yes,5,4
ORD-1005,2026-06-23,908,south,no,7,8
ORD-1006,2026-06-22,558,south,no,6,8
ORD-1007,2026-06-30,885,east,no,3,4
ORD-1008,2026-06-21,885,east,no,7,8
ORD-1009,2026-06-22,919,north,no,6,5
ORD-1010,2026-07-01,628,east,no,5,6
ORD-1011,2026-07-09,627,east,no,5,4
ORD-1012,2026-07-11,390,east,no,5,5
ORD-1013,2026-06-26,438,east,no,5,5
ORD-1014,2026-06-29,314,west,no,7,8
ORD-1015,2026-07-09,248,south,no,5,5
ORD-1016,2026-06-24,192,east,yes,7,5
ORD-1017,2026-06-25,647,north,no,7,6
ORD-1018,2026-07-04,667,north,no,6,8
ORD-1019,2026-06-28,348,north,no,4,3
ORD-1020,2026-06-21,781,west,no,7,9
ORD-1021,2026-07-16,766,north,no,6,6
ORD-1022,2026-06-25,259,west,yes,7,5
ORD-1023,2026-06-26,730,south,no,6,6
ORD-1024,2026-06-26,403,west,yes,4,3
ORD-1025,2026-06-21,910,east,no,7,8
ORD-1026,2026-06-25,974,north,yes,7,5
ORD-1027,2026-07-02,386,south,no,5,7
ORD-1028,2026-07-08,697,west,yes,6,5
ORD-1029,2026-07-03,358,south,no,3,5
ORD-1030,2026-06-22,180,south,yes,4,4
ORD-1031,2026-07-12,928,north,no,6,5
ORD-1032,2026-07-06,533,south,no,4,4
ORD-1033,2026-06-20,630,south,no,6,8
ORD-1034,2026-06-29,438,north,no,7,8
ORD-1035,2026-07-09,876,north,no,5,6
ORD-1036,2026-07-15,725,west,no,4,3
ORD-1037,2026-06-24,525,east,no,7,7
ORD-1038,2026-06-25,286,south,no,5,6
ORD-1039,2026-07-07,313,north,no,3,5
ORD-1040,2026-07-05,213,west,no,4,3
ORD-1041,2026-06-21,393,north,no,5,7
ORD-1042,2026-07-02,516,east,no,7,7
ORD-1043,2026-07-15,239,west,no,5,6
ORD-1044,2026-06-25,930,south,no,4,3
ORD-1045,2026-07-17,630,east,no,6,6
