date,HARDNESS_REJECT_RATE
2026-06-21,1.89
2026-06-22,1.93
2026-06-23,2.2
2026-06-24,2.13
2026-06-25,1.72
2026-06-26,1.62
2026-06-27,1.68
2026-06-28,1.77
2026-06-29,1.93
2026-06-30,1.59
2026-07-01,1.61
2026-07-02,1.81
2026-07-03,2.04
2026-07-04,2.25
2026-07-05,2.05
2026-07-06,2.14
2026-07-07,2.3
2026-07-08,2.33
2026-07-09,2.28
2026-07-10,2.26
2026-07-11,2.0
2026-07-12,1.72
2026-07-13,1.89
2026-07-14,1.81
2026-07-15,1.81
2026-07-16,1.72
2026-07-17,1.68
2026-07-18,1.75
2026-07-19,1.61
2026-07-20,1.68
