date,STEEL_BILLET_CONSUMED,QUENCH_OIL_CONSUMED,PROTECTIVE_COATING_CONSUMED,PACKAGING_STRAP_CONSUMED
2026-06-21,449,657,469,322
2026-06-22,384,743,384,445
2026-06-23,251,795,199,134
2026-06-24,557,407,426,531
2026-06-25,774,464,309,318
2026-06-26,279,483,186,481
2026-06-27,646,399,465,466
2026-06-28,577,523,358,365
2026-06-29,0,375,639,443
2026-06-30,247,361,533,322
2026-07-01,272,751,546,669
2026-07-02,556,432,464,586
2026-07-03,437,413,230,496
2026-07-04,494,576,212,163
2026-07-05,527,430,105,180
2026-07-06,220,458,975,267
2026-07-07,250,387,184,350
2026-07-08,155,155,358,489
2026-07-09,365,393,327,220
2026-07-10,376,172,343,635
2026-07-11,434,442,283,400
2026-07-12,254,163,26,0
2026-07-13,581,583,200,304
2026-07-14,583,549,121,0
2026-07-15,709,456,374,249
2026-07-16,542,379,263,290
2026-07-17,437,483,262,277
2026-07-18,534,7,443,334
2026-07-19,521,180,283,321
2026-07-20,269,370,586,281
