order_id,order_date,quantity,destination_region,rush_order,promised_lead_days,actual_lead_time_days
ORD-1000,2026-06-27,580,south,yes,5,3
ORD-1001,2026-06-27,157,north,no,5,7
ORD-1002,2026-07-01,138,east,no,3,4
ORD-1003,2026-07-06,729,south,yes,5,3
ORD-1004,2026-07-03,560,west,no,7,6
ORD-1005,2026-07-07,163,south,no,7,7
ORD-1006,2026-07-14,616,west,no,5,4
ORD-1007,2026-07-16,636,west,no,4,5
ORD-1008,2026-07-06,518,north,no,5,6
ORD-1009,2026-06-26,167,north,yes,7,6
ORD-1010,2026-07-14,358,west,no,7,7
ORD-1011,2026-07-07,458,north,no,3,3
ORD-1012,2026-06-27,417,south,yes,6,4
ORD-1013,2026-06-27,195,south,no,5,7
ORD-1014,2026-07-01,284,west,yes,5,4
ORD-1015,2026-07-07,258,east,yes,6,5
ORD-1016,2026-07-08,955,east,no,3,5
ORD-1017,2026-06-26,234,south,no,5,7
ORD-1018,2026-07-13,928,west,yes,4,5
ORD-1019,2026-06-24,792,west,yes,6,5
ORD-1020,2026-07-03,339,west,no,7,8
ORD-1021,2026-07-08,476,south,no,6,6
ORD-1022,2026-07-03,640,south,no,5,7
ORD-1023,2026-07-12,993,north,no,4,4
ORD-1024,2026-07-16,205,east,no,6,8
ORD-1025,2026-07-08,560,west,no,3,3
ORD-1026,2026-06-21,936,south,yes,6,5
ORD-1027,2026-07-06,614,north,no,3,4
ORD-1028,2026-07-10,329,east,no,6,6
ORD-1029,2026-07-07,910,west,no,3,3
ORD-1030,2026-07-13,812,west,no,3,4
ORD-1031,2026-06-23,181,east,no,6,5
ORD-1032,2026-07-09,844,south,no,4,6
ORD-1033,2026-07-14,148,west,no,5,4
ORD-1034,2026-07-04,956,south,no,7,6
ORD-1035,2026-06-28,688,west,yes,7,8
ORD-1036,2026-06-25,729,north,no,4,3
ORD-1037,2026-07-10,636,north,no,7,6
ORD-1038,2026-07-15,667,east,no,7,9
ORD-1039,2026-07-05,482,north,yes,6,6
ORD-1040,2026-06-24,453,west,no,3,2
ORD-1041,2026-06-24,236,east,no,3,3
ORD-1042,2026-07-06,950,south,no,7,7
ORD-1043,2026-06-25,164,south,no,6,6
ORD-1044,2026-07-16,142,north,no,5,5
ORD-1045,2026-07-08,584,north,no,7,9
