date,HARDENED_ROD_SHIPPED,TEMPERED_PLATE_SHIPPED,ANNEALED_COIL_SHIPPED,CASE_HARDENED_GEAR_SHIPPED
2026-06-21,157,40,164,59
2026-06-22,144,142,93,113
2026-06-23,38,99,109,68
2026-06-24,146,32,129,124
2026-06-25,17,102,74,116
2026-06-26,53,97,39,136
2026-06-27,158,124,130,130
2026-06-28,0,142,19,125
2026-06-29,115,73,170,124
2026-06-30,33,58,129,66
2026-07-01,83,62,98,78
2026-07-02,81,45,92,7
2026-07-03,166,56,168,103
2026-07-04,53,102,47,59
2026-07-05,86,90,37,108
2026-07-06,118,67,63,113
2026-07-07,78,56,78,29
2026-07-08,53,105,44,44
2026-07-09,87,67,96,74
2026-07-10,94,43,96,66
2026-07-11,129,83,53,97
2026-07-12,47,78,162,38
2026-07-13,69,41,27,92
2026-07-14,104,127,32,14
2026-07-15,82,128,106,0
2026-07-16,81,91,80,122
2026-07-17,89,95,108,31
2026-07-18,58,113,62,64
2026-07-19,54,88,43,26
2026-07-20,109,130,60,26
