date,COTTON_BALE_CONSUMED,DYE_CONSUMED,SIZING_CHEMICAL_CONSUMED,PACKAGING_CONE_CONSUMED
2026-06-21,743,327,316,298
2026-06-22,209,255,528,377
2026-06-23,172,156,492,671
2026-06-24,443,228,445,586
2026-06-25,417,504,219,349
2026-06-26,17,655,577,426
2026-06-27,183,482,341,362
2026-06-28,263,49,446,340
2026-06-29,288,350,458,819
2026-06-30,153,279,258,753
2026-07-01,424,276,0,368
2026-07-02,294,109,414,239
2026-07-03,240,272,47,408
2026-07-04,661,355,283,540
2026-07-05,643,164,191,134
2026-07-06,361,456,385,197
2026-07-07,346,637,344,567
2026-07-08,351,615,962,318
2026-07-09,78,361,239,403
2026-07-10,61,545,232,442
2026-07-11,589,168,566,107
2026-07-12,209,236,534,229
2026-07-13,463,181,357,645
2026-07-14,852,756,501,859
2026-07-15,333,470,642,214
2026-07-16,532,219,635,567
2026-07-17,593,153,457,517
2026-07-18,899,600,397,412
2026-07-19,464,602,486,151
2026-07-20,568,308,440,280
