order_id,order_date,quantity,destination_region,rush_order,promised_lead_days,actual_lead_time_days
ORD-1000,2026-07-09,616,east,no,7,9
ORD-1001,2026-07-05,259,west,yes,4,4
ORD-1002,2026-07-10,901,north,no,7,9
ORD-1003,2026-07-03,830,west,no,4,3
ORD-1004,2026-07-12,486,west,no,7,6
ORD-1005,2026-07-17,793,south,no,5,6
ORD-1006,2026-06-30,577,north,no,7,9
ORD-1007,2026-06-22,869,north,no,7,8
ORD-1008,2026-07-01,229,east,yes,6,6
ORD-1009,2026-07-11,962,north,no,3,3
ORD-1010,2026-07-14,484,north,no,7,8
ORD-1011,2026-07-06,868,east,no,3,3
ORD-1012,2026-07-11,560,west,no,6,6
ORD-1013,2026-06-27,116,west,no,5,5
ORD-1014,2026-07-03,829,south,no,5,6
ORD-1015,2026-07-06,152,west,no,4,5
ORD-1016,2026-07-13,458,south,no,3,2
ORD-1017,2026-07-05,463,south,yes,6,5
ORD-1018,2026-07-16,298,north,yes,6,5
ORD-1019,2026-07-01,249,north,yes,4,2
ORD-1020,2026-07-16,480,east,no,3,5
ORD-1021,2026-07-03,571,north,no,6,8
ORD-1022,2026-06-28,920,east,no,5,4
ORD-1023,2026-07-03,137,east,no,6,8
ORD-1024,2026-07-13,849,north,no,6,7
ORD-1025,2026-07-13,195,south,no,4,4
ORD-1026,2026-07-09,410,east,no,6,5
ORD-1027,2026-07-13,527,west,no,4,4
ORD-1028,2026-07-04,100,east,no,7,7
ORD-1029,2026-07-12,905,east,no,3,4
ORD-1030,2026-07-10,788,south,no,6,6
ORD-1031,2026-07-14,731,north,no,3,3
ORD-1032,2026-06-20,690,north,no,6,6
ORD-1033,2026-06-27,632,north,no,5,7
ORD-1034,2026-06-22,331,east,no,7,7
ORD-1035,2026-07-04,407,south,no,6,8
ORD-1036,2026-06-24,407,north,yes,6,7
ORD-1037,2026-07-14,354,south,no,4,4
ORD-1038,2026-07-13,471,south,no,3,5
ORD-1039,2026-06-24,406,east,no,6,6
ORD-1040,2026-07-10,893,north,no,4,3
ORD-1041,2026-07-16,257,south,no,6,7
ORD-1042,2026-07-02,221,north,no,3,3
ORD-1043,2026-07-10,505,west,no,6,7
ORD-1044,2026-07-05,349,west,no,6,6
ORD-1045,2026-07-07,485,east,no,4,6
