date,COMBED_YARN_SHIPPED,GREY_FABRIC_SHIPPED,DYED_FABRIC_SHIPPED,KNITTED_FABRIC_SHIPPED
2026-06-21,170,84,45,98
2026-06-22,76,97,105,104
2026-06-23,113,45,51,133
2026-06-24,113,87,105,44
2026-06-25,62,61,78,19
2026-06-26,108,100,188,55
2026-06-27,16,101,88,152
2026-06-28,29,104,116,24
2026-06-29,121,125,101,87
2026-06-30,71,31,148,52
2026-07-01,157,112,34,43
2026-07-02,91,129,84,98
2026-07-03,7,98,94,94
2026-07-04,125,131,101,97
2026-07-05,118,79,79,149
2026-07-06,50,160,99,75
2026-07-07,99,125,99,158
2026-07-08,176,63,159,126
2026-07-09,49,172,123,80
2026-07-10,116,10,142,168
2026-07-11,145,67,57,13
2026-07-12,166,36,78,73
2026-07-13,134,79,55,49
2026-07-14,29,76,84,75
2026-07-15,165,87,104,114
2026-07-16,101,80,110,140
2026-07-17,108,51,6,120
2026-07-18,154,71,125,162
2026-07-19,5,137,108,77
2026-07-20,125,96,132,114
