timestamp,BR1_VIB,CD3_VIB,RF5_VIB,AC2_VIB,LM7_VIB
2026-07-11 00:00,1.05,1.14,1.34,1.12,1.0
2026-07-11 01:00,0.98,1.23,1.24,1.17,1.06
2026-07-11 02:00,0.96,1.14,1.25,1.2,1.11
2026-07-11 03:00,0.99,1.23,1.24,0.99,1.06
2026-07-11 04:00,0.9,1.27,1.31,0.99,1.02
2026-07-11 05:00,0.97,1.24,1.37,1.06,1.09
2026-07-11 06:00,0.92,1.25,1.33,1.14,1.09
2026-07-11 07:00,0.83,1.14,1.34,1.21,0.96
2026-07-11 08:00,0.81,1.13,1.39,1.14,1.0
2026-07-11 09:00,0.91,1.16,1.37,1.29,1.04
2026-07-11 10:00,0.95,1.1,1.33,1.21,0.92
2026-07-11 11:00,0.92,1.09,1.33,1.21,0.96
2026-07-11 12:00,0.91,1.12,1.39,1.16,0.94
2026-07-11 13:00,0.97,1.14,1.39,1.13,0.92
2026-07-11 14:00,0.92,1.12,1.34,1.1,0.84
2026-07-11 15:00,0.95,1.12,1.25,1.09,0.88
2026-07-11 16:00,1.0,1.1,1.26,1.14,1.0
2026-07-11 17:00,1.01,1.01,1.24,1.15,1.12
2026-07-11 18:00,1.02,1.04,1.09,1.12,1.19
2026-07-11 19:00,1.06,1.08,1.05,1.2,1.24
2026-07-11 20:00,1.01,1.17,1.19,1.27,1.22
2026-07-11 21:00,0.97,1.1,1.19,1.34,1.27
2026-07-11 22:00,0.94,1.12,1.15,1.28,1.27
2026-07-11 23:00,0.96,1.12,1.26,1.26,1.25
2026-07-12 00:00,0.95,1.18,1.24,1.18,1.25
2026-07-12 01:00,1.09,1.19,1.22,1.2,1.25
2026-07-12 02:00,1.13,1.05,1.32,1.23,1.23
2026-07-12 03:00,1.11,1.02,1.4,1.3,1.19
2026-07-12 04:00,1.05,1.06,1.39,1.27,1.31
2026-07-12 05:00,1.0,1.06,1.32,1.15,1.24
2026-07-12 06:00,1.17,1.07,1.29,1.11,1.17
2026-07-12 07:00,1.11,1.08,1.24,1.22,1.11
2026-07-12 08:00,1.12,1.13,1.15,1.29,1.11
2026-07-12 09:00,1.08,1.06,1.22,1.27,1.2
2026-07-12 10:00,1.0,1.02,1.25,1.23,1.15
2026-07-12 11:00,1.1,1.03,1.34,1.11,1.16
2026-07-12 12:00,1.0,1.03,1.24,0.98,1.12
2026-07-12 13:00,0.96,1.0,1.3,1.04,0.99
2026-07-12 14:00,1.0,1.08,1.32,1.1,0.95
2026-07-12 15:00,1.0,1.07,1.41,1.15,0.97
2026-07-12 16:00,0.94,1.04,1.33,1.21,0.97
2026-07-12 17:00,0.89,1.07,1.23,1.29,0.95
