date,HARDNESS_REJECT_RATE
2026-05-13,1.67
2026-05-14,1.83
2026-05-15,1.53
2026-05-16,2.21
2026-05-17,1.85
2026-05-18,2.08
2026-05-19,1.94
2026-05-20,1.93
2026-05-21,2.47
2026-05-22,1.99
2026-05-23,2.19
2026-05-24,2.06
2026-05-25,2.52
2026-05-26,1.89
2026-05-27,1.78
2026-05-28,1.79
2026-05-29,2.22
2026-05-30,1.52
2026-05-31,2.46
2026-06-01,2.22
2026-06-02,1.97
2026-06-03,2.51
2026-06-04,2.52
2026-06-05,2.10
2026-06-06,2.27
2026-06-07,2.56
2026-06-08,2.35
2026-06-09,1.90
2026-06-10,2.07
2026-06-11,2.22
2026-06-12,2.31
2026-06-13,1.68
2026-06-14,1.99
2026-06-15,1.45
2026-06-16,1.97
2026-06-17,2.43
2026-06-18,6.03
2026-06-19,5.41
2026-06-20,4.97
2026-06-21,5.87
2026-06-22,4.56
2026-06-23,5.57
2026-06-24,4.95
2026-06-25,6.71
2026-06-26,6.13
2026-06-27,6.70
2026-06-28,5.34
2026-06-29,5.29
2026-06-30,6.01
2026-07-01,2.16
2026-07-02,1.93
2026-07-03,2.11
2026-07-04,1.68
2026-07-05,2.33
2026-07-06,1.88
2026-07-07,1.69
2026-07-08,2.39
2026-07-09,1.89
2026-07-10,1.97
2026-07-11,2.16
